"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"
"1"	"[See  Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly Election - 2005 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"No. & Name of the Assembly Constituency- 222-OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round  No.01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	"No. of Rejecte d Votes"	""	""	""	""	""	"Total"	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""	""	""
"6"	""	""	"ABHIMANYU SHARMA"	""	"PRAMOD SINGH CHANDRAWAN SHI"	""	""	""	"RAJARAM SINGH"	""	""	""	""	"RAM NARESH SINGH"	""	""	""	""	""	"SATYA NARAYAN SINGH"	""	""	""	""	""	"MAINATH SINGH"	""	""	""	"RAJIV  RANJAN SINGH"	""	""	""	""	"DHANANJAY SINGH"	""	""	""	"MADHUSUDAN SHARMA"	""	""	""	""	"RAGHUWANSH SINGH"	""	""	""	""	"RADHESHYAM RAM"	""	""	""	"RAMANUJ PANDEY"	""	""	""	""	"VINOD RAM"	""	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	""	"1"	""	"2"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	"8"	""	""	""	"9"	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	"12"	""	""	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	"18"	""	""	""	""	""	""	""	""	""
"8"	"1"	""	"214"	""	"214"	""	""	""	"204"	""	""	""	""	"8"	""	""	""	""	""	"63"	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"11"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"5"	""	""	"12"	""	""	"741"	""	""	""	""	""	"0"	""	""	""	""	""	"741"	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"2"	""	"18"	""	"105"	""	""	""	"94"	""	""	""	""	"29"	""	""	""	""	""	"58"	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"7"	""	""	""	""	"0"	""	""	"4"	""	""	"323"	""	""	""	""	""	"0"	""	""	""	""	""	"323"	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"2A"	""	"13"	""	"54"	""	""	""	"83"	""	""	""	""	"6"	""	""	""	""	""	"80"	""	""	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	"6"	""	""	""	""	"6"	""	""	"8"	""	""	"275"	""	""	""	""	""	"0"	""	""	""	""	""	"275"	""	""	""	""	""	""	""	""	""	""	""	""	""
