"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"CHAPTER  XIV PARA 26.9"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[ SEE RULE 56 C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO BIHAR ASSEMBLY ELECTION FROM THE 182-HARNAUT ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"[To be used for Assembly Election] Total no. of Elector in Assembly Constituency/Segment :-  1,88,436"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of Assembly Segment :- 182 - Harnaut Assembly Constituency (in the case of election from an Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"8"	""	"Amarkant Paswan"	"Uday Shankar Prasad"	"Sunil Kumar"	"Ram Yatan Prasad"	"Kamal Kishor Prasad"	"Pankaj Singh"	"Brijnandan Yadav"	"Ranjeet Kumar"	""	""	""	""
"9"	"1"	"8"	"85"	"100"	"25"	"0"	"5"	"1"	"5"	"229"	"-"	"229"	"-"
"10"	"2"	"20"	"7"	"132"	"250"	"14"	"17"	"8"	"9"	"457"	"-"	"457"	"-"
"11"	"3"	"18"	"209"	"289"	"37"	"1"	"6"	"6"	"5"	"571"	"-"	"571"	"-"
"12"	"4"	"3"	"22"	"307"	"5"	"0"	"1"	"1"	"0"	"339"	"-"	"339"	"-"
"13"	"5"	"50"	"20"	"129"	"105"	"14"	"15"	"1"	"6"	"340"	"-"	"340"	"-"
"14"	"05¼d½"	"3"	"9"	"233"	"30"	"3"	"3"	"4"	"3"	"288"	"-"	"288"	"-"
