"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"3"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"4"	""	""	""	""	""	""	""	"Ist Round"	""	""
"5"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"7"	"1"	"10"	"178"	"5"	"93"	"3"	"11"	"1"	"3"	"304"
"8"	"2"	"8"	"160"	"7"	"90"	"6"	"7"	"5"	"3"	"286"
"9"	"3"	"21"	"172"	"15"	"71"	"5"	"16"	"3"	"11"	"314"
"10"	"4"	"113"	"41"	"13"	"142"	"9"	"80"	"3"	"17"	"418"
"11"	"5"	"182"	"51"	"11"	"202"	"15"	"7"	"3"	"13"	"484"
"12"	"6"	"23"	"485"	"10"	"51"	"2"	"16"	"15"	"20"	"622"
"13"	"7"	"4"	"540"	"2"	"20"	"0"	"5"	"0"	"1"	"572"
"14"	"8"	"16"	"74"	"6"	"254"	"7"	"20"	"1"	"2"	"380"
"15"	"9"	"41"	"74"	"4"	"78"	"4"	"46"	"2"	"4"	"253"
"16"	"9A"	"70"	"112"	"5"	"49"	"4"	"26"	"9"	"15"	"290"
"17"	"10"	"19"	"62"	"5"	"171"	"22"	"90"	"5"	"12"	"386"
"18"	"11"	"3"	"317"	"2"	"43"	"3"	"4"	"0"	"1"	"373"
"19"	"12"	"19"	"99"	"4"	"60"	"5"	"10"	"4"	"7"	"208"
"20"	"13"	"26"	"54"	"12"	"204"	"1"	"2"	"3"	"1"	"303"
"21"	";ksx"	"555"	"2419"	"101"	"1528"	"86"	"340"	"54"	"110"	"5193"
"22"	""	""	""	""	""	""	""	""	""	""
"23"	"LFkku &"	""	""	""	""	""	""	""	""	""
"24"	""	""	""	""	""	""	""	""	""	""
"25"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"26"	""	""	""	""	""	""	""	""	""	""
"27"	""	""	""	""	""	""	""	""	""	""
"28"	"izi=&20"	""	""	""	""	""	""	""	""	""
"29"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"30"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"31"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"32"	""	""	""	""	""	""	""	"2nd Round"	""	""
"33"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"34"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"35"	"14"	"7"	"198"	"2"	"77"	"4"	"17"	"4"	"6"	"315"
"36"	"15"	"81"	"14"	"5"	"207"	"9"	"3"	"4"	"6"	"329"
"37"	"16"	"23"	"171"	"5"	"216"	"11"	"11"	"5"	"18"	"460"
"38"	"17"	"114"	"188"	"10"	"183"	"10"	"17"	"14"	"28"	"564"
"39"	"18"	"116"	"125"	"6"	"28"	"2"	"31"	"7"	"7"	"322"
"40"	"19"	"39"	"14"	"3"	"129"	"9"	"6"	"3"	"6"	"209"
"41"	"20"	"41"	"34"	"0"	"90"	"5"	"45"	"3"	"5"	"223"
"42"	"21"	"15"	"94"	"5"	"223"	"8"	"14"	"9"	"19"	"387"
"43"	"22"	"86"	"175"	"3"	"108"	"4"	"17"	"5"	"10"	"408"
"44"	"23"	"26"	"50"	"8"	"256"	"5"	"11"	"5"	"12"	"373"
"45"	"24"	"18"	"172"	"9"	"159"	"7"	"12"	"9"	"10"	"396"
"46"	"25"	"22"	"46"	"3"	"149"	"7"	"4"	"1"	"5"	"237"
"47"	"26"	"64"	"133"	"1"	"121"	"8"	"17"	"1"	"4"	"349"
"48"	"27"	"177"	"56"	"1"	"163"	"6"	"6"	"12"	"25"	"446"
"49"	";ksx"	"829"	"1470"	"61"	"2109"	"95"	"211"	"82"	"161"	"5018"
"50"	""	""	""	""	""	""	""	""	""	""
"51"	"LFkku &"	""	""	""	""	""	""	""	""	""
"52"	""	""	""	""	""	""	""	""	""	""
"53"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"54"	""	""	""	""	""	""	""	""	""	""
"55"	""	""	""	""	""	""	""	""	""	""
"56"	"izi=&20"	""	""	""	""	""	""	""	""	""
"57"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"58"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"59"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"60"	""	""	""	""	""	""	""	"3rd Round"	""	""
"61"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"62"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"63"	"28"	"57"	"60"	"7"	"201"	"29"	"14"	"3"	"16"	"387"
"64"	"29"	"48"	"64"	"7"	"281"	"15"	"11"	"15"	"36"	"477"
"65"	"29A"	"23"	"84"	"7"	"86"	"2"	"13"	"4"	"7"	"226"
"66"	"30"	"31"	"100"	"6"	"97"	"3"	"4"	"5"	"8"	"254"
"67"	"31"	"56"	"188"	"4"	"287"	"16"	"15"	"5"	"11"	"582"
"68"	"32"	"38"	"53"	"7"	"181"	"9"	"62"	"4"	"7"	"361"
"69"	"33"	"28"	"10"	"2"	"139"	"13"	"0"	"6"	"6"	"204"
"70"	"34"	"43"	"38"	"2"	"143"	"8"	"19"	"1"	"0"	"254"
"71"	"35"	"39"	"34"	"10"	"157"	"4"	"30"	"2"	"10"	"286"
"72"	"35A"	"47"	"18"	"4"	"48"	"2"	"29"	"3"	"4"	"155"
"73"	"36"	"7"	"216"	"1"	"27"	"2"	"5"	"1"	"3"	"262"
"74"	"37"	"85"	"96"	"5"	"188"	"14"	"15"	"5"	"12"	"420"
"75"	"38"	"29"	"359"	"9"	"187"	"7"	"51"	"8"	"10"	"660"
"76"	"39"	"29"	"112"	"6"	"150"	"8"	"30"	"9"	"5"	"349"
"77"	";ksx"	"560"	"1432"	"77"	"2172"	"132"	"298"	"71"	"135"	"4877"
"78"	""	""	""	""	""	""	""	""	""	""
"79"	"LFkku &"	""	""	""	""	""	""	""	""	""
"80"	""	""	""	""	""	""	""	""	""	""
"81"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"82"	""	""	""	""	""	""	""	""	""	""
"83"	"izi=&20"	""	""	""	""	""	""	""	""	""
"84"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"85"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"86"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"87"	""	""	""	""	""	""	""	"4th Round"	""	""
"88"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"89"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"90"	"40"	"19"	"258"	"9"	"96"	"8"	"81"	"4"	"13"	"488"
"91"	"41"	"24"	"100"	"4"	"127"	"3"	"14"	"3"	"12"	"287"
"92"	"42"	"61"	"118"	"12"	"218"	"7"	"18"	"12"	"23"	"469"
"93"	"43"	"127"	"124"	"10"	"193"	"12"	"10"	"2"	"12"	"490"
"94"	"44"	"120"	"88"	"11"	"259"	"7"	"7"	"2"	"6"	"500"
"95"	"45"	"78"	"183"	"9"	"156"	"5"	"10"	"3"	"5"	"449"
"96"	"46"	"35"	"291"	"5"	"163"	"5"	"22"	"6"	"5"	"532"
"97"	"47"	"65"	"181"	"6"	"221"	"5"	"72"	"3"	"3"	"556"
"98"	"48"	"100"	"9"	"3"	"134"	"11"	"32"	"5"	"22"	"316"
"99"	"49"	"63"	"244"	"10"	"138"	"7"	"36"	"5"	"8"	"511"
"100"	"50"	"9"	"117"	"6"	"100"	"7"	"5"	"4"	"3"	"251"
"101"	"51"	"111"	"95"	"14"	"237"	"17"	"17"	"16"	"21"	"528"
"102"	"52"	"7"	"155"	"3"	"74"	"11"	"10"	"0"	"5"	"265"
"103"	"53"	"58"	"298"	"4"	"85"	"6"	"10"	"5"	"7"	"473"
"104"	";ksx"	"877"	"2261"	"106"	"2201"	"111"	"344"	"70"	"145"	"6115"
"105"	""	""	""	""	""	""	""	""	""	""
"106"	"LFkku &"	""	""	""	""	""	""	""	""	""
"107"	""	""	""	""	""	""	""	""	""	""
"108"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"109"	""	""	""	""	""	""	""	""	""	""
"110"	"izi=&20"	""	""	""	""	""	""	""	""	""
"111"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"112"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"113"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"114"	""	""	""	""	""	""	""	"5th Round"	""	""
"115"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"116"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"117"	"54"	"11"	"102"	"4"	"236"	"4"	"6"	"5"	"16"	"384"
"118"	"54A"	"32"	"51"	"8"	"271"	"13"	"7"	"8"	"17"	"407"
"119"	"55"	"20"	"40"	"2"	"206"	"5"	"6"	"1"	"3"	"283"
"120"	"55A"	"30"	"42"	"3"	"197"	"13"	"7"	"4"	"7"	"303"
"121"	"56"	"73"	"157"	"7"	"211"	"7"	"5"	"4"	"16"	"480"
"122"	"57"	"37"	"77"	"7"	"243"	"11"	"4"	"2"	"11"	"392"
"123"	"58"	"22"	"45"	"12"	"374"	"9"	"5"	"7"	"13"	"487"
"124"	"59"	"58"	"93"	"13"	"191"	"11"	"91"	"4"	"14"	"475"
"125"	"60"	"120"	"79"	"3"	"58"	"4"	"7"	"1"	"10"	"282"
"126"	"61"	"23"	"151"	"7"	"135"	"7"	"11"	"8"	"9"	"351"
"127"	"62"	"38"	"144"	"4"	"118"	"14"	"28"	"3"	"8"	"357"
"128"	"63"	"23"	"193"	"8"	"43"	"8"	"23"	"3"	"3"	"304"
"129"	"64"	"20"	"239"	"8"	"20"	"8"	"2"	"1"	"2"	"300"
"130"	"65"	"21"	"60"	"2"	"287"	"4"	"3"	"3"	"3"	"383"
"131"	";ksx"	"528"	"1473"	"88"	"2590"	"118"	"205"	"54"	"132"	"5188"
"132"	""	""	""	""	""	""	""	""	""	""
"133"	"LFkku &"	""	""	""	""	""	""	""	""	""
"134"	""	""	""	""	""	""	""	""	""	""
"135"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"136"	""	""	""	""	""	""	""	""	""	""
"137"	"izi=&20"	""	""	""	""	""	""	""	""	""
"138"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"139"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"140"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"141"	""	""	""	""	""	""	""	"6th Round"	""	""
"142"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"143"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"144"	"66"	"28"	"30"	"3"	"420"	"13"	"13"	"10"	"7"	"524"
"145"	"67"	"51"	"4"	"15"	"317"	"23"	"1"	"2"	"7"	"420"
"146"	"68"	"73"	"116"	"8"	"33"	"6"	"84"	"6"	"18"	"344"
"147"	"69"	"46"	"382"	"3"	"119"	"7"	"15"	"2"	"7"	"581"
"148"	"70"	"17"	"133"	"3"	"127"	"5"	"9"	"4"	"1"	"299"
"149"	"71"	"68"	"126"	"12"	"165"	"5"	"18"	"4"	"10"	"408"
"150"	"72"	"31"	"122"	"8"	"77"	"3"	"9"	"3"	"1"	"254"
"151"	"72A"	"106"	"105"	"4"	"188"	"2"	"27"	"3"	"8"	"443"
"152"	"73"	"6"	"214"	"0"	"71"	"3"	"7"	"2"	"1"	"304"
"153"	"74"	"38"	"276"	"15"	"340"	"32"	"39"	"23"	"17"	"780"
"154"	"75"	"14"	"293"	"7"	"121"	"14"	"13"	"6"	"11"	"479"
"155"	"76"	"25"	"3"	"1"	"516"	"6"	"1"	"2"	"2"	"556"
"156"	"77"	"30"	"154"	"1"	"31"	"4"	"30"	"0"	"10"	"260"
"157"	"78"	"72"	"167"	"11"	"161"	"15"	"85"	"10"	"25"	"546"
