"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"Annexure.XLI..CHAPTER.XIV.PARA.26.9."	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""
"2"	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 202-RAJPUR(SC) CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""
"3"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	"175225+662
202 RAJPUR (SC)"	""	""	""	""	""	""	""
"4"	""	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"5"	""	"Serial No. of Polling Station"	""	"Amar Kumar Paswan"	"Chhedi Lal Ram"	"Shyam Pyari Devi"	"Santosh Kumar Nirala"	"Moti Chand Ram"	"Sukul Ram"	"Ganga Sagar Ram"	"Sanjay Paswan"	"TOTAL VALID VOTES"	"REJECTED VOTES"	"TOTAL VOTES"	"NO.OF TENDERED VOTES"
"6"	""	""	""	"CD1"	"CD2"	"CD3"	"CD4"	"CD5"	"CD6"	"CD7"	"CD8"	""	""	""	""
"7"	"R
o u n d
1"	""	"1"	"4"	"27"	"199"	"77"	"6"	"4"	"8"	"4"	"329"	"0"	"329"	"0"
"8"	""	""	"1A"	"8"	"4"	"96"	"227"	"2"	"0"	"1"	"2"	"340"	"0"	"340"	"0"
"9"	""	""	"2"	"18"	"238"	"165"	"106"	"10"	"4"	"6"	"2"	"549"	"0"	"549"	"0"
"10"	""	""	"2A"	"6"	"165"	"27"	"6"	"2"	"3"	"3"	"4"	"216"	"0"	"216"	"0"
"11"	""	""	"3"	"28"	"215"	"208"	"186"	"15"	"7"	"16"	"18"	"693"	"0"	"693"	"0"
"12"	""	""	"4"	"1"	"32"	"290"	"62"	"3"	"2"	"9"	"3"	"402"	"0"	"402"	"0"
"13"	""	""	"5"	"2"	"106"	"114"	"427"	"10"	"1"	"4"	"1"	"665"	"0"	"665"	"0"
"14"	""	""	"6"	"0"	"28"	"98"	"115"	"6"	"0"	"0"	"4"	"251"	"0"	"251"	"0"
"15"	""	""	"7"	"4"	"131"	"180"	"89"	"3"	"2"	"2"	"2"	"413"	"0"	"413"	"0"
"16"	""	""	"8"	"5"	"22"	"110"	"209"	"7"	"3"	"6"	"8"	"370"	"0"	"370"	"0"
"17"	""	""	"9"	"2"	"0"	"116"	"26"	"1"	"0"	"1"	"1"	"147"	"0"	"147"	"0"
"18"	""	""	"10"	"8"	"129"	"206"	"145"	"12"	"6"	"6"	"4"	"516"	"0"	"516"	"0"
"19"	""	""	"11"	"1"	"68"	"336"	"92"	"0"	"1"	"0"	"4"	"502"	"0"	"502"	"0"
"20"	""	""	"12"	"11"	"92"	"132"	"145"	"9"	"7"	"11"	"14"	"421"	"0"	"421"	"0"
"21"	"TOTAL"	""	""	"98"	"1257"	"2277"	"1912"	"86"	"40"	"73"	"71"	"5814"	"0"	"5814"	"0"
"22"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""
"23"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""
"24"	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 202-RAJPUR(SC) CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""
"25"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	"175225+662
202 RAJPUR (SC)"	""	""	""	""	""	""	""
"26"	""	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"27"	""	"Serial No. of Polling Station"	""	"Amar Kumar Paswan"	"Chhedi Lal Ram"	"Shyam Pyari Devi"	"Santosh Kumar Nirala"	"Moti Chand Ram"	"Sukul Ram"	"Ganga Sagar Ram"	"Sanjay Paswan"	"TOTAL VALID VOTES"	"REJECTED VOTES"	"TOTAL VOTES"	"NO.OF TENDERED VOTES"
"28"	""	""	""	"CD1"	"CD2"	"CD3"	"CD4"	"CD5"	"CD6"	"CD7"	"CD8"	""	""	""	""
"29"	"R
o u n d
2"	""	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"30"	""	""	"14"	"11"	"97"	"149"	"48"	"5"	"2"	"9"	"6"	"327"	"0"	"327"	"0"
"31"	""	""	"15"	"4"	"56"	"98"	"4"	"1"	"1"	"1"	"1"	"166"	"0"	"166"	"0"
"32"	""	""	"16"	"2"	"25"	"130"	"164"	"9"	"2"	"3"	"16"	"351"	"0"	"351"	"0"
"33"	""	""	"17"	"19"	"47"	"196"	"134"	"9"	"8"	"15"	"4"	"432"	"0"	"432"	"0"
"34"	""	""	"17A"	"3"	"63"	"43"	"114"	"3"	"1"	"3"	"6"	"236"	"0"	"236"	"0"
"35"	""	""	"18"	"8"	"178"	"184"	"225"	"9"	"7"	"7"	"0"	"618"	"0"	"618"	"0"
