"PART...I"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"3"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"4"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"5"	"1"	"132"	"2"	"66"	"5"	"426"	"5"	"1"	"6"	"643"	"0"	"643"	"0"
"6"	"2"	"217"	"10"	"143"	"11"	"148"	"12"	"2"	"1"	"544"	"0"	"544"	"0"
"7"	"3"	"221"	"4"	"2"	"5"	"129"	"4"	"4"	"6"	"375"	"0"	"375"	"0"
"8"	"3 A"	"73"	"4"	"190"	"4"	"52"	"5"	"0"	"1"	"329"	"0"	"329"	"0"
"9"	"4"	"31"	"20"	"28"	"10"	"177"	"5"	"8"	"7"	"286"	"0"	"286"	"0"
"10"	"5"	"117"	"173"	"71"	"10"	"66"	"11"	"11"	"4"	"463"	"0"	"463"	"0"
"11"	"6"	"209"	"26"	"3"	"2"	"123"	"4"	"3"	"16"	"386"	"0"	"386"	"0"
"12"	"7"	"135"	"5"	"2"	"12"	"282"	"12"	"4"	"11"	"463"	"0"	"463"	"0"
"13"	"7 A"	"148"	"90"	"27"	"13"	"83"	"6"	"1"	"14"	"382"	"0"	"382"	"0"
"14"	"8"	"299"	"6"	"14"	"6"	"238"	"12"	"3"	"6"	"584"	"0"	"584"	"0"
"15"	"9"	"306"	"9"	"22"	"8"	"219"	"10"	"8"	"18"	"600"	"0"	"600"	"0"
"16"	"10"	"337"	"48"	"22"	"6"	"129"	"3"	"7"	"5"	"557"	"0"	"557"	"0"
"17"	"11"	"181"	"33"	"114"	"11"	"76"	"7"	"1"	"12"	"435"	"0"	"435"	"0"
"18"	"12"	"218"	"161"	"70"	"12"	"118"	"34"	"11"	"19"	"643"	"0"	"643"	"0"
"19"	"TOTAL"	"2624"	"591"	"774"	"115"	"2266"	"130"	"64"	"126"	"6690"	"0"	"6690"	"0"
"20"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"23"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"24"	"BF"	"2624"	"591"	"774"	"115"	"2266"	"130"	"64"	"126"	"6690"	"0"	"6690"	"0"
"25"	"13"	"179"	"52"	"4"	"5"	"120"	"9"	"4"	"4"	"377"	"0"	"377"	"0"
"26"	"14"	"268"	"20"	"69"	"7"	"119"	"11"	"4"	"14"	"512"	"0"	"512"	"0"
"27"	"15"	"213"	"6"	"67"	"8"	"156"	"10"	"2"	"5"	"467"	"0"	"467"	"0"
"28"	"16"	"109"	"3"	"26"	"11"	"234"	"11"	"5"	"18"	"417"	"0"	"417"	"0"
"29"	"17"	"197"	"2"	"88"	"11"	"392"	"21"	"7"	"14"	"732"	"0"	"732"	"0"
"30"	"18"	"222"	"13"	"41"	"14"	"345"	"15"	"4"	"15"	"669"	"0"	"669"	"0"
"31"	"19"	"179"	"15"	"47"	"10"	"242"	"6"	"4"	"3"	"506"	"0"	"506"	"0"
"32"	"20"	"137"	"6"	"106"	"2"	"93"	"6"	"3"	"7"	"360"	"0"	"360"	"0"
"33"	"21"	"221"	"14"	"5"	"3"	"109"	"3"	"3"	"8"	"366"	"0"	"366"	"0"
"34"	"21 A"	"131"	"9"	"20"	"3"	"22"	"2"	"0"	"0"	"187"	"0"	"187"	"0"
"35"	"22"	"178"	"8"	"181"	"17"	"202"	"5"	"3"	"1"	"595"	"0"	"595"	"0"
"36"	"23"	"287"	"7"	"7"	"11"	"166"	"7"	"5"	"12"	"502"	"0"	"502"	"0"
"37"	"24"	"259"	"11"	"115"	"14"	"155"	"8"	"9"	"7"	"578"	"0"	"578"	"0"
"38"	"25"	"170"	"134"	"36"	"10"	"121"	"11"	"5"	"4"	"491"	"0"	"491"	"0"
"39"	"TOTAL"	"5374"	"891"	"1586"	"241"	"4742"	"255"	"122"	"238"	"13449"	"0"	"13449"	"0"
"40"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"43"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"44"	"BF"	"5374"	"891"	"1586"	"241"	"4742"	"255"	"122"	"238"	"13449"	"0"	"13449"	"0"
"45"	"25 A"	"98"	"92"	"70"	"9"	"116"	"8"	"7"	"9"	"409"	"0"	"409"	"0"
"46"	"26"	"132"	"141"	"98"	"12"	"99"	"9"	"7"	"17"	"515"	"0"	"515"	"0"
"47"	"26 A"	"85"	"55"	"12"	"3"	"96"	"1"	"4"	"8"	"264"	"0"	"264"	"0"
"48"	"27"	"178"	"10"	"52"	"14"	"490"	"19"	"7"	"23"	"793"	"0"	"793"	"0"
"49"	"28"	"377"	"13"	"9"	"24"	"294"	"8"	"6"	"12"	"743"	"0"	"743"	"0"
"50"	"29"	"306"	"7"	"61"	"4"	"68"	"4"	"4"	"12"	"466"	"0"	"466"	"0"
"51"	"29 A"	"169"	"2"	"59"	"5"	"54"	"2"	"1"	"1"	"293"	"0"	"293"	"0"
"52"	"30"	"357"	"23"	"28"	"5"	"126"	"8"	"6"	"13"	"566"	"0"	"566"	"0"
"53"	"30 A"	"73"	"7"	"290"	"5"	"4"	"4"	"2"	"2"	"387"	"0"	"387"	"0"
"54"	"31"	"215"	"36"	"30"	"7"	"101"	"7"	"6"	"12"	"414"	"0"	"414"	"0"
"55"	"32"	"75"	"13"	"434"	"8"	"11"	"11"	"1"	"11"	"564"	"0"	"564"	"0"
"56"	"33"	"394"	"9"	"13"	"8"	"169"	"6"	"4"	"7"	"610"	"0"	"610"	"0"
"57"	"33 A"	"137"	"10"	"142"	"8"	"86"	"8"	"2"	"5"	"398"	"0"	"398"	"0"
"58"	"34"	"140"	"1"	"5"	"5"	"135"	"5"	"3"	"1"	"295"	"0"	"295"	"0"
"59"	"TOTAL"	"8110"	"1310"	"2889"	"358"	"6591"	"355"	"182"	"371"	"20166"	"0"	"20166"	"0"
"60"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"63"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"64"	"BF"	"8110"	"1310"	"2889"	"358"	"6591"	"355"	"182"	"371"	"20166"	"0"	"20166"	"0"
"65"	"34 A"	"180"	"5"	"10"	"6"	"102"	"3"	"3"	"2"	"311"	"0"	"311"	"0"
"66"	"35"	"126"	"7"	"7"	"3"	"52"	"11"	"6"	"1"	"213"	"0"	"213"	"0"
"67"	"35 A"	"299"	"14"	"38"	"8"	"167"	"42"	"9"	"9"	"586"	"0"	"586"	"0"
"68"	"36"	"321"	"4"	"82"	"3"	"100"	"13"	"3"	"3"	"529"	"0"	"529"	"0"
"69"	"37"	"127"	"22"	"120"	"4"	"65"	"5"	"3"	"4"	"350"	"0"	"350"	"0"
"70"	"38"	"333"	"14"	"28"	"32"	"221"	"11"	"9"	"42"	"690"	"0"	"690"	"0"
"71"	"39"	"206"	"12"	"179"	"17"	"114"	"10"	"2"	"13"	"553"	"0"	"553"	"0"
"72"	"40"	"157"	"7"	"92"	"8"	"238"	"5"	"2"	"2"	"511"	"0"	"511"	"0"
"73"	"41"	"308"	"15"	"72"	"6"	"191"	"4"	"7"	"26"	"629"	"0"	"629"	"0"
"74"	"42"	"285"	"7"	"16"	"9"	"116"	"6"	"5"	"12"	"456"	"0"	"456"	"0"
"75"	"43"	"238"	"10"	"2"	"6"	"131"	"3"	"3"	"5"	"398"	"0"	"398"	"0"
"76"	"43 A"	"72"	"14"	"190"	"5"	"52"	"4"	"2"	"4"	"343"	"0"	"343"	"0"
"77"	"44"	"113"	"11"	"150"	"10"	"149"	"18"	"4"	"12"	"467"	"0"	"467"	"0"
"78"	"44 A"	"135"	"13"	"71"	"3"	"38"	"4"	"2"	"3"	"269"	"0"	"269"	"0"
"79"	"TOTAL"	"11010"	"1465"	"3946"	"478"	"8327"	"494"	"242"	"509"	"26471"	"0"	"26471"	"0"
"80"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
