"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of Electors in Assembly Constituency/Segmen      208477"	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly/Segment                                      196-Sandesh"	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of election from a Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	""	"RANGNATH SINGH"	"RAMESHWAR PRASAD"	"VIJENDRA
KUMAR YADAV"	"SANJAY SINGH"	"JAWAHAR ROY"	"BHARAT SINGH"	"SANJAY KUMAR"	"SATYENDRA SINGH"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"11"	""	""	"LJP"	"CPI(ML)(L)"	"RJD"	"BJP"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"12"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"13"	"1"	"P/S BARGAHI"	"9"	"14"	"217"	"93"	"1"	"1"	"1"	"0"	"336"	"0"	"336"	"0"
"14"	"2"	"P/S SASARAM(N)"	"15"	"67"	"105"	"197"	"13"	"6"	"3"	"22"	"428"	"0"	"428"	"0"
"15"	"2A"	"P/S SASARAM(S)"	"7"	"9"	"60"	"174"	"3"	"4"	"2"	"4"	"263"	"0"	"263"	"0"
"16"	"3"	"P/S SASARAM(S)"	"33"	"211"	"124"	"153"	"6"	"8"	"7"	"21"	"563"	"0"	"563"	"0"
"17"	"4"	"HIGH SCHOOL SASARAM"	"2"	"35"	"55"	"571"	"10"	"1"	"2"	"2"	"678"	"0"	"678"	"0"
"18"	"5"	"P/S MAHULI BUJURG"	"11"	"43"	"161"	"196"	"14"	"3"	"3"	"5"	"436"	"0"	"436"	"0"
"19"	"6"	"P/S TIROJPUR"	"44"	"71"	"67"	"48"	"0"	"0"	"1"	"1"	"232"	"0"	"232"	"0"
"20"	"7"	"PRIMARY SCHOOL NAWANAGAR(E)"	"49"	"6"	"39"	"144"	"3"	"1"	"2"	"2"	"246"	"0"	"246"	"0"
"21"	"8"	"PRIMARY SCHOOL NAWANAGAR(W)"	"13"	"176"	"153"	"182"	"7"	"7"	"4"	"10"	"552"	"0"	"552"	"0"
"22"	"9"	"PRIMARY SCHOOL KARISATH(E)"	"10"	"11"	"143"	"173"	"6"	"2"	"2"	"16"	"363"	"0"	"363"	"0"
"23"	"9A"	"PRIMARY SCHOOL KARISATH(W)"	"3"	"1"	"10"	"202"	"2"	"1"	"1"	"7"	"227"	"0"	"227"	"0"
"24"	"10"	"PRIMARY SCHOOL KARISATH NEW BHAWAN(E)"	"7"	"42"	"78"	"214"	"4"	"1"	"4"	"6"	"356"	"0"	"356"	"0"
"25"	"10A"	"PRIMARY SCHOOL KARISATH NEW BHAWAN(W)"	"2"	"34"	"67"	"58"	"5"	"3"	"1"	"0"	"170"	"0"	"170"	"0"
"26"	"11"	"MIDDLE SCHOOL KARISATH"	"15"	"172"	"18"	"197"	"5"	"2"	"7"	"6"	"422"	"0"	"422"	"0"
"27"	"12"	"PRIMARY SCHOOL KARISATH MOHAMMADPUR"	"36"	"133"	"34"	"157"	"2"	"0"	"0"	"1"	"363"	"0"	"363"	"0"
"28"	"13"	"PRIMARY SCHOOL HARNATHKUNDI"	"13"	"52"	"149"	"35"	"2"	"4"	"5"	"3"	"263"	"0"	"263"	"0"
"29"	"14"	"T.C.P.CENTRE NAWADABEN"	"21"	"208"	"107"	"34"	"12"	"8"	"21"	"7"	"418"	"0"	"418"	"0"
"30"	"15"	"MIDDLE SCHOOL NAWADABEN(E)"	"18"	"48"	"122"	"92"	"2"	"2"	"7"	"12"	"303"	"0"	"303"	"0"
"31"	"16"	"MIDDLE SCHOOL NAWADABEN(W)"	"6"	"50"	"71"	"75"	"7"	"4"	"5"	"10"	"228"	"0"	"228"	"0"
"32"	"16A"	"MIDDLE SCHOOL NAWADABEN(E)"	"9"	"152"	"7"	"12"	"3"	"2"	"6"	"2"	"193"	"0"	"193"	"0"
"33"	"17"	"SAHKARITA GODAM BIBIGANJ"	"8"	"79"	"154"	"57"	"5"	"2"	"1"	"2"	"308"	"0"	"308"	"0"
"34"	"18"	"PRIMARY SCHOOL BISHUNPURA"	"26"	"86"	"91"	"174"	"6"	"2"	"4"	"9"	"398"	"0"	"398"	"0"
"35"	"19"	"PRIMARY GIRL SCHOOL MASADH"	"10"	"122"	"127"	"177"	"13"	"7"	"8"	"20"	"484"	"0"	"484"	"0"
"36"	"20"	"HIGH SCHOOL MASADH(E)"	"5"	"3"	"51"	"192"	"0"	"1"	"0"	"1"	"253"	"0"	"253"	"0"
"37"	"Serial No. of Polling Station"	""	"RANGNATH SINGH"	"RAMESHWAR PRASAD"	"VIJENDRA
KUMAR YADAV"	"SANJAY SINGH"	"JAWAHAR ROY"	"BHARAT SINGH"	"SANJAY KUMAR"	"SATYENDRA SINGH"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"38"	""	""	"LJP"	"CPI(ML)(L)"	"RJD"	"BJP"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"39"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
