"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"Total.No..of.tendered.votes"
"1"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"2"	"1"	"6"	"1"	"494"	"65"	"4"	"0"	"2"	"0"	"1"	"1"	"2"	"576"	"0"	"576"	"0"
"3"	"2"	"5"	"1"	"253"	"29"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"292"	"0"	"292"	"0"
"4"	"3"	"4"	"4"	"414"	"35"	"9"	"1"	"1"	"2"	"3"	"3"	"5"	"481"	"0"	"481"	"0"
"5"	"3A"	"6"	"3"	"408"	"23"	"3"	"0"	"0"	"0"	"1"	"2"	"2"	"448"	"0"	"448"	"0"
"6"	"4"	"4"	"8"	"475"	"42"	"8"	"0"	"4"	"2"	"0"	"3"	"7"	"553"	"0"	"553"	"0"
"7"	"5"	"2"	"2"	"188"	"56"	"6"	"1"	"0"	"1"	"1"	"1"	"2"	"260"	"0"	"260"	"0"
"8"	"5A"	"2"	"3"	"340"	"70"	"31"	"0"	"0"	"6"	"2"	"1"	"5"	"460"	"0"	"460"	"0"
"9"	"6"	"5"	"2"	"520"	"46"	"20"	"0"	"3"	"0"	"4"	"2"	"2"	"604"	"0"	"604"	"0"
"10"	"7"	"11"	"3"	"521"	"83"	"7"	"1"	"0"	"2"	"0"	"7"	"7"	"642"	"0"	"642"	"0"
"11"	"8"	"3"	"6"	"356"	"56"	"13"	"1"	"1"	"1"	"1"	"0"	"6"	"444"	"0"	"444"	"0"
"12"	"8A"	"3"	"2"	"235"	"66"	"10"	"0"	"5"	"4"	"1"	"2"	"3"	"331"	"0"	"331"	"0"
"13"	"9"	"2"	"4"	"358"	"52"	"8"	"0"	"1"	"3"	"3"	"1"	"1"	"433"	"0"	"433"	"0"
"14"	"9A"	"2"	"1"	"145"	"104"	"8"	"1"	"1"	"1"	"5"	"2"	"2"	"272"	"0"	"272"	"0"
"15"	"10"	"1"	"5"	"490"	"94"	"5"	"5"	"2"	"3"	"2"	"2"	"8"	"617"	"0"	"617"	"0"
"16"	"Total :"	"56"	"45"	"5197"	"821"	"132"	"10"	"20"	"25"	"24"	"29"	"54"	"6413"	"0"	"6413"	"0"
"17"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"21"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"22"	"11"	"6"	"2"	"317"	"52"	"2"	"1"	"2"	"2"	"3"	"2"	"4"	"393"	"0"	"393"	"0"
"23"	"11A"	"2"	"0"	"291"	"36"	"4"	"2"	"0"	"1"	"4"	"3"	"2"	"345"	"0"	"345"	"0"
"24"	"12"	"0"	"2"	"214"	"64"	"4"	"1"	"0"	"2"	"2"	"1"	"0"	"290"	"0"	"290"	"0"
"25"	"12A"	"3"	"2"	"328"	"26"	"8"	"0"	"1"	"0"	"0"	"1"	"5"	"374"	"0"	"374"	"0"
"26"	"13"	"5"	"1"	"329"	"107"	"12"	"0"	"4"	"1"	"0"	"0"	"0"	"459"	"0"	"459"	"0"
"27"	"14"	"3"	"7"	"479"	"47"	"31"	"3"	"4"	"0"	"4"	"1"	"7"	"586"	"0"	"586"	"0"
"28"	"15"	"6"	"3"	"314"	"22"	"3"	"2"	"0"	"1"	"0"	"0"	"1"	"352"	"0"	"352"	"0"
"29"	"15A"	"105"	"5"	"206"	"42"	"28"	"1"	"2"	"5"	"1"	"13"	"24"	"432"	"0"	"432"	"0"
"30"	"16"	"9"	"4"	"342"	"44"	"2"	"0"	"3"	"5"	"10"	"5"	"2"	"426"	"0"	"426"	"0"
"31"	"16A"	"9"	"1"	"287"	"40"	"3"	"0"	"2"	"1"	"9"	"1"	"7"	"360"	"0"	"360"	"0"
"32"	"17"	"7"	"3"	"370"	"75"	"5"	"3"	"4"	"5"	"2"	"3"	"11"	"488"	"0"	"488"	"0"
"33"	"18"	"17"	"1"	"143"	"256"	"8"	"2"	"4"	"1"	"1"	"1"	"4"	"438"	"0"	"438"	"0"
"34"	"18A"	"8"	"1"	"132"	"122"	"3"	"1"	"0"	"3"	"3"	"4"	"2"	"279"	"0"	"279"	"0"
"35"	"19"	"3"	"1"	"357"	"84"	"17"	"0"	"3"	"7"	"4"	"3"	"5"	"484"	"0"	"484"	"0"
"36"	"Total :"	"183"	"33"	"4109"	"1017"	"130"	"16"	"29"	"34"	"43"	"38"	"74"	"5706"	"0"	"5706"	"0"
"37"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"41"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"42"	"20"	"37"	"1"	"308"	"69"	"7"	"0"	"1"	"2"	"1"	"2"	"4"	"432"	"0"	"432"	"0"
"43"	"21"	"6"	"4"	"276"	"125"	"16"	"0"	"2"	"4"	"5"	"0"	"6"	"444"	"0"	"444"	"0"
"44"	"22"	"10"	"2"	"262"	"85"	"8"	"1"	"0"	"2"	"5"	"5"	"9"	"389"	"0"	"389"	"0"
"45"	"23"	"2"	"2"	"89"	"233"	"29"	"2"	"1"	"1"	"2"	"2"	"8"	"371"	"0"	"371"	"0"
"46"	"24"	"17"	"3"	"627"	"108"	"24"	"4"	"5"	"2"	"7"	"6"	"15"	"818"	"0"	"818"	"0"
"47"	"25"	"2"	"2"	"267"	"31"	"17"	"4"	"0"	"2"	"1"	"1"	"6"	"333"	"0"	"333"	"0"
"48"	"26"	"23"	"2"	"394"	"52"	"2"	"0"	"0"	"0"	"7"	"5"	"9"	"494"	"0"	"494"	"0"
"49"	"27"	"13"	"1"	"351"	"51"	"6"	"0"	"0"	"5"	"3"	"3"	"2"	"435"	"0"	"435"	"0"
"50"	"28"	"26"	"2"	"314"	"41"	"12"	"1"	"1"	"1"	"2"	"1"	"1"	"402"	"0"	"402"	"0"
"51"	"29"	"7"	"4"	"358"	"88"	"7"	"0"	"1"	"1"	"4"	"1"	"2"	"473"	"0"	"473"	"0"
"52"	"30"	"20"	"4"	"282"	"55"	"17"	"4"	"4"	"5"	"5"	"0"	"11"	"407"	"0"	"407"	"0"
"53"	"31"	"3"	"2"	"166"	"139"	"19"	"2"	"1"	"1"	"2"	"0"	"1"	"336"	"0"	"336"	"0"
