"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE LEGISLATIVE ASSEMBLY FROM 163-PARBATTA ASSEMBLY CONSTITUENCY PART-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Elector in Assembly Constituency/Segment : 204745"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. and Name of the Assembly/segment- 163-PARBATTA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(in the Case of Election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No.- 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"9"	""	"PARMANAND CHOUDHARY (LJP)"	"PREM KUMAR (BSP)"	"RAMANAND PRASAD SINGH (JD(U))"	"JANARDAN PANDIT (ABJS)"	"TEJ BAHADUR SINGH (PTSS)"	"SUNIL KUMAR (SP)"	"DHRUV KUMAR SHARMA (IND)"	"PRABHAT KUMAR (IND)"	"RAJESH KUMAR (IND)"	"BIRENDRA KUMAR CHOUDHARY (IND)"	"SHIV KUMAR MISHRA (IND)"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"11"	"1"	"35"	"6"	"141"	"7"	"3"	"10"	"4"	"7"	"104"	"10"	"7"	"334"	"0"	"334"	"0"
"12"	"2"	"72"	"6"	"180"	"5"	"6"	"9"	"3"	"14"	"122"	"19"	"19"	"455"	"0"	"455"	"0"
"13"	"3"	"32"	"3"	"178"	"16"	"2"	"2"	"7"	"15"	"294"	"27"	"13"	"589"	"0"	"589"	"0"
"14"	"4"	"62"	"8"	"278"	"105"	"12"	"7"	"9"	"27"	"174"	"14"	"30"	"726"	"0"	"726"	"0"
"15"	"5"	"30"	"1"	"63"	"3"	"1"	"4"	"3"	"16"	"432"	"6"	"3"	"562"	"0"	"562"	"0"
"16"	"6"	"19"	"12"	"217"	"11"	"3"	"4"	"1"	"16"	"154"	"13"	"19"	"469"	"0"	"469"	"0"
"17"	"7"	"9"	"6"	"205"	"12"	"5"	"5"	"3"	"16"	"112"	"11"	"14"	"398"	"0"	"398"	"0"
"18"	"8"	"17"	"8"	"355"	"6"	"9"	"3"	"1"	"15"	"47"	"13"	"8"	"482"	"0"	"482"	"0"
"19"	"9"	"22"	"4"	"214"	"16"	"8"	"2"	"3"	"25"	"283"	"28"	"37"	"642"	"0"	"642"	"0"
"20"	"10"	"157"	"13"	"191"	"12"	"4"	"3"	"5"	"12"	"70"	"18"	"30"	"515"	"0"	"515"	"0"
"21"	"11"	"10"	"4"	"159"	"9"	"3"	"6"	"3"	"24"	"117"	"19"	"17"	"371"	"0"	"371"	"0"
"22"	"12"	"15"	"2"	"318"	"6"	"1"	"0"	"1"	"8"	"122"	"4"	"5"	"482"	"0"	"482"	"0"
"23"	"13"	"24"	"1"	"13"	"3"	"2"	"0"	"2"	"8"	"236"	"13"	"11"	"313"	"0"	"313"	"0"
"24"	"14"	"20"	"3"	"15"	"2"	"0"	"2"	"1"	"8"	"325"	"7"	"5"	"388"	"0"	"388"	"0"
"25"	"Round-1
Total"	"524"	"77"	"2527"	"213"	"59"	"57"	"46"	"211"	"2592"	"202"	"218"	"6726"	"0"	"6726"	"0"
"26"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"27"	""	"PARMANAND CHOUDHARY (LJP)"	"PREM KUMAR (BSP)"	"RAMANAND PRASAD SINGH (JD(U))"	"JANARDAN PANDIT (ABJS)"	"TEJ BAHADUR SINGH (PTSS)"	"SUNIL KUMAR (SP)"	"DHRUV KUMAR SHARMA (IND)"	"PRABHAT KUMAR (IND)"	"RAJESH KUMAR (IND)"	"BIRENDRA KUMAR CHOUDHARY (IND)"	"SHIV KUMAR MISHRA (IND)"	""	""	""	""
"28"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"29"	"B/F"	"524"	"77"	"2527"	"213"	"59"	"57"	"46"	"211"	"2592"	"202"	"218"	"6726"	"0"	"6726"	"0"
"30"	"15"	"32"	"5"	"33"	"2"	"1"	"0"	"4"	"4"	"179"	"13"	"17"	"290"	"0"	"290"	""
"31"	"15A"	"105"	"8"	"46"	"10"	"2"	"3"	"1"	"7"	"143"	"9"	"1"	"335"	"0"	"335"	""
"32"	"16"	"10"	"9"	"305"	"6"	"5"	"6"	"4"	"6"	"211"	"11"	"8"	"581"	"0"	"581"	""
"33"	"17"	"20"	"6"	"127"	"5"	"2"	"7"	"5"	"21"	"392"	"21"	"13"	"619"	"0"	"619"	""
"34"	"18"	"5"	"1"	"21"	"4"	"0"	"7"	"0"	"7"	"735"	"12"	"10"	"802"	"0"	"802"	""
"35"	"19"	"21"	"3"	"44"	"8"	"1"	"9"	"4"	"24"	"314"	"29"	"22"	"479"	"0"	"479"	""
"36"	"20"	"23"	"10"	"92"	"7"	"4"	"12"	"3"	"13"	"311"	"15"	"12"	"502"	"0"	"502"	""
"37"	"21"	"108"	"7"	"254"	"12"	"3"	"4"	"1"	"13"	"140"	"24"	"15"	"581"	"0"	"581"	""
"38"	"22"	"4"	"1"	"298"	"5"	"0"	"0"	"0"	"2"	"24"	"2"	"0"	"336"	"0"	"336"	""
"39"	"23"	"5"	"3"	"496"	"7"	"1"	"1"	"0"	"0"	"36"	"3"	"2"	"554"	"0"	"554"	""
"40"	"24"	"33"	"6"	"387"	"7"	"4"	"4"	"3"	"11"	"164"	"7"	"8"	"634"	"0"	"634"	""
"41"	"25"	"13"	"3"	"252"	"9"	"3"	"2"	"2"	"11"	"169"	"14"	"10"	"488"	"0"	"488"	""
"42"	"26"	"8"	"2"	"281"	"3"	"1"	"0"	"1"	"3"	"70"	"0"	"1"	"370"	"0"	"370"	""
"43"	"27"	"77"	"10"	"311"	"3"	"4"	"4"	"6"	"14"	"116"	"18"	"32"	"595"	"0"	"595"	""
"44"	"Round-2
Total"	"464"	"74"	"2947"	"88"	"31"	"59"	"34"	"136"	"3004"	"178"	"151"	"7166"	"0"	"7166"	"0"
"45"	"Cuml. Total"	"988"	"151"	"5474"	"301"	"90"	"116"	"80"	"347"	"5596"	"380"	"369"	"13892"	"0"	"13892"	"0"
"46"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
