"No..and.Name.of.Assembly.Constituency...........48..Jandaha"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"Total No. of Electors in the Assembly Constituency :-  211793"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Round No.  :-    1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"4"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""
"5"	""	""	""	"LJP"	""	"JD (U)"	""	"RJD"	""	"BSP"	""	"SP"	""	"IND"	""	"IND"	""	""	""	""
"6"	""	""	""	"DR. ACHYUTANA ND"	""	"ABINASH KUMAR"	""	"UMESH SINGH KUSHWAHA"	""	"MAHESH SINGH"	""	"PUNAM DEVI"	""	"DAROGA PASWAN"	""	"PRAMOD KUMAR PANDIT"	""	""	""	""
"7"	"1"	"316"	""	"237"	""	"49"	""	"9"	""	"2"	""	"6"	""	"2"	""	"11"	"316"	"0"	"316"	"0"
"8"	"2"	"609"	""	"306"	""	"111"	""	"64"	""	"16"	""	"14"	""	"13"	""	"85"	"609"	"0"	"609"	"0"
"9"	"3"	"485"	""	"189"	""	"55"	""	"200"	""	"13"	""	"10"	""	"2"	""	"16"	"485"	"0"	"485"	"0"
"10"	"4"	"308"	""	"137"	""	"97"	""	"47"	""	"7"	""	"5"	""	"3"	""	"12"	"308"	"0"	"308"	"0"
"11"	"4K"	"330"	""	"96"	""	"81"	""	"94"	""	"10"	""	"10"	""	"13"	""	"26"	"330"	"0"	"330"	"0"
