"No..and.Name.of.Assembly.Constituency.44..Sonepur.Round.No..01"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"
"1"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	"Atul kumar Singh"	""	"Tej N.Mahto"	""	""	"Ramanu j Prasad"	""	""	""	"Vinay Kumar Singh"	""	""	""	""	""	""	"Raj Kumar Rai"	""	""	""	""	""	"Uday Shankar Rai"	""	""	""	""	""	"Bishwan andan Das"	""	""	""	""	"Harendr a Ram"	""	""	""	"Total of Vaild Votes"	""	""	""	""	""	""	""	"No.of rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of tendere d Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	"9"	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"1"	"80"	""	"17"	""	""	"267"	""	""	""	"272"	""	""	""	""	""	""	"11"	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	"10"	""	""	""	"670"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"2"	"133"	""	"105"	""	""	"142"	""	""	""	"203"	""	""	""	""	""	""	"6"	""	""	""	""	""	"5"	""	""	""	""	""	"11"	""	""	""	""	"16"	""	""	""	"621"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"3"	"26"	""	"8"	""	""	"101"	""	""	""	"355"	""	""	""	""	""	""	"10"	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	"14"	""	""	""	"524"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"4"	"4"	""	"4"	""	""	"79"	""	""	""	"482"	""	""	""	""	""	""	"9"	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"587"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"5"	"23"	""	"7"	""	""	"69"	""	""	""	"329"	""	""	""	""	""	""	"13"	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	"10"	""	""	""	"457"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"6"	"12"	""	"6"	""	""	"111"	""	""	""	"312"	""	""	""	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"455"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"7"	"6"	""	"10"	""	""	"287"	""	""	""	"44"	""	""	""	""	""	""	"6"	""	""	""	""	""	"9"	""	""	""	""	""	"7"	""	""	""	""	"16"	""	""	""	"385"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
