"X."	"X..1"	"X..2"	"X015.GHORASAHAN"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"Booth"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""
"2"	"Booth No."	""	"Ext"	"Voters"	"Round"	"NEK MAHAMAD"	""	""	""	"PRAMOD KUMAR  SINHA"	"LAXMI NARAYAN PD. YADAV"	"OM PRAKASH KUMAR"	"ASHOK RAM"	"SURENDRA KUMAR"	"Total"
"3"	"1"	""	"2"	"4"	"6"	"7"	""	""	""	"8"	"9"	"10"	"11"	"12"	"13"
"4"	"1"	""	""	"1008"	"1"	"121"	""	""	""	"241"	"123"	"13"	"11"	"24"	"533"
"5"	"2"	""	""	"1336"	"1"	"213"	""	""	""	"273"	"214"	"7"	"5"	"14"	"726"
"6"	"3"	""	""	"779"	"1"	"77"	""	""	""	"206"	"190"	"13"	"5"	"8"	"499"
"7"	"4"	""	""	"1388"	"1"	"125"	""	""	""	"331"	"177"	"14"	"17"	"51"	"715"
"8"	"5"	""	""	"1133"	"1"	"0"	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"
"9"	"6"	""	""	"1026"	"1"	"233"	""	""	""	"125"	"203"	"5"	"5"	"5"	"576"
"10"	"7"	""	""	"1311"	"1"	"242"	""	""	""	"211"	"125"	"22"	"20"	"35"	"655"
"11"	"8"	""	""	"1023"	"1"	"104"	""	""	""	"337"	"115"	"5"	"4"	"3"	"568"
"12"	"8"	""	"A"	"427"	"1"	"28"	""	""	""	"162"	"158"	"6"	"1"	"3"	"358"
"13"	"9"	""	""	"1204"	"1"	"292"	""	""	""	"263"	"22"	"6"	"5"	"12"	"600"
"14"	"10"	""	""	"965"	"2"	"377"	""	""	""	"123"	"62"	"5"	"1"	"10"	"578"
"15"	"10"	""	"A"	"491"	"2"	"87"	""	""	""	"126"	"8"	"4"	"5"	"4"	"234"
"16"	"11"	""	""	"715"	"2"	"37"	""	""	""	"149"	"190"	"15"	"12"	"20"	"423"
"17"	"12"	""	""	"645"	"2"	"30"	""	""	""	"200"	"141"	"11"	"5"	"10"	"397"
"18"	"13"	""	""	"1390"	"2"	"91"	""	""	""	"94"	"456"	"24"	"10"	"15"	"690"
"19"	"14"	""	""	"1083"	"2"	"266"	""	""	""	"158"	"113"	"8"	"3"	"17"	"565"
"20"	"15"	""	""	"1326"	"2"	"149"	""	""	""	"328"	"85"	"17"	"21"	"24"	"624"
"21"	"16"	""	""	"940"	"2"	"263"	""	""	""	"92"	"115"	"8"	"12"	"8"	"498"
"22"	"17"	""	""	"918"	"2"	"161"	""	""	""	"174"	"125"	"5"	"5"	"17"	"487"
"23"	"18"	""	""	"1039"	"2"	"85"	""	""	""	"309"	"90"	"12"	"10"	"12"	"518"
"24"	"19"	""	""	"950"	"3"	"96"	""	""	""	"250"	"118"	"10"	"7"	"16"	"497"
"25"	"20"	""	""	"1314"	"3"	"261"	""	""	""	"146"	"135"	"22"	"15"	"15"	"594"
"26"	"21"	""	""	"1363"	"3"	"244"	""	""	""	"329"	"133"	"6"	"4"	"5"	"721"
"27"	"22"	""	""	"1292"	"3"	"190"	""	""	""	"263"	"174"	"13"	"12"	"16"	"668"
"28"	"23"	""	""	"1125"	"3"	"108"	""	""	""	"255"	"236"	"16"	"9"	"17"	"641"
"29"	"24"	""	""	"851"	"3"	"227"	""	""	""	"189"	"40"	"6"	"8"	"8"	"478"
"30"	"25"	""	""	"846"	"3"	"13"	""	""	""	"49"	"362"	"21"	"5"	"2"	"452"
"31"	"26"	""	""	"926"	"3"	"61"	""	""	""	"429"	"36"	"7"	"2"	"3"	"538"
"32"	"27"	""	""	"1158"	"3"	"235"	""	""	""	"80"	"233"	"9"	"6"	"13"	"576"
"33"	"28"	""	""	"1179"	"3"	"215"	""	""	""	"277"	"111"	"5"	"16"	"13"	"637"
"34"	"29"	""	""	"909"	"4"	"136"	""	""	""	"127"	"158"	"20"	"9"	"12"	"462"
"35"	"30"	""	""	"956"	"4"	"194"	""	""	""	"98"	"182"	"9"	"8"	"8"	"499"
"36"	"31"	""	""	"824"	"4"	"124"	""	""	""	"136"	"91"	"7"	"4"	"17"	"379"
"37"	"32"	""	""	"822"	"4"	"154"	""	""	""	"105"	"219"	"12"	"5"	"16"	"511"
"38"	"33"	""	""	"925"	"4"	"166"	""	""	""	"138"	"67"	"7"	"4"	"9"	"391"
"39"	"34"	""	""	"971"	"4"	"118"	""	""	""	"246"	"51"	"3"	"3"	"16"	"437"
"40"	"34"	""	"A"	"547"	"4"	"174"	""	""	""	"119"	"30"	"5"	"6"	"4"	"338"
"41"	"35"	""	""	"943"	"4"	"201"	""	""	""	"189"	"99"	"10"	"11"	"24"	"534"
"42"	"35"	""	"A"	"540"	"4"	"45"	""	""	""	"73"	"132"	"14"	"13"	"15"	"292"
"43"	"36"	""	""	"865"	"4"	"100"	""	""	""	"270"	"55"	"8"	"8"	"22"	"463"
"44"	"37"	""	""	"943"	"5"	"70"	""	""	""	"321"	"93"	"3"	"4"	"11"	"502"
"45"	"37"	""	"A"	"497"	"5"	"23"	""	""	""	"149"	"31"	"1"	"0"	"12"	"216"
"46"	"38"	""	"A"	"592"	"5"	"38"	""	""	""	"104"	"21"	"2"	"1"	"4"	"170"
