"X."	"X..1"	"X..2"	"X..3"	"X020.GOBINDGANJ"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	""	""	""	""	"Candidate's Name"	""	""	""	""	""
"2"	"Booth No."	"Ext"	"Voters"	"Round"	"ANIRUDH SAHANI"	"PRABHU RAM"	"MEENA DEVI"	"RAJAN TIWARI"	"SHASHI BHUSHAN RAI"	"Total"
"3"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"4"	"1"	""	"570"	"1"	"59"	"24"	"182"	"94"	"108"	"467"
"5"	"1"	"A"	"902"	"1"	"54"	"5"	"40"	"71"	"60"	"230"
"6"	"2"	""	"963"	"1"	"18"	"9"	"177"	"143"	"72"	"419"
"7"	"2"	"A"	"514"	"1"	"5"	"10"	"75"	"121"	"25"	"236"
"8"	"3"	""	"803"	"1"	"50"	"4"	"43"	"119"	"107"	"323"
"9"	"3"	"A"	"612"	"1"	"62"	"8"	"63"	"110"	"48"	"291"
"10"	"4"	""	"1273"	"1"	"299"	"54"	"37"	"53"	"59"	"502"
"11"	"5"	""	"826"	"1"	"24"	"22"	"95"	"116"	"33"	"290"
"12"	"6"	""	"1206"	"1"	"85"	"16"	"165"	"246"	"58"	"570"
"13"	"7"	""	"1317"	"1"	"128"	"18"	"128"	"161"	"48"	"483"
"14"	"8"	""	"451"	"2"	"22"	"9"	"32"	"159"	"19"	"241"
"15"	"9"	""	"635"	"2"	"41"	"26"	"129"	"41"	"61"	"298"
"16"	"10"	""	"1055"	"2"	"61"	"16"	"39"	"225"	"66"	"407"
"17"	"11"	""	"1308"	"2"	"43"	"23"	"167"	"196"	"285"	"714"
"18"	"12"	""	"1097"	"2"	"128"	"14"	"165"	"95"	"20"	"422"
"19"	"13"	""	"877"	"2"	"18"	"26"	"146"	"102"	"20"	"312"
"20"	"14"	""	"1032"	"2"	"19"	"6"	"47"	"463"	"25"	"560"
"21"	"14"	"A"	"492"	"2"	"12"	"3"	"37"	"177"	"11"	"240"
"22"	"15"	""	"813"	"2"	"35"	"16"	"49"	"251"	"46"	"397"
"23"	"16"	""	"833"	"2"	"14"	"9"	"30"	"316"	"25"	"394"
"24"	"17"	""	"1240"	"3"	"12"	"11"	"34"	"508"	"47"	"612"
"25"	"18"	""	"742"	"3"	"27"	"2"	"58"	"147"	"17"	"251"
"26"	"19"	""	"818"	"3"	"43"	"5"	"26"	"167"	"14"	"255"
"27"	"20"	""	"1282"	"3"	"93"	"14"	"109"	"242"	"82"	"540"
"28"	"21"	""	"865"	"3"	"50"	"6"	"92"	"98"	"134"	"380"
"29"	"22"	""	"917"	"3"	"84"	"13"	"112"	"111"	"78"	"398"
"30"	"23"	""	"691"	"3"	"14"	"2"	"237"	"100"	"26"	"379"
"31"	"24"	""	"868"	"3"	"31"	"13"	"84"	"143"	"180"	"451"
"32"	"25"	""	"837"	"3"	"18"	"7"	"84"	"152"	"125"	"386"
"33"	"26"	""	"803"	"3"	"70"	"13"	"48"	"52"	"174"	"357"
"34"	"27"	""	"543"	"4"	"8"	"0"	"4"	"2"	"287"	"301"
"35"	"28"	""	"592"	"4"	"30"	"1"	"4"	"20"	"260"	"315"
"36"	"29"	""	"944"	"4"	"50"	"6"	"107"	"45"	"247"	"455"
"37"	"30"	""	"791"	"4"	"20"	"4"	"45"	"19"	"215"	"303"
"38"	"31"	""	"686"	"4"	"42"	"8"	"121"	"52"	"109"	"332"
"39"	"32"	""	"1025"	"4"	"32"	"14"	"110"	"173"	"153"	"482"
"40"	"33"	""	"1108"	"4"	"60"	"21"	"346"	"120"	"27"	"574"
"41"	"34"	""	"1058"	"4"	"22"	"16"	"381"	"85"	"16"	"520"
"42"	"35"	""	"1257"	"4"	"86"	"23"	"237"	"105"	"80"	"531"
"43"	"36"	""	"831"	"4"	"2"	"0"	"318"	"26"	"7"	"353"
"44"	"37"	""	"1106"	"5"	"17"	"12"	"374"	"9"	"61"	"473"
"45"	"38"	""	"1075"	"5"	"14"	"11"	"254"	"19"	"150"	"448"
"46"	"39"	""	"741"	"5"	"13"	"1"	"82"	"1"	"165"	"262"
"47"	"40"	""	"1075"	"5"	"19"	"12"	"394"	"32"	"25"	"482"
"48"	"41"	""	"1002"	"5"	"56"	"15"	"227"	"57"	"21"	"376"
"49"	"41"	"A"	"577"	"5"	"46"	"5"	"51"	"43"	"38"	"183"
"50"	"42"	""	"1009"	"5"	"31"	"9"	"175"	"171"	"30"	"416"
"51"	"43"	""	"937"	"5"	"21"	"10"	"237"	"82"	"23"	"373"
"52"	"44"	""	"1241"	"5"	"30"	"10"	"403"	"75"	"28"	"546"
"53"	"45"	""	"925"	"5"	"113"	"of 5       7"	"400"	"31"	"27"	"478"
"54"	"46"	""	"415"	"6"	"62"	"11"	"74"	"23"	"10"	"180"
"55"	""	""	""	""	"020-GOBINDGANJ"	""	""	""	""	""
"56"	""	""	""	""	"Candidate's Name"	""	""	""	""	""
"57"	"Booth No."	"Ext"	"Voters"	"Round"	"ANIRUDH SAHANI"	"PRABHU RAM"	"MEENA DEVI"	"RAJAN TIWARI"	"SHASHI BHUSHAN RAI"	"Total"
"58"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"59"	"47"	""	"1237"	"6"	"36"	"16"	"460"	"35"	"7"	"554"
"60"	"48"	""	"1083"	"6"	"13"	"7"	"299"	"65"	"20"	"404"
"61"	"49"	""	"1107"	"6"	"19"	"10"	"452"	"40"	"30"	"551"
"62"	"50"	""	"1180"	"6"	"40"	"12"	"405"	"34"	"44"	"535"
"63"	"51"	""	"1058"	"6"	"47"	"9"	"314"	"69"	"17"	"456"
"64"	"52"	""	"1201"	"6"	"73"	"14"	"282"	"36"	"133"	"538"
"65"	"53"	""	"706"	"6"	"42"	"3"	"177"	"36"	"23"	"281"
"66"	"54"	""	"1207"	"6"	"50"	"15"	"255"	"90"	"105"	"515"
"67"	"55"	""	"1170"	"6"	"73"	"9"	"322"	"105"	"11"	"520"
"68"	"56"	""	"1272"	"7"	"65"	"17"	"291"	"115"	"19"	"507"
"69"	"57"	""	"1110"	"7"	"122"	"9"	"245"	"108"	"24"	"508"
"70"	"58"	""	"982"	"7"	"72"	"11"	"278"	"75"	"19"	"455"
"71"	"59"	""	"998"	"7"	"27"	"20"	"259"	"88"	"78"	"472"
"72"	"60"	""	"1080"	"7"	"66"	"10"	"266"	"80"	"79"	"501"
"73"	"61"	""	"876"	"7"	"63"	"7"	"262"	"77"	"31"	"440"
"74"	"62"	""	"818"	"7"	"22"	"4"	"343"	"54"	"9"	"432"
"75"	"63"	""	"670"	"7"	"42"	"10"	"158"	"98"	"113"	"421"
"76"	"64"	""	"934"	"7"	"112"	"11"	"73"	"113"	"102"	"411"
"77"	"65"	""	"890"	"7"	"35"	"13"	"217"	"115"	"35"	"415"
"78"	"66"	""	"716"	"8"	"47"	"8"	"182"	"52"	"21"	"310"
"79"	"67"	""	"869"	"8"	"95"	"14"	"222"	"85"	"38"	"454"
"80"	"68"	""	"785"	"8"	"7"	"5"	"155"	"190"	"35"	"392"
"81"	"69"	""	"1008"	"8"	"46"	"5"	"175"	"136"	"97"	"459"
"82"	"69"	"A"	"458"	"8"	"8"	"4"	"81"	"37"	"54"	"184"
"83"	"70"	""	"881"	"8"	"31"	"6"	"215"	"78"	"90"	"420"
"84"	"70"	"A"	"606"	"8"	"10"	"2"	"94"	"79"	"53"	"238"
