"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"6"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"8"	"1"	"112"	"9"	"360"	"14"	"8"	"15"	"8"	"12"	"538"	""	"538"	""
"9"	"2"	"322"	"12"	"275"	"7"	"12"	"2"	"1"	"12"	"643"	""	"643"	""
"10"	"3"	"289"	"8"	"89"	"6"	"1"	"0"	"1"	"14"	"408"	""	"408"	""
"11"	"3A"	"218"	"13"	"288"	"8"	"10"	"5"	"4"	"7"	"553"	""	"553"	""
"12"	"4"	"334"	"20"	"111"	"10"	"4"	"9"	"9"	"10"	"507"	""	"507"	""
"13"	"4A"	"269"	"8"	"15"	"2"	"4"	"1"	"0"	"15"	"314"	""	"314"	""
"14"	"5"	"312"	"13"	"39"	"3"	"2"	"1"	"1"	"6"	"377"	""	"377"	""
"15"	"5A"	"220"	"13"	"187"	"11"	"3"	"4"	"4"	"27"	"469"	""	"469"	""
"16"	"6"	"161"	"20"	"421"	"14"	"10"	"7"	"8"	"23"	"664"	""	"664"	""
"17"	"7"	"211"	"15"	"547"	"24"	"6"	"8"	"3"	"12"	"826"	""	"826"	""
"18"	"8"	"75"	"17"	"439"	"16"	"2"	"1"	"4"	"11"	"565"	""	"565"	""
"19"	"8A"	"89"	"10"	"276"	"10"	"1"	"1"	"2"	"2"	"391"	""	"391"	""
"20"	"9"	"194"	"10"	"298"	"8"	"7"	"1"	"6"	"24"	"548"	""	"548"	""
"21"	"9A"	"81"	"5"	"147"	"2"	"1"	"0"	"5"	"3"	"244"	""	"244"	""
"22"	"Current Round Total"	"2887"	"173"	"3492"	"135"	"71"	"55"	"56"	"178"	"7047"	"0"	"7047"	"0"
"23"	"(Statutory Rules and Order)                                                      ROUND : SECOND"	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"29"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"30"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"31"	"10"	"54"	"12"	"383"	"6"	"6"	"4"	"2"	"14"	"481"	""	"481"	""
"32"	"10A"	"62"	"1"	"179"	"6"	"4"	"3"	"2"	"2"	"259"	""	"259"	""
"33"	"11"	"67"	"16"	"355"	"20"	"9"	"3"	"6"	"7"	"483"	""	"483"	""
"34"	"11A"	"89"	"16"	"190"	"7"	"4"	"6"	"3"	"11"	"326"	""	"326"	""
"35"	"12"	"217"	"20"	"160"	"17"	"10"	"4"	"2"	"7"	"437"	""	"437"	""
"36"	"12A"	"235"	"18"	"155"	"10"	"4"	"1"	"6"	"6"	"435"	""	"435"	""
"37"	"13"	"41"	"35"	"471"	"8"	"6"	"7"	"8"	"9"	"585"	""	"585"	""
"38"	"14"	"45"	"7"	"375"	"25"	"4"	"7"	"5"	"3"	"471"	""	"471"	""
"39"	"14A"	"13"	"1"	"240"	"9"	"1"	"3"	"1"	"7"	"275"	""	"275"	""
"40"	"15"	"202"	"10"	"155"	"3"	"1"	"2"	"1"	"4"	"378"	""	"378"	""
"41"	"16"	"310"	"50"	"336"	"9"	"5"	"6"	"6"	"13"	"735"	""	"735"	""
"42"	"16A"	"68"	"24"	"458"	"13"	"3"	"5"	"5"	"8"	"584"	""	"584"	""
"43"	"17"	"105"	"16"	"346"	"11"	"7"	"11"	"8"	"9"	"513"	""	"513"	""
"44"	"17A"	"59"	"11"	"273"	"10"	"2"	"3"	"7"	"2"	"367"	""	"367"	""
"45"	"Current Round Total"	"1567"	"237"	"4076"	"154"	"66"	"65"	"62"	"102"	"6329"	"0"	"6329"	"0"
"46"	"Previous Round Total"	"2887"	"173"	"3492"	"135"	"71"	"55"	"56"	"178"	"7047"	"0"	"7047"	"0"
"47"	"TOTAL"	"4454"	"410"	"7568"	"289"	"137"	"120"	"118"	"280"	"13376"	"0"	"13376"	"0"
"48"	"(Statutory Rules and Order)                                                      ROUND : THIRD"	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"54"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
