"Booth.No."	"Akhtarul.Iman"	"Dinesh.Kumar.Ram"	"Md..Mushtaque.Munna"	"Sanjeev.Kumar.Yadav"	"Bhola.Ray"	"Md..Izhar.Asfi"	"Kalu.Lal"	"Kshameshwar.Pd..Mandal"	"Gobardhan.Prasad.Yadav"	"Ram.Kishun"	"Total.of.Valid.votes"	"Number.of.rejected.votes"	"TOTAL"	"No..of.tendered.votes"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"2"	1	261	10	61	202	4	11	11	9	5	15	589	NA	589	NA
"3"	2	200	9	23	63	5	107	7	4	4	11	433	NA	433	NA
"4"	3	352	9	9	129	3	4	2	5	4	10	527	NA	527	NA
"5"	4	406	14	10	7	5	12	3	1	4	13	475	NA	475	NA
"6"	5	432	12	33	53	2	22	5	6	7	20	592	NA	592	NA
"7"	6	118	3	111	329	7	14	9	13	1	11	616	NA	616	NA
"8"	7	191	8	65	128	7	25	4	3	5	12	448	NA	448	NA
"9"	8	189	20	76	233	6	17	4	2	4	6	557	NA	557	NA
"10"	9	385	9	24	24	2	11	3	1	4	12	475	NA	475	NA
"11"	10	271	6	9	19	0	7	2	0	2	8	324	NA	324	NA
"12"	11	236	7	65	107	4	27	5	2	1	10	464	NA	464	NA
"13"	12	227	11	96	127	7	9	2	5	9	22	515	NA	515	NA
"14"	13	140	4	99	5	1	17	3	7	3	21	300	NA	300	NA
"15"	14	423	16	16	42	4	8	2	8	6	18	543	NA	543	NA
"16"	NA	3831	138	697	1468	57	291	62	66	59	189	6858	0	6858	0
"17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"19"	15	172	2	21	193	1	5	4	5	0	7	410	NA	410	NA
"20"	16	320	19	37	278	11	14	5	4	4	10	702	NA	702	NA
"21"	17	158	7	31	140	7	24	2	5	3	9	386	NA	386	NA
"22"	18	166	4	7	317	16	10	11	19	3	22	575	NA	575	NA
"23"	19	472	18	32	94	1	12	0	2	1	4	636	NA	636	NA
"24"	20	452	8	36	23	2	19	3	3	4	11	561	NA	561	NA
"25"	21	385	9	16	25	0	23	5	2	1	14	480	NA	480	NA
"26"	22	353	14	102	43	7	34	6	11	4	18	592	NA	592	NA
"27"	23	394	14	55	31	1	23	3	21	4	11	557	NA	557	NA
"28"	24	251	7	8	28	2	71	6	55	2	3	433	NA	433	NA
"29"	25	181	6	17	236	6	61	6	14	10	18	555	NA	555	NA
"30"	26	72	6	83	12	5	36	5	3	6	9	237	NA	237	NA
"31"	NA	227	7	16	16	2	89	2	2	3	1	365	NA	365	NA
"32"	27	125	10	24	37	5	266	14	8	4	8	501	NA	501	NA
"33"	NA	3728	131	485	1473	66	687	72	154	49	145	6990	0	6990	0
"34"	NA	7559	269	1182	2941	123	978	134	220	108	334	13848	0	13848	0
"35"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"36"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"37"	28	256	7	6	39	3	67	3	1	2	6	390	NA	390	NA
"38"	29	466	6	38	28	1	44	3	5	3	15	609	NA	609	NA
"39"	30	257	7	26	282	13	63	4	10	3	11	676	NA	676	NA
"40"	31	437	14	17	103	6	32	8	4	9	19	649	NA	649	NA
"41"	32	489	8	6	56	1	37	3	3	0	0	603	NA	603	NA
"42"	33	442	17	7	42	2	9	1	0	1	17	538	NA	538	NA
"43"	34	519	16	42	53	5	21	5	5	6	8	680	NA	680	NA
"44"	35	544	11	34	36	1	28	4	7	4	11	680	NA	680	NA
"45"	36	209	2	33	50	0	44	3	1	2	6	350	NA	350	NA
"46"	37	466	16	68	30	2	84	7	5	5	5	688	NA	688	NA
"47"	38	78	10	43	383	4	3	6	25	6	14	572	NA	572	NA
"48"	39	136	10	37	102	3	15	5	6	2	5	321	NA	321	NA
"49"	40	64	6	6	387	19	9	5	11	5	7	519	NA	519	NA
"50"	41	139	4	45	241	11	48	5	8	6	14	521	NA	521	NA
"51"	NA	4502	134	408	1832	71	504	62	91	54	138	7796	0	7796	0
"52"	NA	12061	403	1590	4773	194	1482	196	311	162	472	21644	0	21644	0
