"Election.to.the..Bihar.Legislative..Assembly..From.97.MOHIUDDINNAGAR.Assembly..Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"PART I"	""	""	""	""	""	""	""	""	""
"2"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"4"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"5"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"6"	"1"	"71"	"83"	"47"	"3"	"13"	"217"	""	"217"	""
"7"	"1A"	"51"	"77"	"161"	"20"	"9"	"318"	""	"318"	""
"8"	"2"	"181"	"103"	"118"	"11"	"12"	"425"	""	"425"	""
"9"	"3"	"274"	"37"	"18"	"5"	"20"	"354"	""	"354"	""
"10"	"4"	"422"	"23"	"25"	"12"	"32"	"514"	""	"514"	""
"11"	"5"	"488"	"61"	"37"	"5"	"13"	"604"	""	"604"	""
"12"	"6"	"146"	"35"	"117"	"6"	"14"	"318"	""	"318"	""
"13"	"6A"	"221"	"79"	"65"	"8"	"11"	"384"	""	"384"	""
"14"	"7"	"189"	"14"	"111"	"13"	"13"	"340"	""	"340"	""
"15"	"8"	"321"	"41"	"43"	"4"	"17"	"426"	""	"426"	""
"16"	"9"	"152"	"75"	"98"	"5"	"15"	"345"	""	"345"	""
"17"	"9A"	"161"	"54"	"38"	"5"	"16"	"274"	""	"274"	""
"18"	"10"	"106"	"44"	"67"	"11"	"12"	"240"	""	"240"	""
"19"	"10A"	"113"	"44"	"148"	"7"	"21"	"333"	""	"333"	""
"20"	"Page Total"	"2896"	"770"	"1093"	"115"	"218"	"5092"	"0"	"5092"	"0"
"21"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"22"	"PART I"	""	""	""	""	""	""	""	""	""
"23"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"24"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"25"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"26"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"27"	"B.F."	"2896"	"770"	"1093"	"115"	"218"	"5092"	"0"	"5092"	"0"
"28"	"11"	"264"	"45"	"116"	"8"	"27"	"460"	""	"460"	""
"29"	"12"	"217"	"87"	"89"	"10"	"31"	"434"	""	"434"	""
"30"	"13"	"166"	"20"	"21"	"7"	"12"	"226"	""	"226"	""
"31"	"14"	"99"	"34"	"242"	"12"	"16"	"403"	""	"403"	""
"32"	"15"	"88"	"80"	"124"	"5"	"5"	"302"	""	"302"	""
"33"	"15A"	"63"	"45"	"148"	"2"	"8"	"266"	""	"266"	""
"34"	"16"	"45"	"51"	"255"	"13"	"21"	"385"	""	"385"	""
"35"	"17"	"233"	"33"	"154"	"21"	"23"	"464"	""	"464"	""
"36"	"18"	"246"	"20"	"41"	"11"	"24"	"342"	""	"342"	""
"37"	"19"	"150"	"26"	"133"	"9"	"19"	"337"	""	"337"	""
"38"	"20"	"234"	"16"	"61"	"2"	"10"	"323"	""	"323"	""
"39"	"20A"	"118"	"9"	"156"	"10"	"6"	"299"	""	"299"	""
"40"	"21"	"363"	"35"	"79"	"8"	"20"	"505"	""	"505"	""
"41"	"22"	"43"	"23"	"289"	"33"	"15"	"403"	""	"403"	""
"42"	"Page Total"	"5225"	"1294"	"3001"	"266"	"455"	"10241"	"0"	"10241"	"0"
"43"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"44"	"PART I"	""	""	""	""	""	""	""	""	""
"45"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"46"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
