"fuEufyf.kr.vH.fFkZ.ksa.ds.i.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"2"	"1"	"6"	"116"	"80"	"3"	"5"	"4"	"214"	""	"214"	""
"3"	"2"	"50"	"245"	"106"	"14"	"10"	"15"	"440"	""	"440"	""
"4"	"3"	"91"	"105"	"90"	"8"	"8"	"7"	"309"	""	"309"	""
"5"	"4"	"31"	"165"	"168"	"11"	"4"	"9"	"388"	""	"388"	""
"6"	"5"	"12"	"236"	"44"	"3"	"2"	"7"	"304"	""	"304"	""
"7"	"6"	"17"	"190"	"140"	"10"	"4"	"7"	"368"	""	"368"	""
"8"	"7"	"32"	"144"	"26"	"7"	"3"	"7"	"219"	""	"219"	""
"9"	"8"	"26"	"251"	"123"	"13"	"7"	"10"	"430"	""	"430"	""
"10"	"9"	"121"	"44"	"150"	"5"	"3"	"14"	"337"	""	"337"	""
"11"	"10"	"85"	"176"	"162"	"10"	"7"	"4"	"444"	""	"444"	""
"12"	"11"	"36"	"216"	"257"	"20"	"8"	"11"	"548"	""	"548"	""
"13"	"12"	"16"	"20"	"204"	"7"	"4"	"9"	"260"	""	"260"	""
"14"	"13"	"5"	"45"	"260"	"3"	"4"	"12"	"329"	""	"329"	""
"15"	"14"	"33"	"18"	"108"	"2"	"4"	"6"	"171"	""	"171"	""
"16"	"TOTAL-I"	"561"	"1971"	"1918"	"116"	"73"	"122"	"4761"	""	"4761"	""
"17"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""
"18"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"19"	"15"	"33"	"264"	"152"	"4"	"2"	"18"	"473"	""	"473"	""
"20"	"16"	"21"	"337"	"37"	"15"	"15"	"14"	"439"	""	"439"	""
"21"	"17"	"37"	"208"	"171"	"9"	"12"	"8"	"445"	""	"445"	""
"22"	"18"	"90"	"63"	"239"	"3"	"5"	"20"	"420"	""	"420"	""
"23"	"18d"	"30"	"192"	"59"	"4"	"5"	"9"	"299"	""	"299"	""
"24"	"19"	"33"	"255"	"102"	"4"	"5"	"7"	"406"	""	"406"	""
"25"	"19d"	"57"	"166"	"123"	"14"	"9"	"18"	"387"	""	"387"	""
"26"	"20"	"31"	"157"	"313"	"12"	"6"	"37"	"556"	""	"556"	""
"27"	"21"	"5"	"33"	"271"	"4"	"1"	"1"	"315"	""	"315"	""
"28"	"21A"	"23"	"96"	"212"	"8"	"4"	"3"	"346"	""	"346"	""
"29"	"22"	"13"	"56"	"347"	"4"	"1"	"14"	"435"	""	"435"	""
"30"	"23"	"11"	"95"	"247"	"3"	"5"	"13"	"374"	""	"374"	""
"31"	"23d"	"32"	"138"	"247"	"8"	"1"	"8"	"434"	""	"434"	""
"32"	"24"	"46"	"332"	"269"	"13"	"8"	"27"	"695"	""	"695"	""
"33"	"TOTAL-II"	"462"	"2392"	"2789"	"105"	"79"	"197"	"6024"	""	"6024"	""
"34"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""
"35"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"36"	"25"	"14"	"112"	"225"	"6"	"6"	"7"	"370"	""	"370"	""
"37"	"25d"	"53"	"159"	"171"	"4"	"8"	"3"	"398"	""	"398"	""
"38"	"26"	"22"	"67"	"597"	"13"	"6"	"13"	"718"	""	"718"	""
"39"	"27"	"35"	"156"	"413"	"11"	"3"	"15"	"633"	""	"633"	""
"40"	"28"	"26"	"77"	"417"	"6"	"5"	"16"	"547"	""	"547"	""
"41"	"28d"	"19"	"99"	"176"	"8"	"3"	"10"	"315"	""	"315"	""
"42"	"29"	"19"	"40"	"259"	"6"	"3"	"1"	"328"	""	"328"	""
"43"	"29d"	"21"	"64"	"200"	"12"	"2"	"5"	"304"	""	"304"	""
"44"	"30"	"24"	"194"	"209"	"7"	"14"	"6"	"454"	""	"454"	""
"45"	"31"	"38"	"197"	"136"	"22"	"14"	"14"	"421"	""	"421"	""
"46"	"32"	"31"	"467"	"42"	"9"	"2"	"9"	"560"	""	"560"	""
"47"	"33"	"31"	"171"	"416"	"22"	"9"	"18"	"667"	""	"667"	""
"48"	"34"	"11"	"279"	"121"	"12"	"11"	"10"	"444"	""	"444"	""
"49"	"35"	"20"	"162"	"352"	"13"	"8"	"8"	"563"	""	"563"	""
"50"	"Total III"	"364"	"2244"	"3734"	"151"	"94"	"135"	"6722"	""	"6722"	""
"51"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""
