"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"vafre ifj.kke&i="	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[fu;e 56¼7½]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"110  jk?kksiqj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Hkkx&1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"fuEufyf[kr  vH;fFkZ;ksa ds  i{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"ernku  dsUnz la0"	"t; o)Zu
;kno"	"eks0 ft;k míhu"	"fnus'k dqekj esgrk"	"uhjt dqekj flag
*ccyw*"	"vtqZu e.My"	"ukjk;.k eaMy"	"jkt dqekj pka¡n"	"vfuy dqekj"	"jktsUnz pkS/kjh"	"jkenso 'kekZ"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"7"	"1"	"50"	"53"	"2"	"197"	"9"	"44"	"13"	"4"	"5"	"10"	"387"	""	"387"	""
"8"	"1d"	"63"	"70"	"2"	"216"	"3"	"39"	"8"	"5"	"3"	"9"	"418"	""	"418"	""
"9"	"2"	"33"	"23"	"3"	"114"	"2"	"12"	"3"	"0"	"0"	"6"	"196"	""	"196"	""
"10"	"3"	"22"	"32"	"4"	"197"	"2"	"25"	"3"	"0"	"1"	"2"	"288"	""	"288"	""
"11"	"4"	"46"	"98"	"13"	"133"	"9"	"42"	"8"	"4"	"0"	"9"	"362"	""	"362"	""
"12"	"5"	"82"	"323"	"35"	"245"	"8"	"46"	"10"	"7"	"10"	"41"	"807"	""	"807"	""
"13"	"6"	"88"	"217"	"18"	"159"	"8"	"30"	"14"	"6"	"13"	"53"	"606"	""	"606"	""
"14"	"7"	"181"	"55"	"7"	"389"	"5"	"63"	"11"	"4"	"3"	"11"	"729"	""	"729"	""
"15"	"8"	"133"	"111"	"8"	"231"	"9"	"39"	"15"	"4"	"9"	"23"	"582"	""	"582"	""
"16"	"9"	"74"	"19"	"3"	"191"	"5"	"48"	"16"	"5"	"6"	"10"	"377"	""	"377"	""
"17"	"10"	"320"	"74"	"10"	"170"	"8"	"39"	"18"	"8"	"12"	"26"	"685"	""	"685"	""
"18"	"11"	"139"	"134"	"9"	"174"	"11"	"31"	"10"	"4"	"10"	"28"	"550"	""	"550"	""
"19"	"12"	"50"	"16"	"2"	"140"	"0"	"30"	"1"	"0"	"0"	"1"	"240"	""	"240"	""
"20"	"12A"	"150"	"38"	"6"	"158"	"2"	"34"	"3"	"1"	"4"	"5"	"401"	""	"401"	""
