"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"(CHAPTER   XIV, PARA   26.9) FORM - 20"	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C (7) ]"	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 104 MATIHANI A.C"	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency ------------------------------"	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly  - 104 MATIHANI A.C."	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"7"	""	"Abhay Kumar Singh"	"Rajendra Rajan"	"Sanjay Kumar"	"Dharmendra Patel"	"Narendra Kumar Singh"	"Saunelal Sah"	""	""	""	""
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"9"	"1"	"107"	"230"	"11"	"9"	"221"	"25"	"603"	"0"	"603"	"0"
"10"	"2"	"32"	"47"	"4"	"2"	"511"	"29"	"625"	"0"	"625"	"0"
"11"	"3"	"55"	"49"	"6"	"6"	"504"	"12"	"632"	"0"	"632"	"0"
"12"	"4"	"89"	"79"	"13"	"10"	"446"	"15"	"652"	"0"	"652"	"0"
"13"	"5"	"70"	"75"	"3"	"5"	"95"	"18"	"266"	"0"	"266"	"0"
"14"	"6"	"68"	"84"	"7"	"15"	"630"	"48"	"852"	"0"	"852"	"0"
"15"	"7"	"237"	"223"	"17"	"2"	"196"	"23"	"698"	"0"	"698"	"0"
"16"	"8"	"193"	"134"	"11"	"5"	"315"	"24"	"683"	"0"	"683"	"0"
"17"	"9"	"146"	"142"	"10"	"3"	"381"	"39"	"706"	"0"	"706"	"0"
"18"	"10"	"125"	"235"	"14"	"13"	"439"	"11"	"865"	"0"	"865"	"0"
"19"	"11"	"255"	"98"	"6"	"4"	"229"	"14"	"603"	"0"	"603"	"0"
"20"	"12"	"280"	"162"	"12"	"3"	"326"	"13"	"797"	"0"	"797"	"0"
"21"	"13"	"117"	"88"	"7"	"4"	"218"	"14"	"447"	"0"	"447"	"0"
"22"	"13A"	"47"	"126"	"4"	"11"	"196"	"14"	"398"	"0"	"398"	"0"
"23"	"14"	"94"	"251"	"16"	"14"	"252"	"37"	"664"	"0"	"664"	"0"
"24"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"25"	""	"Abhay Kumar Singh"	"Rajendra Rajan"	"Sanjay Kumar"	"Dharmendra Patel"	"Narendra Kumar Singh"	"Saunelal Sah"	""	""	""	""
"26"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"27"	"15"	"137"	"42"	"7"	"1"	"161"	"8"	"356"	"0"	"356"	"0"
"28"	"15A"	"152"	"35"	"3"	"3"	"40"	"5"	"238"	"0"	"238"	"0"
"29"	"16"	"213"	"55"	"9"	"5"	"187"	"14"	"483"	"0"	"483"	"0"
"30"	"17"	"120"	"98"	"13"	"14"	"392"	"38"	"675"	"0"	"675"	"0"
"31"	"18"	"193"	"39"	"10"	"5"	"148"	"23"	"418"	"0"	"418"	"0"
