"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Table No."	"No. & Name of Polling Station"	"FAKHRUDDIN ALI AHMAD"	"JUGAL RAVIDAS"	"RAJ BALLABH PRASAD"	"DR. SHATRUGHAN PRASAD SINGH"	"AJAY YADAV"	"ANIL KUMAR AKAUNA BAZAR"	"ANIL KUMAR PANTI"	"ARUN KUMAR"	"ASHOK KUMAR ALIAS PAPPU YADAV"	"UMA SHANKAR SINGH"	"KARU RAM"	"JAI SHANKAR PRASAD"	"JALDHAR MAHTO"	"DOWARIKA CHOUDHARY"	"NARESH PRASAD YADAV"	"PURNIMA YADAV"	"VIJAY KUMAR"	"RAMDEO CHOUDHARY"	"SATENDAR YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"11"	"1"	"1"	"7"	"2"	"15"	"36"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"4"	"4"	"144"	"0"	"0"	"2"	"219"	"0"	"219"	"0"
"12"	"2"	"1A"	"11"	"1"	"43"	"16"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"2"	"2"	"110"	"7"	"3"	"8"	"208"	"0"	"208"	"0"
"13"	"3"	"2"	"16"	"1"	"5"	"79"	"2"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"2"	"156"	"2"	"0"	"5"	"274"	"0"	"274"	"0"
"14"	"4"	"3"	"120"	"13"	"106"	"13"	"7"	"2"	"2"	"1"	"0"	"1"	"4"	"2"	"8"	"3"	"7"	"75"	"2"	"0"	"7"	"373"	"0"	"373"	"0"
"15"	"5"	"4"	"43"	"11"	"199"	"43"	"6"	"6"	"2"	"2"	"2"	"2"	"3"	"5"	"7"	"4"	"5"	"105"	"6"	"3"	"12"	"466"	"0"	"466"	"0"
"16"	"6"	"5"	"19"	"4"	"178"	"17"	"3"	"5"	"1"	"0"	"4"	"0"	"1"	"4"	"10"	"11"	"11"	"212"	"2"	"2"	"0"	"484"	"0"	"484"	"0"
"17"	"7"	"6"	"26"	"10"	"226"	"16"	"7"	"3"	"1"	"1"	"1"	"1"	"2"	"3"	"0"	"6"	"4"	"92"	"19"	"12"	"32"	"462"	"0"	"462"	"0"
