"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 234-Gurua Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""
"6"	""	""	""	""	"ANWAR ALI KHAN"	""	"BIRBHADRA YASHRAJ"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"SIDHESHWAR PRASAD SINHA"	""	""	"MOHAMMAD KHAN ALI"	""	""	""	"SUNIL KUMAR SINGH"	""	""	"ARUN KUMAR"	""	""	"MD. NAIMUDDIN"	""	""	"BIRENDRA KUMAR YADAV"	""	""	""	"SONU BHARATI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"1"	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	"10"	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	"15"	""	""	""	"16"	""	""	""	""	""	""	""
"8"	"1"	"1"	""	""	"39"	""	"213"	""	""	"74"	""	""	"4"	""	""	"1"	""	""	""	"2"	""	""	"4"	""	""	"1"	""	""	"1"	""	""	""	"3"	""	""	""	"342"	""	""	""	"0"	""	""	""	"342"	""	""	""	""	""	""	""	""	""	""	""
"9"	"2"	"1A"	""	""	"67"	""	"149"	""	""	"19"	""	""	"8"	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	"0"	""	""	"2"	""	""	""	"6"	""	""	""	"255"	""	""	""	"0"	""	""	""	"255"	""	""	""	""	""	""	""	""	""	""	""
"10"	"3"	"2"	""	""	"16"	""	"168"	""	""	"189"	""	""	"7"	""	""	"1"	""	""	""	"4"	""	""	"4"	""	""	"1"	""	""	"3"	""	""	""	"7"	""	""	""	"400"	""	""	""	"0"	""	""	""	"400"	""	""	""	""	""	""	""	""	""	""	""
"11"	"4"	"2A"	""	""	"47"	""	"161"	""	""	"74"	""	""	"9"	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	"3"	""	""	"1"	""	""	""	"1"	""	""	""	"298"	""	""	""	"0"	""	""	""	"298"	""	""	""	""	""	""	""	""	""	""	""
"12"	"5"	"3"	""	""	"32"	""	"146"	""	""	"63"	""	""	"23"	""	""	"3"	""	""	""	"1"	""	""	"2"	""	""	"1"	""	""	"5"	""	""	""	"9"	""	""	""	"285"	""	""	""	"0"	""	""	""	"285"	""	""	""	""	""	""	""	""	""	""	""
"13"	"6"	"4"	""	""	"33"	""	"61"	""	""	"203"	""	""	"18"	""	""	"6"	""	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"10"	""	""	""	"15"	""	""	""	"367"	""	""	""	"0"	""	""	""	"367"	""	""	""	""	""	""	""	""	""	""	""
"14"	"7"	"5"	""	""	"165"	""	"96"	""	""	"65"	""	""	"4"	""	""	"4"	""	""	""	"11"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	""	"15"	""	""	""	"364"	""	""	""	"0"	""	""	""	"364"	""	""	""	""	""	""	""	""	""	""	""
"15"	"8"	"6"	""	""	"24"	""	"154"	""	""	"140"	""	""	"5"	""	""	"7"	""	""	""	"3"	""	""	"4"	""	""	"1"	""	""	"3"	""	""	""	"9"	""	""	""	"350"	""	""	""	"0"	""	""	""	"350"	""	""	""	""	""	""	""	""	""	""	""
"16"	"9"	"7"	""	""	"58"	""	"125"	""	""	"101"	""	""	"2"	""	""	"1"	""	""	""	"5"	""	""	"3"	""	""	"2"	""	""	"5"	""	""	""	"7"	""	""	""	"309"	""	""	""	"0"	""	""	""	"309"	""	""	""	""	""	""	""	""	""	""	""
