"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Final  Result Sheet [See Rule 56c(2)c]"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Total No Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Name of the Assembly Constituency                                                                          177-RAJGIR"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Booth No"	"ARJUN PASWAN
alias AJAY PASWAN"	"PARMESHW AR PRASAD"	"BASANT RAM"	"SATYADEO NARAIN ARYA"	"ASHOK RAJBANSHI"	"PANKAJ KUMAR"	"BALDEO DAS"	"KAPILDEO CHOUDHARY"	"NO OF REJECTED VOTES"	"TOTAL VALID VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"6"	"1"	"28"	"47"	"8"	"90"	"11"	"4"	"1"	"12"	"0"	"201"	"201"	"0"
"7"	"2"	"68"	"37"	"7"	"85"	"4"	"1"	"4"	"15"	"0"	"221"	"221"	"0"
"8"	"3"	"9"	"2"	"0"	"254"	"11"	"2"	"1"	"10"	"0"	"289"	"289"	"0"
"9"	"4"	"10"	"2"	"2"	"157"	"5"	"3"	"2"	"11"	"0"	"192"	"192"	"0"
"10"	"5"	"21"	"4"	"4"	"151"	"7"	"5"	"4"	"10"	"0"	"206"	"206"	"0"
"11"	"6"	"58"	"39"	"4"	"139"	"6"	"1"	"14"	"7"	"0"	"268"	"268"	"0"
"12"	"7"	"40"	"6"	"0"	"28"	"1"	"1"	"2"	"6"	"0"	"84"	"84"	"0"
"13"	"8"	"86"	"13"	"7"	"203"	"6"	"3"	"1"	"9"	"0"	"328"	"328"	"0"
"14"	"9"	"71"	"14"	"7"	"143"	"7"	"2"	"8"	"16"	"0"	"268"	"268"	"0"
"15"	"10"	"36"	"25"	"3"	"220"	"5"	"3"	"2"	"5"	"0"	"299"	"299"	"0"
"16"	"11"	"26"	"34"	"6"	"78"	"5"	"1"	"6"	"3"	"0"	"159"	"159"	"0"
"17"	"12"	"38"	"54"	"4"	"101"	"6"	"4"	"14"	"6"	"0"	"227"	"227"	"0"
"18"	"13"	"12"	"25"	"3"	"214"	"6"	"6"	"5"	"9"	"0"	"280"	"280"	"0"
"19"	"14"	"15"	"3"	"1"	"142"	"3"	"0"	"1"	"4"	"0"	"169"	"169"	"0"
"20"	"15"	"102"	"18"	"8"	"231"	"5"	"2"	"2"	"5"	"0"	"373"	"373"	"0"
"21"	"16"	"115"	"13"	"1"	"30"	"4"	"3"	"5"	"8"	"0"	"179"	"179"	"0"
"22"	"17"	"47"	"10"	"4"	"116"	"7"	"2"	"2"	"3"	"0"	"191"	"191"	"0"
"23"	"18"	"24"	"7"	"2"	"245"	"6"	"2"	"1"	"3"	"0"	"290"	"290"	"0"
"24"	"19"	"52"	"149"	"5"	"61"	"2"	"2"	"9"	"2"	"0"	"282"	"282"	"0"
"25"	"20"	"22"	"15"	"1"	"113"	"3"	"3"	"7"	"18"	"0"	"182"	"182"	"0"
"26"	"21"	"105"	"43"	"5"	"77"	"8"	"4"	"5"	"20"	"0"	"267"	"267"	"0"
"27"	"22"	"21"	"63"	"4"	"68"	"2"	"5"	"8"	"4"	"0"	"175"	"175"	"0"
"28"	"23"	"46"	"12"	"2"	"76"	"4"	"2"	"2"	"4"	"0"	"148"	"148"	"0"
"29"	"Booth No"	"ARJUN PASWAN
alias AJAY PASWAN"	"PARMESHW AR PRASAD"	"BASANT RAM"	"SATYADEO NARAIN ARYA"	"ASHOK RAJBANSHI"	"PANKAJ KUMAR"	"BALDEO DAS"	"KAPILDEO CHOUDHARY"	"NO OF REJECTED VOTES"	"TOTAL VALID VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"30"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"31"	"23A"	"22"	"12"	"2"	"104"	"4"	"4"	"2"	"5"	"0"	"155"	"155"	"0"
"32"	"24"	"53"	"4"	"1"	"58"	"3"	"1"	"1"	"2"	"0"	"123"	"123"	"0"
"33"	"25"	"8"	"16"	"3"	"86"	"1"	"1"	"1"	"4"	"0"	"120"	"120"	"0"
"34"	"26"	"30"	"53"	"3"	"99"	"5"	"0"	"5"	"3"	"0"	"198"	"198"	"0"
"35"	"27"	"26"	"10"	"2"	"215"	"4"	"1"	"0"	"6"	"0"	"264"	"264"	"0"
"36"	"28"	"136"	"53"	"11"	"44"	"9"	"4"	"8"	"4"	"0"	"269"	"269"	"0"
"37"	"28A"	"99"	"26"	"1"	"111"	"13"	"5"	"4"	"9"	"0"	"268"	"268"	"0"
"38"	"29"	"22"	"39"	"4"	"251"	"11"	"3"	"6"	"11"	"0"	"347"	"347"	"0"
"39"	"30"	"40"	"39"	"7"	"215"	"12"	"5"	"2"	"11"	"0"	"331"	"331"	"0"
"40"	"31"	"31"	"36"	"4"	"175"	"6"	"4"	"6"	"13"	"0"	"275"	"275"	"0"
"41"	"32"	"28"	"9"	"1"	"187"	"1"	"0"	"0"	"4"	"0"	"230"	"230"	"0"
"42"	"33"	"102"	"22"	"2"	"126"	"7"	"3"	"6"	"6"	"0"	"274"	"274"	"0"
"43"	"34"	"73"	"17"	"4"	"230"	"14"	"6"	"3"	"9"	"0"	"356"	"356"	"0"
"44"	"35"	"22"	"6"	"4"	"222"	"2"	"2"	"0"	"2"	"0"	"260"	"260"	"0"
"45"	"36"	"158"	"22"	"8"	"283"	"8"	"13"	"5"	"25"	"0"	"522"	"522"	"0"
"46"	"37"	"86"	"7"	"2"	"71"	"5"	"2"	"1"	"6"	"0"	"180"	"180"	"0"
"47"	"38"	"44"	"21"	"7"	"304"	"12"	"3"	"7"	"11"	"0"	"409"	"409"	"0"
"48"	"39"	"33"	"19"	"3"	"89"	"6"	"0"	"6"	"7"	"0"	"163"	"163"	"0"
"49"	"40"	"37"	"21"	"5"	"257"	"9"	"2"	"4"	"8"	"0"	"343"	"343"	"0"
"50"	"41"	"16"	"5"	"3"	"131"	"6"	"1"	"2"	"5"	"0"	"169"	"169"	"0"
"51"	"42"	"27"	"14"	"3"	"261"	"16"	"1"	"2"	"12"	"0"	"336"	"336"	"0"
"52"	"43"	"53"	"46"	"13"	"216"	"14"	"4"	"7"	"12"	"0"	"365"	"365"	"0"
"53"	"44"	"15"	"171"	"10"	"63"	"5"	"4"	"15"	"10"	"0"	"293"	"293"	"0"
"54"	"45"	"34"	"61"	"4"	"178"	"3"	"7"	"10"	"14"	"0"	"311"	"311"	"0"
"55"	"46"	"16"	"46"	"4"	"135"	"14"	"3"	"4"	"3"	"0"	"225"	"225"	"0"
"56"	"47"	"12"	"14"	"4"	"117"	"2"	"0"	"0"	"6"	"0"	"155"	"155"	"0"
