"ELECTION.TO.THE.BIHAR.LEGISLATIVE.ASSEMBLY.FROM.109.BAKHRI..S.C..A.C"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  109- BAKHRI (S.C) A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"4"	""	"Arun Kumar"	"Kamaldeo Chaupal"	"Ram Binod Paswan"	"Ramanand Ram"	"Ramashraya Paswan"	"Ram Shankar Paswan"	"Sakal Deo Paswan"	"Rani Devi Paswan"	""	""	""	""
"5"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	"16"
"6"	"1"	"16"	"213"	"190"	"38"	"6"	"4"	"3"	"12"	"482"	"0"	"482"	"0"
"7"	"2"	"1"	"14"	"167"	"94"	"1"	"2"	"1"	"4"	"284"	"0"	"284"	"0"
"8"	"3"	"8"	"72"	"186"	"43"	"2"	"1"	"2"	"4"	"318"	"0"	"318"	"0"
"9"	"3A"	"5"	"64"	"275"	"70"	"10"	"4"	"6"	"5"	"439"	"0"	"439"	"0"
"10"	"4"	"6"	"104"	"262"	"125"	"11"	"3"	"8"	"11"	"530"	"0"	"530"	"0"
"11"	"5"	"15"	"77"	"297"	"117"	"8"	"12"	"8"	"6"	"540"	"0"	"540"	"0"
"12"	"6"	"11"	"124"	"144"	"167"	"11"	"13"	"6"	"10"	"486"	"0"	"486"	"0"
"13"	"7"	"15"	"30"	"223"	"217"	"11"	"7"	"1"	"11"	"515"	"0"	"515"	"0"
"14"	"8"	"15"	"43"	"266"	"104"	"1"	"6"	"2"	"5"	"442"	"0"	"442"	"0"
"15"	"8A"	"9"	"80"	"183"	"160"	"7"	"5"	"8"	"10"	"462"	"0"	"462"	"0"
"16"	"9"	"6"	"196"	"102"	"151"	"4"	"2"	"6"	"6"	"473"	"0"	"473"	"0"
"17"	"10"	"20"	"186"	"308"	"149"	"16"	"5"	"7"	"5"	"696"	"0"	"696"	"0"
"18"	"11"	"22"	"75"	"148"	"158"	"21"	"7"	"15"	"19"	"465"	"0"	"465"	"0"
"19"	"12"	"4"	"76"	"140"	"165"	"9"	"7"	"6"	"13"	"420"	"0"	"420"	"0"
"20"	"13"	"19"	"93"	"245"	"199"	"21"	"9"	"5"	"4"	"595"	"0"	"595"	"0"
"21"	"14"	"12"	"29"	"173"	"132"	"7"	"10"	"3"	"6"	"372"	"0"	"372"	"0"
"22"	"15"	"8"	"96"	"145"	"285"	"10"	"9"	"3"	"3"	"559"	"0"	"559"	"0"
"23"	"16"	"10"	"145"	"252"	"151"	"11"	"16"	"5"	"12"	"602"	"0"	"602"	"0"
"24"	"17"	"25"	"66"	"263"	"145"	"18"	"8"	"4"	"9"	"538"	"0"	"538"	"0"
"25"	"18"	"7"	"207"	"113"	"151"	"16"	"11"	"9"	"8"	"522"	"0"	"522"	"0"
"26"	"19"	"18"	"264"	"194"	"189"	"21"	"12"	"9"	"22"	"729"	"0"	"729"	"0"
"27"	"20"	"7"	"150"	"171"	"33"	"3"	"8"	"2"	"3"	"377"	"0"	"377"	"0"
"28"	"21"	"16"	"143"	"184"	"132"	"4"	"0"	"6"	"8"	"493"	"0"	"493"	"0"
"29"	"22"	"9"	"44"	"134"	"217"	"."	"4"	"7"	"8"	"440"	"0"	"440"	"0"
"30"	"23"	"16"	"138"	"284"	"109"	"7"	"14"	"4"	"10"	"582"	"0"	"582"	"0"
"31"	"24"	"9"	"18"	"158"	"249"	"11"	"2"	"2"	"3"	"452"	"0"	"452"	"0"
"32"	"25"	"5"	"9"	"142"	"213"	"8"	"4"	"2"	"2"	"385"	"0"	"385"	"0"
"33"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 109 BAKHRI (S.C) A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"Name of the Assembly  :  109- BAKHRI (S.C) A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"37"	""	"Arun Kumar"	"Kamaldeo Chaupal"	"Ram Binod Paswan"	"Ramanand Ram"	"Ramashraya Paswan"	"Ram Shankar Paswan"	"Sakal Deo Paswan"	"Rani Devi Paswan"	""	""	""	""
"38"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	"16"
"39"	"26"	"16"	"92"	"352"	"72"	"39"	"6"	"4"	"12"	"593"	"0"	"593"	"0"
"40"	"27"	"15"	"64"	"96"	"84"	"8"	"7"	"5"	"8"	"287"	"0"	"287"	"0"
"41"	"27A"	"14"	"126"	"66"	"173"	"7"	"4"	"1"	"8"	"399"	"0"	"399"	"0"
"42"	"28"	"10"	"93"	"120"	"23"	"8"	"5"	"6"	"5"	"270"	"0"	"270"	"0"
"43"	"28A"	"7"	"84"	"59"	"106"	"3"	"2"	"4"	"5"	"270"	"0"	"270"	"0"
"44"	"29"	"5"	"140"	"92"	"65"	"3"	"0"	"0"	"4"	"309"	"0"	"309"	"0"
"45"	"29A"	"13"	"146"	"138"	"31"	"3"	"5"	"4"	"11"	"351"	"0"	"351"	"0"
"46"	"30"	"12"	"134"	"258"	"57"	"5"	"5"	"2"	"6"	"479"	"0"	"479"	"0"
"47"	"31"	"2"	"19"	"329"	"88"	"4"	"2"	"1"	"7"	"452"	"0"	"452"	"0"
"48"	"32"	"6"	"11"	"63"	"288"	"9"	"4"	"4"	"1"	"386"	"0"	"386"	"0"
"49"	"33"	"6"	"14"	"198"	"244"	"9"	"11"	"3"	"3"	"488"	"0"	"488"	"0"
"50"	"34"	"12"	"30"	"353"	"118"	"12"	"11"	"5"	"5"	"546"	"0"	"546"	"0"
"51"	"35"	"18"	"13"	"296"	"210"	"6"	"12"	"2"	"6"	"563"	"0"	"563"	"0"
"52"	"36"	"9"	"60"	"250"	"70"	"9"	"8"	"9"	"9"	"424"	"0"	"424"	"0"
"53"	"37"	"8"	"41"	"193"	"120"	"7"	"32"	"4"	"8"	"413"	"0"	"413"	"0"
"54"	"38"	"13"	"21"	"345"	"140"	"3"	"22"	"3"	"12"	"559"	"0"	"559"	"0"
"55"	"39"	"15"	"41"	"216"	"82"	"17"	"14"	"5"	"9"	"399"	"0"	"399"	"0"
"56"	"39A"	"4"	"57"	"74"	"134"	"5"	"7"	"8"	"10"	"299"	"0"	"299"	"0"
"57"	"4"	"12"	"97"	"133"	"282"	"22"	"38"	"4"	"27"	"615"	"0"	"615"	"0"
"58"	"41"	"7"	"145"	"79"	"95"	"5"	"12"	"4"	"13"	"360"	"0"	"360"	"0"
"59"	"42"	"17"	"77"	"176"	"109"	"13"	"1"	"3"	"5"	"401"	"0"	"401"	"0"
"60"	"42A"	"5"	"133"	"163"	"43"	"17"	"16"	"7"	"5"	"389"	"0"	"389"	"0"
"61"	"43"	"22"	"107"	"186"	"128"	"5"	"18"	"4"	"2"	"472"	"0"	"472"	"0"
"62"	"44"	"17"	"73"	"191"	"149"	"9"	"11"	"3"	"1"	"454"	"0"	"454"	"0"
"63"	"45"	"13"	"171"	"189"	"124"	"9"	"9"	"8"	"9"	"532"	"0"	"532"	"0"
"64"	"46"	"14"	"74"	"236"	"165"	"15"	"22"	"9"	"21"	"556"	"0"	"556"	"0"
"65"	"47"	"10"	"15"	"189"	"95"	"10"	"6"	"4"	"4"	"333"	"0"	"333"	"0"
"66"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 109 BAKHRI (S.C) A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Name of the Assembly  :  109- BAKHRI (S.C) A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"70"	""	"Arun Kumar"	"Kamaldeo Chaupal"	"Ram Binod Paswan"	"Ramanand Ram"	"Ramashraya Paswan"	"Ram Shankar Paswan"	"Sakal Deo Paswan"	"Rani Devi Paswan"	""	""	""	""
"71"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	"16"
"72"	"48"	"13"	"27"	"176"	"208"	"9"	"5"	"9"	"11"	"458"	"0"	"458"	"0"
"73"	"49"	"17"	"36"	"269"	"167"	"14"	"21"	"14"	"7"	"545"	"0"	"545"	"0"
"74"	"50"	"3"	"1"	"63"	"171"	"3"	"4"	"5"	"2"	"252"	"0"	"252"	"0"
"75"	"51"	"13"	"14"	"156"	"124"	"10"	"8"	"0"	"4"	"329"	"0"	"329"	"0"
"76"	"51A"	"13"	"11"	"116"	"200"	"5"	"7"	"4"	"5"	"361"	"0"	"361"	"0"
"77"	"52"	"5"	"20"	"230"	"154"	"14"	"23"	"6"	"13"	"465"	"0"	"465"	"0"
"78"	"53"	"9"	"13"	"208"	"179"	"14"	"20"	"3"	"3"	"449"	"0"	"449"	"0"
"79"	"54"	"3"	"6"	"150"	"151"	"8"	"10"	"1"	"11"	"340"	"0"	"340"	"0"
"80"	"54A"	"8"	"8"	"116"	"189"	"10"	"8"	"5"	"13"	"357"	"0"	"357"	"0"
"81"	"55"	"8"	"0"	"128"	"298"	"7"	"16"	"1"	"5"	"463"	"0"	"463"	"0"
"82"	"56"	"19"	"10"	"110"	"427"	"19"	"12"	"8"	"17"	"622"	"0"	"622"	"0"
"83"	"57"	"4"	"8"	"64"	"371"	"13"	"5"	"5"	"12"	"482"	"0"	"482"	"0"
"84"	"58"	"23"	"19"	"208"	"233"	"10"	"6"	"6"	"8"	"513"	"0"	"513"	"0"
"85"	"59"	"18"	"32"	"103"	"406"	"22"	"7"	"3"	"9"	"600"	"0"	"600"	"0"
"86"	"60"	"15"	"10"	"243"	"119"	"12"	"15"	"6"	"7"	"427"	"0"	"427"	"0"
"87"	"61"	"7"	"110"	"179"	"117"	"5"	"12"	"7"	"15"	"452"	"0"	"452"	"0"
"88"	"62"	"15"	"7"	"96"	"337"	"14"	"3"	"3"	"4"	"479"	"0"	"479"	"0"
"89"	"63"	"7"	"15"	"245"	"187"	"7"	"11"	"3"	"12"	"487"	"0"	"487"	"0"
"90"	"64"	"7"	"9"	"115"	"256"	"15"	"2"	"5"	"15"	"424"	"0"	"424"	"0"
"91"	"65"	"12"	"55"	"334"	"112"	"10"	"8"	"5"	"15"	"551"	"0"	"551"	"0"
"92"	"66"	"19"	"20"	"261"	"182"	"11"	"6"	"7"	"4"	"510"	"0"	"510"	"0"
"93"	"67"	"16"	"100"	"183"	"63"	"6"	"17"	"3"	"6"	"394"	"0"	"394"	"0"
"94"	"68"	"12"	"240"	"165"	"75"	"16"	"18"	"15"	"18"	"559"	"0"	"559"	"0"
"95"	"69"	"11"	"92"	"307"	"180"	"17"	"42"	"23"	"30"	"702"	"0"	"702"	"0"
"96"	"70"	"20"	"93"	"224"	"292"	"15"	"29"	"16"	"19"	"708"	"0"	"708"	"0"
"97"	"71"	"13"	"45"	"226"	"35"	"4"	"42"	"2"	"17"	"384"	"0"	"384"	"0"
"98"	"71A"	"7"	"27"	"209"	"60"	"8"	"49"	"2"	"1"	"363"	"0"	"363"	"0"
"99"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 109 BAKHRI (S.C) A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
