"No..and.Name.of.Assembly.Constituency...........49..Patepur..SC."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"Total No. of Electors in the Assembly Constituency :- 195647"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Round No.  :-    1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"4"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"5"	""	""	"BJP"	"CPI(ML)(L)"	"RJD"	"LJP"	"BSP"	"SP"	"IND"	"IND"	""	""	""	""
"6"	""	""	"CHANDRIKA DAS"	"TAPESHWAR PASWAN"	"PREMA CHAUDHARI"	"MAHENDRA BAITHA"	"SHRI RAM"	"RAM KUMARI DEVI"	"RAM KUMAR RAM"	"SANJAY PASWAN"	""	""	""	""
"7"	"1"	"330"	"45"	"7"	"193"	"45"	"14"	"8"	"3"	"15"	"330"	"0"	"330"	"0"
"8"	"1K"	"333"	"46"	"5"	"44"	"181"	"17"	"8"	"7"	"25"	"333"	"0"	"333"	"0"
"9"	"2"	"434"	"44"	"8"	"109"	"215"	"15"	"9"	"4"	"30"	"434"	"0"	"434"	"0"
"10"	"3"	"440"	"21"	"5"	"277"	"96"	"18"	"6"	"3"	"14"	"440"	"0"	"440"	"0"
"11"	"4"	"433"	"82"	"2"	"150"	"161"	"14"	"5"	"5"	"14"	"433"	"0"	"433"	"0"
"12"	"4K"	"275"	"29"	"8"	"82"	"119"	"17"	"3"	"7"	"10"	"275"	"0"	"275"	"0"
"13"	"5"	"353"	"34"	"6"	"108"	"159"	"16"	"5"	"8"	"17"	"353"	"0"	"353"	"0"
"14"	"6"	"446"	"62"	"7"	"119"	"183"	"30"	"7"	"11"	"27"	"446"	"0"	"446"	"0"
"15"	"7"	"471"	"48"	"9"	"280"	"83"	"13"	"14"	"6"	"18"	"471"	"0"	"471"	"0"
"16"	"8"	"427"	"28"	"10"	"199"	"128"	"20"	"16"	"5"	"21"	"427"	"0"	"427"	"0"
"17"	"9"	"344"	"14"	"9"	"172"	"111"	"17"	"11"	"3"	"7"	"344"	"0"	"344"	"0"
"18"	"10"	"418"	"28"	"4"	"68"	"239"	"30"	"14"	"11"	"24"	"418"	"0"	"418"	"0"
"19"	"11"	"477"	"72"	"5"	"216"	"94"	"47"	"18"	"7"	"18"	"477"	"0"	"477"	"0"
