"X136...AMOUR.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"
"1"	"POLLING STATIONWISE / CANDIDATEWISE VOTES POLLED"	""	""	""	""	""
"2"	"Polling Station No."	"I"	"II"	"III"	"IV"	"Total Votes Polled"
"3"	""	"ABDUL JALIL MASTAN"	"AFAQUE  ALAM"	"NIL MANI SINGH"	"SABA  ZAFAR"	""
"4"	""	"Indian National Congress Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	""
"5"	"1"	"2"	"3"	"4"	"5"	"6"
"6"	"1"	"50"	"24"	"9"	"165"	"248"
"7"	"2"	"50"	"62"	"20"	"230"	"362"
"8"	"3"	"59"	"209"	"33"	"144"	"445"
"9"	"4"	"36"	"8"	"7"	"253"	"304"
"10"	"4A"	"144"	"20"	"11"	"80"	"255"
"11"	"5"	"71"	"200"	"49"	"241"	"561"
"12"	"6"	"90"	"390"	"64"	"128"	"672"
"13"	"7"	"87"	"135"	"94"	"263"	"579"
"14"	"8"	"54"	"203"	"56"	"268"	"581"
"15"	"9"	"310"	"4"	"8"	"62"	"384"
"16"	"10"	"74"	"19"	"24"	"187"	"304"
"17"	"11"	"107"	"174"	"73"	"396"	"750"
"18"	"12"	"374"	"30"	"3"	"70"	"477"
"19"	"13"	"355"	"15"	"8"	"77"	"455"
"20"	"14"	"55"	"349"	"23"	"161"	"588"
"21"	"15"	"334"	"100"	"11"	"115"	"560"
"22"	"16"	"149"	"90"	"15"	"129"	"383"
"23"	"17"	"55"	"158"	"24"	"280"	"517"
"24"	"Polling Station No."	"I"	"II"	"III"	"IV"	"Total Votes Polled"
"25"	""	"ABDUL JALIL MASTAN"	"AFAQUE  ALAM"	"NIL MANI SINGH"	"SABA  ZAFAR"	""
"26"	""	"Indian National Congress Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	""
"27"	"1"	"2"	"3"	"4"	"5"	"6"
"28"	"18"	"66"	"30"	"13"	"348"	"457"
"29"	"19"	"0"	"0"	"0"	"0"	"0"
"30"	"20"	"73"	"159"	"52"	"253"	"537"
"31"	"21"	"85"	"124"	"162"	"126"	"497"
"32"	"22"	"24"	"117"	"19"	"43"	"203"
"33"	"22A"	"35"	"60"	"7"	"147"	"249"
"34"	"23"	"48"	"12"	"18"	"304"	"382"
"35"	"24"	"20"	"18"	"5"	"223"	"266"
"36"	"25"	"27"	"35"	"19"	"241"	"322"
"37"	"26"	"68"	"11"	"11"	"211"	"301"
"38"	"27"	"52"	"28"	"9"	"341"	"430"
"39"	"28"	"32"	"10"	"14"	"346"	"402"
"40"	"29"	"26"	"12"	"9"	"379"	"426"
"41"	"30"	"46"	"22"	"26"	"450"	"544"
"42"	"31"	"112"	"27"	"17"	"360"	"516"
"43"	"32"	"63"	"19"	"14"	"252"	"348"
"44"	"32A"	"28"	"7"	"11"	"247"	"293"
"45"	"33"	"60"	"10"	"24"	"442"	"536"
"46"	"34"	"57"	"8"	"7"	"387"	"459"
"47"	"35"	"407"	"58"	"13"	"59"	"537"
"48"	"Polling Station No."	"I"	"II"	"III"	"IV"	"Total Votes Polled"
"49"	""	"ABDUL JALIL MASTAN"	"AFAQUE  ALAM"	"NIL MANI SINGH"	"SABA  ZAFAR"	""
"50"	""	"Indian National Congress Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	""
"51"	"1"	"2"	"3"	"4"	"5"	"6"
"52"	"36"	"139"	"161"	"22"	"214"	"536"
"53"	"37"	"63"	"13"	"14"	"306"	"396"
"54"	"38"	"80"	"16"	"12"	"164"	"272"
"55"	"39"	"406"	"42"	"8"	"103"	"559"
"56"	"40"	"333"	"25"	"15"	"107"	"480"
"57"	"41"	"193"	"10"	"3"	"17"	"223"
"58"	"41A"	"338"	"16"	"6"	"17"	"377"
"59"	"42"	"235"	"44"	"10"	"118"	"407"
"60"	"42A"	"261"	"14"	"9"	"45"	"329"
"61"	"43"	"73"	"101"	"217"	"160"	"551"
"62"	"44"	"33"	"6"	"12"	"229"	"280"
"63"	"44A"	"26"	"11"	"14"	"150"	"201"
"64"	"45"	"31"	"53"	"28"	"298"	"410"
"65"	"46"	"41"	"8"	"11"	"263"	"323"
"66"	"47"	"33"	"26"	"17"	"403"	"479"
"67"	"48"	"288"	"65"	"20"	"218"	"591"
"68"	"49"	"67"	"17"	"12"	"313"	"409"
"69"	"50"	"307"	"108"	"27"	"150"	"592"
"70"	"51"	"138"	"167"	"13"	"132"	"450"
"71"	"52"	"316"	"26"	"10"	"20"	"372"
"72"	"Polling Station No."	"I"	"II"	"III"	"IV"	"Total Votes Polled"
"73"	""	"ABDUL JALIL MASTAN"	"AFAQUE  ALAM"	"NIL MANI SINGH"	"SABA  ZAFAR"	""
"74"	""	"Indian National Congress Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	""
"75"	"1"	"2"	"3"	"4"	"5"	"6"
"76"	"52A"	"281"	"6"	"7"	"12"	"306"
"77"	"53"	"445"	"30"	"9"	"42"	"526"
"78"	"54"	"334"	"18"	"4"	"36"	"392"
"79"	"55"	"374"	"9"	"8"	"70"	"461"
"80"	"56"	"356"	"14"	"9"	"37"	"416"
"81"	"57"	"473"	"62"	"10"	"33"	"578"
"82"	"58"	"292"	"21"	"12"	"27"	"352"
"83"	"59"	"60"	"13"	"12"	"237"	"322"
"84"	"60"	"30"	"76"	"16"	"231"	"353"
"85"	"61"	"14"	"103"	"11"	"176"	"304"
"86"	"62"	"40"	"18"	"13"	"321"	"392"
"87"	"63"	"24"	"43"	"11"	"258"	"336"
"88"	"63A"	"27"	"158"	"25"	"153"	"363"
"89"	"64"	"69"	"39"	"14"	"380"	"502"
"90"	"65"	"28"	"199"	"20"	"215"	"462"
"91"	"66"	"31"	"53"	"10"	"315"	"409"
"92"	"67"	"21"	"14"	"5"	"326"	"366"
"93"	"67A"	"35"	"31"	"15"	"220"	"301"
"94"	"68"	"41"	"9"	"14"	"365"	"429"
"95"	"69"	"13"	"15"	"5"	"355"	"388"
"96"	"Polling Station No."	"I"	"II"	"III"	"IV"	"Total Votes Polled"
"97"	""	"ABDUL JALIL MASTAN"	"AFAQUE  ALAM"	"NIL MANI SINGH"	"SABA  ZAFAR"	""
"98"	""	"Indian National Congress Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	""
"99"	"1"	"2"	"3"	"4"	"5"	"6"
"100"	"69A"	"8"	"3"	"3"	"344"	"358"
"101"	"70"	"28"	"16"	"3"	"286"	"333"
"102"	"70A"	"35"	"12"	"10"	"297"	"354"
"103"	"71"	"40"	"247"	"23"	"336"	"646"
"104"	"72"	"40"	"43"	"25"	"383"	"491"
"105"	"73"	"24"	"119"	"25"	"259"	"427"
"106"	"74"	"45"	"93"	"9"	"250"	"397"
"107"	"75"	"63"	"245"	"61"	"285"	"654"
"108"	"76"	"23"	"144"	"19"	"227"	"413"
"109"	"76A"	"15"	"93"	"5"	"255"	"368"
"110"	"77"	"64"	"199"	"31"	"353"	"647"
"111"	"78"	"65"	"155"	"32"	"241"	"493"
"112"	"79"	"23"	"79"	"24"	"168"	"294"
"113"	"79A"	"35"	"21"	"11"	"172"	"239"
"114"	"80"	"168"	"18"	"11"	"52"	"249"
"115"	"80A"	"141"	"40"	"19"	"142"	"342"
"116"	"81"	"64"	"217"	"44"	"147"	"472"
"117"	"82"	"31"	"78"	"318"	"133"	"560"
"118"	"83"	"111"	"30"	"353"	"85"	"579"
"119"	"84"	"126"	"82"	"298"	"162"	"668"
"120"	"Polling Station No."	"I"	"II"	"III"	"IV"	"Total Votes Polled"
"121"	""	"ABDUL JALIL MASTAN"	"AFAQUE  ALAM"	"NIL MANI SINGH"	"SABA  ZAFAR"	""
"122"	""	"Indian National Congress Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	""
"123"	"1"	"2"	"3"	"4"	"5"	"6"
"124"	"85"	"99"	"7"	"19"	"95"	"220"
"125"	"86"	"428"	"14"	"16"	"21"	"479"
"126"	"87"	"415"	"20"	"6"	"23"	"464"
"127"	"88"	"226"	"27"	"16"	"42"	"311"
"128"	"89"	"425"	"28"	"70"	"29"	"552"
"129"	"90"	"290"	"7"	"6"	"13"	"316"
"130"	"91"	"250"	"8"	"17"	"101"	"376"
"131"	"92"	"265"	"16"	"7"	"95"	"383"
"132"	"93"	"290"	"58"	"30"	"30"	"408"
"133"	"94"	"262"	"17"	"38"	"239"	"556"
"134"	"95"	"104"	"50"	"15"	"201"	"370"
"135"	"95A"	"165"	"43"	"24"	"76"	"308"
"136"	"96"	"116"	"12"	"4"	"162"	"294"
"137"	"97"	"347"	"6"	"13"	"6"	"372"
"138"	"97A"	"351"	"3"	"1"	"5"	"360"
"139"	"98"	"348"	"13"	"11"	"53"	"425"
"140"	"99"	"42"	"15"	"8"	"214"	"279"
"141"	"100"	"482"	"55"	"21"	"37"	"595"
"142"	"101"	"292"	"6"	"4"	"15"	"317"
"143"	"101A"	"263"	"25"	"8"	"16"	"312"
"144"	"Polling Station No."	"I"	"II"	"III"	"IV"	"Total Votes Polled"
"145"	""	"ABDUL JALIL MASTAN"	"AFAQUE  ALAM"	"NIL MANI SINGH"	"SABA  ZAFAR"	""
"146"	""	"Indian National Congress Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	""
"147"	"1"	"2"	"3"	"4"	"5"	"6"
"148"	"102"	"345"	"64"	"89"	"25"	"523"
"149"	"103"	"456"	"35"	"5"	"11"	"507"
"150"	"104"	"392"	"22"	"14"	"42"	"470"
"151"	"105"	"352"	"0"	"7"	"8"	"367"
"152"	"105A"	"264"	"8"	"16"	"10"	"298"
"153"	"106"	"516"	"13"	"3"	"10"	"542"
"154"	"107"	"252"	"6"	"3"	"2"	"263"
"155"	"108"	"219"	"110"	"20"	"32"	"381"
"156"	"109"	"342"	"36"	"10"	"13"	"401"
"157"	"110"	"179"	"23"	"3"	"21"	"226"
"158"	"110A"	"153"	"9"	"4"	"5"	"171"
"159"	"111"	"151"	"14"	"3"	"76"	"244"
"160"	"112"	"283"	"15"	"9"	"64"	"371"
"161"	"113"	"74"	"194"	"19"	"131"	"418"
"162"	"113A"	"93"	"94"	"19"	"44"	"250"
"163"	"114"	"69"	"137"	"16"	"130"	"352"
"164"	"114A"	"19"	"122"	"10"	"60"	"211"
"165"	"115"	"93"	"343"	"39"	"292"	"767"
"166"	"116"	"449"	"34"	"9"	"46"	"538"
"167"	"117"	"433"	"143"	"28"	"154"	"758"
"168"	"Polling Station No."	"I"	"II"	"III"	"IV"	"Total Votes Polled"
"169"	""	"ABDUL JALIL MASTAN"	"AFAQUE  ALAM"	"NIL MANI SINGH"	"SABA  ZAFAR"	""
"170"	""	"Indian National Congress Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	""
"171"	"1"	"2"	"3"	"4"	"5"	"6"
"172"	"118"	"130"	"100"	"20"	"229"	"479"
"173"	"118A"	"146"	"72"	"14"	"165"	"397"
"174"	"119"	"276"	"12"	"12"	"160"	"460"
"175"	"119A"	"175"	"72"	"13"	"97"	"357"
"176"	"120"	"130"	"113"	"14"	"191"	"448"
"177"	"120A"	"137"	"140"	"20"	"111"	"408"
"178"	"121"	"236"	"93"	"11"	"35"	"375"
"179"	"121A"	"251"	"39"	"7"	"39"	"336"
"180"	"122"	"170"	"6"	"3"	"16"	"195"
"181"	"123"	"365"	"37"	"13"	"61"	"476"
"182"	"124"	"332"	"31"	"4"	"16"	"383"
"183"	"125"	"222"	"43"	"17"	"92"	"374"
"184"	"126"	"306"	"32"	"42"	"41"	"421"
"185"	"127"	"278"	"14"	"5"	"55"	"352"
"186"	"128"	"131"	"14"	"7"	"106"	"258"
"187"	"129"	"230"	"34"	"14"	"23"	"301"
"188"	"129A"	"151"	"9"	"3"	"33"	"196"
"189"	"130"	"266"	"25"	"16"	"30"	"337"
"190"	"131"	"414"	"69"	"26"	"12"	"521"
"191"	"132"	"241"	"24"	"6"	"19"	"290"
"192"	"Polling Station No."	"I"	"II"	"III"	"IV"	"Total Votes Polled"
"193"	""	"ABDUL JALIL MASTAN"	"AFAQUE  ALAM"	"NIL MANI SINGH"	"SABA  ZAFAR"	""
"194"	""	"Indian National Congress Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	""
"195"	"1"	"2"	"3"	"4"	"5"	"6"
"196"	"133"	"189"	"9"	"3"	"5"	"206"
"197"	"133A"	"197"	"40"	"11"	"22"	"270"
"198"	"134"	"282"	"19"	"5"	"37"	"343"
"199"	"135"	"391"	"31"	"11"	"5"	"438"
"200"	"136"	"393"	"64"	"20"	"25"	"502"
"201"	"137"	"4"	"1"	"0"	"17"	"22"
"202"	"138"	"437"	"12"	"3"	"23"	"475"
"203"	"139"	"376"	"28"	"14"	"72"	"490"
"204"	"140"	"203"	"13"	"19"	"36"	"271"
"205"	"141"	"0"	"0"	"0"	"0"	"0"
"206"	"142"	"0"	"0"	"0"	"0"	"0"
"207"	"143"	"0"	"0"	"0"	"0"	"0"
"208"	"144"	"184"	"58"	"6"	"123"	"371"
"209"	"144A"	"65"	"113"	"21"	"63"	"262"
"210"	"145"	"131"	"44"	"9"	"126"	"310"
"211"	"146"	"333"	"72"	"17"	"142"	"564"
"212"	"147"	"234"	"55"	"14"	"123"	"426"
"213"	"148"	"271"	"45"	"13"	"96"	"425"
"214"	"149"	"259"	"62"	"16"	"115"	"452"
"215"	"150"	"549"	"6"	"0"	"5"	"560"
"216"	"Polling Station No."	"I"	"II"	"III"	"IV"	"Total Votes Polled"
"217"	""	"ABDUL JALIL MASTAN"	"AFAQUE  ALAM"	"NIL MANI SINGH"	"SABA  ZAFAR"	""
"218"	""	"Indian National Congress Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	""
"219"	"1"	"2"	"3"	"4"	"5"	"6"
"220"	"151"	"302"	"77"	"22"	"104"	"505"
"221"	"152"	"366"	"15"	"9"	"22"	"412"
"222"	"153"	"159"	"20"	"32"	"123"	"334"
"223"	"153A"	"234"	"47"	"10"	"47"	"338"
"224"	"154"	"228"	"343"	"33"	"68"	"672"
"225"	"155"	"240"	"22"	"9"	"72"	"343"
"226"	"156"	"324"	"17"	"2"	"39"	"382"
"227"	"157"	"191"	"11"	"6"	"118"	"326"
"228"	"157A"	"274"	"19"	"14"	"50"	"357"
"229"	"158"	"329"	"79"	"17"	"59"	"484"
"230"	"159"	"117"	"101"	"20"	"236"	"474"
"231"	"160"	"149"	"95"	"6"	"16"	"266"
"232"	"161"	"202"	"18"	"14"	"214"	"448"
"233"	"162"	"152"	"63"	"36"	"284"	"535"
"234"	"163"	"298"	"46"	"12"	"46"	"402"
"235"	"164"	"176"	"15"	"10"	"83"	"284"
"236"	"165"	"364"	"101"	"21"	"51"	"537"
"237"	"166"	"164"	"101"	"19"	"105"	"389"
"238"	"167"	"459"	"35"	"13"	"22"	"529"
"239"	"168"	"456"	"18"	"5"	"18"	"497"
"240"	"Polling Station No."	"I"	"II"	"III"	"IV"	"Total Votes Polled"
"241"	""	"ABDUL JALIL MASTAN"	"AFAQUE  ALAM"	"NIL MANI SINGH"	"SABA  ZAFAR"	""
"242"	""	"Indian National Congress Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	""
"243"	"1"	"2"	"3"	"4"	"5"	"6"
"244"	"169"	"303"	"14"	"8"	"16"	"341"
"245"	"170"	"516"	"16"	"5"	"29"	"566"
"246"	"171"	"425"	"18"	"6"	"44"	"493"
"247"	"172"	"298"	"12"	"0"	"5"	"315"
"248"	"173"	"367"	"4"	"2"	"2"	"375"
"249"	"174"	"570"	"41"	"8"	"24"	"643"
"250"	"175"	"272"	"8"	"3"	"26"	"309"
"251"	"176"	"349"	"14"	"10"	"7"	"380"
"252"	"176A"	"260"	"9"	"5"	"11"	"285"
"253"	"177"	"66"	"8"	"2"	"7"	"83"
"254"	"178"	"405"	"12"	"8"	"6"	"431"
"255"	"179"	"554"	"32"	"14"	"12"	"612"
"256"	"180"	"389"	"5"	"4"	"9"	"407"
"257"	"180A"	"365"	"10"	"4"	"3"	"382"
"258"	"181"	"718"	"20"	"7"	"9"	"754"
"259"	"TOTAL GENERAL VOTES"	"42041"	"11720"	"4521"	"27423"	"85705"
"260"	""	"ABDUL JALIL MASTAN"	"AFAQUE  ALAM"	"NIL MANI SINGH"	"SABA  ZAFAR"	""
"261"	""	"Indian National Congress Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	""
