"X123.....vkyeuxj"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"ernku dsUnz la[;k"	"pUns'ojh flag"	"ujsUnz uk0 ;kno"	"eukjs atu flag"	"latho jke"	"futZyk flag"	"T;ksfr\"k dqekj"	"lq'khy dqekj ;kno"	"dqy fof/kekU; er"	"izfr{ksfir  erksa  dh la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"3"	"1"	"49"	"136"	"12"	"1"	"3"	"7"	"26"	"234"	"0"	"234"	"0"
"4"	"2"	"125"	"340"	"10"	"7"	"28"	"7"	"31"	"548"	"0"	"548"	"0"
"5"	"3"	"90"	"351"	"29"	"6"	"12"	"10"	"11"	"509"	"0"	"509"	"0"
"6"	"4"	"25"	"218"	"6"	"1"	"2"	"2"	"6"	"260"	"0"	"260"	"0"
"7"	"4 A"	"24"	"192"	"17"	"2"	"1"	"5"	"3"	"244"	"0"	"244"	"0"
"8"	"5"	"59"	"244"	"66"	"5"	"12"	"10"	"8"	"404"	"0"	"404"	"0"
"9"	"6"	"221"	"231"	"26"	"0"	"11"	"5"	"19"	"513"	"0"	"513"	"0"
"10"	"7"	"8"	"246"	"51"	"12"	"11"	"14"	"22"	"364"	"0"	"364"	"0"
"11"	"7 A"	"24"	"130"	"18"	"0"	"3"	"1"	"3"	"179"	"0"	"179"	"0"
"12"	"8"	"89"	"136"	"228"	"8"	"4"	"6"	"8"	"479"	"0"	"479"	"0"
"13"	"9"	"235"	"115"	"63"	"12"	"9"	"7"	"22"	"463"	"0"	"463"	"0"
"14"	"10"	"224"	"178"	"36"	"17"	"19"	"7"	"15"	"496"	"0"	"496"	"0"
"15"	"11"	"66"	"187"	"2"	"3"	"41"	"3"	"12"	"314"	"0"	"314"	"0"
"16"	"12"	"110"	"121"	"10"	"3"	"16"	"7"	"14"	"281"	"0"	"281"	"0"
"17"	"ROUND 1"	"1349"	"2825"	"574"	"77"	"172"	"91"	"200"	"5288"	"0"	"5288"	"0"
"18"	"13"	"32"	"287"	"20"	"3"	"4"	"2"	"36"	"384"	"0"	"384"	"0"
"19"	"13 A"	"57"	"169"	"17"	"9"	"8"	"9"	"20"	"289"	"0"	"289"	"0"
"20"	"14"	"52"	"234"	"44"	"5"	"9"	"7"	"13"	"364"	"0"	"364"	"0"
"21"	"14 A"	"61"	"137"	"17"	"1"	"2"	"4"	"21"	"243"	"0"	"243"	"0"
"22"	"15"	"80"	"229"	"35"	"9"	"7"	"20"	"110"	"490"	"0"	"490"	"0"
"23"	"16"	"28"	"199"	"59"	"3"	"1"	"5"	"6"	"301"	"0"	"301"	"0"
"24"	"17"	"29"	"368"	"14"	"8"	"8"	"14"	"14"	"455"	"0"	"455"	"0"
"25"	"18"	"94"	"246"	"6"	"1"	"4"	"11"	"19"	"381"	"0"	"381"	"0"
"26"	"19"	"123"	"336"	"24"	"7"	"7"	"18"	"31"	"546"	"0"	"546"	"0"
"27"	"20"	"26"	"303"	"9"	"7"	"7"	"12"	"9"	"373"	"0"	"373"	"0"
"28"	"20 A"	"266"	"82"	"22"	"3"	"5"	"2"	"17"	"397"	"0"	"397"	"0"
"29"	"21"	"35"	"170"	"115"	"9"	"7"	"5"	"81"	"422"	"0"	"422"	"0"
"30"	"22"	"96"	"119"	"22"	"3"	"10"	"5"	"20"	"275"	"0"	"275"	"0"
"31"	"23"	"165"	"142"	"11"	"4"	"1"	"5"	"20"	"348"	"0"	"348"	"0"
"32"	"ROUND 2"	"1144"	"3021"	"415"	"72"	"80"	"119"	"417"	"5268"	"0"	"5268"	"0"
