"Polling.Station.No"	"Total.No.of.Electors.at.the.polling.Station"	"Votes.polled.candidate.in.desending.order"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.Vote.polled"	"X..Vote.Polled"	"Nature.of.booth.hyper.sensitive.s.ensitive"	"Type.of.force.CPMF.CR.PF.CISF.B.SF.SAP.D.AP.HG"	"Strength.of.force..1.4...2.8."	"Repoll.if.any.reasons"	"X..of.votes.polled.on.repoll"
"1"	""	""	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	""	""	""	""	""	""	""
"2"	""	""	"Jawahar Prasad BJP"	""	"Dr. Ashok Kumar RJD"	""	"Abdul Star LJP"	""	"Bihari Prasad BSP"	""	"Other"	""	""	""	""	""	""	""	""
"3"	""	""	"Total Vote"	"% a gainst total vote polled"	"Total Vote"	"% a gainst total vote polled"	"Total Vote"	"% a gainst total vote polled"	"Total Vote"	"% a gainst total vote polled"	"Total Vote"	"% a gainst total vote polled"	""	""	""	""	""	""	""
"4"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"5"	"1"	"1249"	"250"	"77.64"	"21"	"6.52"	"33"	"10.25"	"9"	"2.8"	"9"	"2.8"	"322"	"25.78"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"6"	"2"	"1125"	"189"	"43.55"	"209"	"48.16"	"22"	"5.07"	"6"	"1.38"	"8"	"1.84"	"434"	"38.58"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"7"	"3"	"630"	"263"	"94.27"	"11"	"3.94"	"1"	"0.36"	"2"	"0.72"	"2"	"0.72"	"279"	"44.29"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"8"	"3 d"	"888"	"229"	"89.45"	"23"	"8.98"	"0"	"0"	"3"	"1.17"	"1"	"0.39"	"256"	"28.83"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"9"	"4"	"1247"	"312"	"83.65"	"53"	"14.21"	"1"	"0.27"	"3"	"0.8"	"4"	"1.07"	"373"	"29.91"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"10"	"5"	"1109"	"279"	"74.4"	"76"	"20.27"	"8"	"2.13"	"6"	"1.6"	"6"	"1.6"	"375"	"33.81"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"11"	"6"	"655"	"210"	"75"	"53"	"18.93"	"9"	"3.21"	"3"	"1.07"	"5"	"1.79"	"280"	"42.75"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"12"	"7"	"856"	"198"	"90.83"	"15"	"6.88"	"3"	"1.38"	"1"	"0.46"	"1"	"0.46"	"218"	"25.47"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"13"	"8"	"972"	"275"	"93.54"	"9"	"3.06"	"1"	"0.34"	"8"	"2.72"	"1"	"0.34"	"294"	"30.25"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"14"	"9"	"1118"	"349"	"85.54"	"45"	"11.03"	"2"	"0.49"	"6"	"1.47"	"6"	"1.47"	"408"	"36.49"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"15"	"10"	"797"	"191"	"51.34"	"123"	"33.06"	"44"	"11.83"	"6"	"1.61"	"8"	"2.15"	"372"	"46.68"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"16"	"10d"	"670"	"115"	"63.89"	"62"	"34.44"	"0"	"0"	"3"	"1.67"	"0"	"0"	"180"	"26.87"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"17"	"11"	"1244"	"275"	"65.17"	"135"	"31.99"	"1"	"0.24"	"3"	"0.71"	"8"	"1.9"	"422"	"33.92"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"18"	"12"	"1412"	"336"	"76.89"	"93"	"21.28"	"1"	"0.23"	"2"	"0.46"	"5"	"1.14"	"437"	"30.95"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"19"	";ksx"	"13972"	"3471"	"74.65"	"928"	"19.96"	"126"	"2.71"	"61"	"1.31"	"64"	"1.38"	"4650"	"33.28"	""	""	""	""	""
"20"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"23"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"24"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"25"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"26"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
