"Annexure.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO STATE LEGISLATIVE ASSEMBLY FROM THE 133-BAHADURGANJ Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency -"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"6"	""	"Md. Tousif Alam"	"Shamim Alam"	"Shahab Alam"	"Saidu Rahman"	"Hari Mohan Singh"	"Pradhan Hembram"	"Md Mansoor Alam"	"Sikandar Singh"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"8"	"1"	"194"	"13"	"117"	"16"	"9"	"31"	"17"	"126"	"523"	"0"	"523"	"0"
"9"	"2"	"125"	"14"	"131"	"5"	"7"	"27"	"5"	"92"	"406"	"0"	"406"	"0"
"10"	"3"	"341"	"14"	"120"	"8"	"4"	"5"	"9"	"42"	"543"	"0"	"543"	"0"
"11"	"4"	"150"	"11"	"320"	"13"	"8"	"70"	"11"	"74"	"657"	"0"	"657"	"0"
"12"	"5"	"304"	"20"	"12"	"23"	"0"	"3"	"2"	"4"	"368"	"0"	"368"	"0"
"13"	"5A"	"347"	"22"	"135"	"10"	"7"	"14"	"6"	"23"	"564"	"0"	"564"	"0"
"14"	"6"	"340"	"14"	"61"	"9"	"9"	"19"	"20"	"94"	"566"	"0"	"566"	"0"
"15"	"7"	"157"	"17"	"26"	"7"	"9"	"20"	"6"	"235"	"477"	"0"	"477"	"0"
