"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUEN"	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""
"7"	"ssembly Constituency/Segment                                                        197981"	""	""	""	""	""	""	""	""	""
"8"	"Assembly/Segment                                                                        206-Sahar"	""	""	""	""	""	""	""	""	""
"9"	"Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	""	"JOITI"	"RAM NARESH
RAM"	"SHIWESH KUMAR"	"BINOD KUMAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"11"	""	""	"INC"	"CPI(ML)(L)"	"BJP"	"IND"	""	""	""	""
"12"	"1"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"13"	"1"	"PRIMARY SCHOOL RAJMALDIH (N PART)"	"149"	"69"	"30"	"2"	"250"	"0"	"250"	"0"
"14"	"2"	"PRIMARY SCHOOL NAUWAN"	"71"	"179"	"220"	"6"	"476"	"0"	"476"	"0"
"15"	"3"	"PRIMARY SCHOOL CHAKIYA"	"25"	"91"	"65"	"9"	"190"	"0"	"190"	"0"
"16"	"4"	"PRIMARY SCHOOL BALUA"	"19"	"123"	"144"	"6"	"292"	"0"	"292"	"0"
"17"	"5"	"MIDDLE SCHOOL CHAKIYA"	"113"	"61"	"167"	"10"	"351"	"0"	"351"	"0"
"18"	"6"	"PRIMARY SCHOOL NAWADIH"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"19"	"7"	"PRIMARY SCHOOL FATEHPUR"	"166"	"234"	"27"	"11"	"438"	"0"	"438"	"0"
"20"	"8"	"KANYA SCHOOL SIKARAUL"	"212"	"135"	"158"	"12"	"517"	"0"	"517"	"0"
"21"	"9"	"MIDDLE SCHOOL SIKARAUL(WEST PART)"	"150"	"247"	"37"	"11"	"445"	"0"	"445"	"0"
"22"	"10"	"MAKHTAB LABNA"	"94"	"224"	"123"	"16"	"457"	"0"	"457"	"0"
"23"	"11"	"LIBRERY PATKHAULI"	"125"	"225"	"78"	"9"	"437"	"0"	"437"	"0"
"24"	"12"	"PRIMARY SCHOOL NIRBHAY DIHARA"	"53"	"166"	"72"	"6"	"297"	"0"	"297"	"0"
"25"	"13"	"PRIMARY SCHOOL BASAURI(NORTH PART)"	"30"	"34"	"172"	"4"	"240"	"0"	"240"	"0"
"26"	"14"	"PRIMARY SCHOOL BASAURI(SOUTH PART)"	"97"	"234"	"77"	"6"	"414"	"0"	"414"	"0"
"27"	"15"	"PRIMARY SCHOOL SEDAHAN"	"41"	"20"	"149"	"5"	"215"	"0"	"215"	"0"
"28"	"16"	"MIDDLE SCHOOL SEDAHAN"	"26"	"44"	"165"	"2"	"237"	"0"	"237"	"0"
"29"	"Serial No. of Polling Station"	""	"JOITI"	"RAM NARESH
RAM"	"SHIWESH KUMAR"	"BINOD KUMAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"30"	""	""	"INC"	"CPI(ML)(L)"	"BJP"	"IND"	""	""	""	""
"31"	"1"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"32"	"17"	"PRIMARY SCHOOL KOSHDIHRA"	"62"	"45"	"50"	"4"	"161"	"0"	"161"	"0"
"33"	"18"	"SAHKARITA GODAM SEDAHAN"	"85"	"286"	"77"	"20"	"468"	"0"	"468"	"0"
"34"	"19"	"HIGH SCHOOL SEDAHAN"	"95"	"103"	"55"	"21"	"274"	"0"	"274"	"0"
"35"	"20"	"PRIMARY SCHOOL RAMNAGAR"	"162"	"374"	"93"	"11"	"640"	"0"	"640"	"0"
"36"	"21"	"MIDDLE SCHOOL BELDIHARI"	"53"	"163"	"87"	"9"	"312"	"0"	"312"	"0"
"37"	"22"	"PRIMARY SCHOOL JETHWAR(EAST PART)"	"220"	"130"	"60"	"11"	"421"	"0"	"421"	"0"
"38"	"23"	"PRIMARY SCHOOL JETHWAR(WEST PART)"	"66"	"275"	"73"	"11"	"425"	"0"	"425"	"0"
"39"	"24"	"PRIMARY SCHOOL GAHARUA"	"33"	"136"	"142"	"15"	"326"	"0"	"326"	"0"
"40"	"25"	"PRIMARY SCHOOL AMHARUAN"	"35"	"152"	"110"	"10"	"307"	"0"	"307"	"0"
"41"	"26"	"PRIMARY SCHOOL HARADIYA"	"159"	"185"	"71"	"21"	"436"	"0"	"436"	"0"
"42"	"27"	"PRIMARY SCHOOL BAGSANDA"	"200"	"96"	"166"	"6"	"468"	"0"	"468"	"0"
"43"	"28"	"MIDDLE SCHOOL, SARA (EAST PART)"	"54"	"152"	"155"	"25"	"386"	"0"	"386"	"0"
"44"	"29"	"PRIMARY MIDDLE SCHOOL SARA (WEST PART)"	"182"	"38"	"94"	"7"	"321"	"0"	"321"	"0"
"45"	"30"	"PRIMARY SCHOOL KUSUMAHI"	"96"	"193"	"93"	"9"	"391"	"0"	"391"	"0"
"46"	"31"	"HIGH SCHOOL, ITIMHA"	"130"	"87"	"70"	"9"	"296"	"0"	"296"	"0"
"47"	"32"	"PRIMARY SCHOOL SHANKARDIH"	"124"	"348"	"106"	"7"	"585"	"0"	"585"	"0"
"48"	"33"	"PRIMARY SCHOOL KHARAUNA"	"56"	"42"	"173"	"1"	"272"	"0"	"272"	"0"
"49"	"34"	"PRIMARY SCHOOL AKRAUNJ"	"86"	"84"	"112"	"5"	"287"	"0"	"287"	"0"
"50"	"35"	"PRIMARY SCHOOL SARFORA"	"52"	"69"	"68"	"6"	"195"	"0"	"195"	"0"
"51"	"36"	"PRIMARY SCHOOL DHAMNA"	"53"	"143"	"107"	"9"	"312"	"0"	"312"	"0"
"52"	"37"	"PRIMARY SCHOOL MALWEY"	"183"	"73"	"82"	"11"	"349"	"0"	"349"	"0"
"53"	"38"	"PRIMARY SCHOOL PADARIYA"	"150"	"90"	"57"	"10"	"307"	"0"	"307"	"0"
"54"	"39"	"MIDDLE SCHOOL BHAKURA(NORTH PART)"	"98"	"12"	"88"	"7"	"205"	"0"	"205"	"0"
"55"	"40"	"MIDDLE SCHOOL BHAKURA(SOUTH PART)"	"70"	"128"	"85"	"21"	"304"	"0"	"304"	"0"
"56"	"41"	"PRIMARY SCHOOL KARATH(EAST PART)"	"46"	"138"	"119"	"10"	"313"	"0"	"313"	"0"
"57"	"42"	"MIDDLE SCHOOL KARATH(WEST PART)"	"52"	"95"	"327"	"16"	"490"	"0"	"490"	"0"
"58"	"43"	"MIDDLE SCHOOL KARATH(EAST PART)"	"30"	"137"	"114"	"12"	"293"	"0"	"293"	"0"
"59"	"44"	"PRIMARY SCHOOL KARATH(WEST PART)"	"118"	"75"	"140"	"7"	"340"	"0"	"340"	"0"
"60"	"45"	"PRIMARY SCHOOL DILIYAN"	"209"	"25"	"20"	"9"	"263"	"0"	"263"	"0"
"61"	"46"	"PRIMARY SCHOOL DURGAPUR"	"232"	"5"	"3"	"1"	"241"	"0"	"241"	"0"
"62"	"47"	"PRIMARY SCHOOL MAHADEO PUR"	"111"	"182"	"66"	"15"	"374"	"0"	"374"	"0"
"63"	"48"	"MIDDLE SCHOOL TARARI(EAST PART)"	"50"	"120"	"155"	"10"	"335"	"0"	"335"	"0"
"64"	"Serial No. of Polling Station"	""	"JOITI"	"RAM NARESH
RAM"	"SHIWESH KUMAR"	"BINOD KUMAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"65"	""	""	"INC"	"CPI(ML)(L)"	"BJP"	"IND"	""	""	""	""
"66"	"1"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"67"	"49"	"MIDDLE SCHOOL TARARI(WEST PART)"	"166"	"259"	"155"	"33"	"613"	"0"	"613"	"0"
"68"	"50"	"PRIMARY SCHOOL PANPURA"	"65"	"146"	"201"	"6"	"418"	"0"	"418"	"0"
"69"	"51"	"PRIMARY SCHOOL BANDHWA"	"55"	"410"	"148"	"17"	"630"	"0"	"630"	"0"
"70"	"52"	"PRIMARY SCHOOL SAIDANPUR"	"224"	"138"	"59"	"12"	"433"	"0"	"433"	"0"
