"X..FORM.20.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 191 DANAPUR  ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"ROUND-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :-191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""
"9"	"Serial no. of polling station"	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"1"	"28"	""	"13"	""	"326"	""	"29"	""	"45"	""	"11"	""	"7"	""	"3"	""	""	"462"	""	""	""	""	""	""	""	"462"	""	""	""	""	""	""
"11"	"2"	"14"	""	"8"	""	"53"	""	"51"	""	"2"	""	"7"	""	"9"	""	"2"	""	""	"146"	""	""	""	""	""	""	""	"146"	""	""	""	""	""	""
"12"	"3"	"29"	""	"2"	""	"120"	""	"21"	""	"3"	""	"4"	""	"6"	""	"12"	""	""	"197"	""	""	""	""	""	""	""	"197"	""	""	""	""	""	""
"13"	"4"	"36"	""	"4"	""	"158"	""	"13"	""	"3"	""	"4"	""	"4"	""	"6"	""	""	"228"	""	""	""	""	""	""	""	"228"	""	""	""	""	""	""
"14"	"5"	"33"	""	"8"	""	"153"	""	"18"	""	"5"	""	"3"	""	"3"	""	"8"	""	""	"231"	""	""	""	""	""	""	""	"231"	""	""	""	""	""	""
"15"	"6"	"402"	""	"7"	""	"115"	""	"61"	""	"4"	""	"10"	""	"9"	""	"21"	""	""	"629"	""	""	""	""	""	""	""	"629"	""	""	""	""	""	""
"16"	"7"	"48"	""	"10"	""	"88"	""	"57"	""	"1"	""	"4"	""	"0"	""	"1"	""	""	"209"	""	""	""	""	""	""	""	"209"	""	""	""	""	""	""
"17"	"8"	"125"	""	"7"	""	"214"	""	"82"	""	"2"	""	"6"	""	"3"	""	"6"	""	""	"445"	""	""	""	""	""	""	""	"445"	""	""	""	""	""	""
"18"	"9"	"54"	""	"5"	""	"83"	""	"62"	""	"1"	""	"4"	""	"7"	""	"3"	""	""	"219"	""	""	""	""	""	""	""	"219"	""	""	""	""	""	""
"19"	"10"	"199"	""	"4"	""	"30"	""	"8"	""	"1"	""	"4"	""	"0"	""	"14"	""	""	"260"	""	""	""	""	""	""	""	"260"	""	""	""	""	""	""
"20"	"11"	"98"	""	"3"	""	"12"	""	"1"	""	"1"	""	"1"	""	"4"	""	"2"	""	""	"122"	""	""	""	""	""	""	""	"122"	""	""	""	""	""	""
"21"	"12"	"17"	""	"4"	""	"214"	""	"26"	""	"3"	""	"7"	""	"3"	""	"11"	""	""	"285"	""	""	""	""	""	""	""	"285"	""	""	""	""	""	""
"22"	"13"	"209"	""	"4"	""	"119"	""	"15"	""	"0"	""	"4"	""	"1"	""	"3"	""	""	"355"	""	""	""	""	""	""	""	"355"	""	""	""	""	""	""
"23"	"14"	"48"	""	"12"	""	"336"	""	"111"	""	"5"	""	"4"	""	"5"	""	"2"	""	""	"523"	""	""	""	""	""	""	""	"523"	""	""	""	""	""	""
"24"	"Total"	"1340"	""	"91"	""	"2021"	""	"555"	""	"76"	""	"73"	""	"61"	""	"94"	""	""	"4311"	""	""	""	""	""	""	""	"4311"	""	""	"0"	""	""	""
"25"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Grand Total"	"1340"	""	"91"	""	"2021"	""	"555"	""	"76"	""	"73"	""	"61"	""	"94"	""	""	"4311"	""	""	""	""	"0"	""	""	"4311"	""	""	"0"	""	""	""
"27"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"29"	"Serial no. of polling station"	""	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"15"	""	"29"	""	"1"	""	"442"	""	"34"	""	"2"	""	"4"	""	"1"	""	"5"	""	""	""	"518"	""	""	""	""	"518"	""	""	""	""	""	""	""
"31"	"16"	""	"17"	""	"3"	""	"133"	""	"42"	""	"8"	""	"2"	""	"0"	""	"11"	""	""	""	"216"	""	""	""	""	"216"	""	""	""	""	""	""	""
"32"	"17"	""	"14"	""	"3"	""	"291"	""	"14"	""	"2"	""	"2"	""	"5"	""	"4"	""	""	""	"335"	""	""	""	""	"335"	""	""	""	""	""	""	""
"33"	"18"	""	"22"	""	"10"	""	"143"	""	"36"	""	"5"	""	"5"	""	"9"	""	"20"	""	""	""	"250"	""	""	""	""	"250"	""	""	""	""	""	""	""
"34"	"19"	""	"24"	""	"4"	""	"199"	""	"18"	""	"4"	""	"4"	""	"7"	""	"9"	""	""	""	"269"	""	""	""	""	"269"	""	""	""	""	""	""	""
