"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X016F.MorAmD2H0UBAN"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Booth No."	"Ext"	"Voters"	"Round"	"RAJA RAM SINGH"	"RANA RANDHIR"	"LALAM PD. YADAV"	"SHIV JEE RAI"	"SITA RAM PD. YADAV"	"AMRESH KUMAR"	"UPENDRA SINGH"	"MD. FIROJ   ALAM"	"MANOJ KUMAR"	"MAHABIR RAM"	"MAHENDRA PRASAD"	"MUKESH KUMAR"	"Total"
"3"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"4"	"1"	""	"935"	"1"	"3"	"130"	"23"	"252"	"2"	"7"	"4"	"4"	"10"	"8"	"11"	"11"	"465"
"5"	"2"	""	"1031"	"1"	"22"	"231"	"16"	"223"	"2"	"7"	"8"	"3"	"7"	"2"	"14"	"8"	"543"
"6"	"3"	""	"937"	"1"	"16"	"199"	"53"	"94"	"5"	"5"	"12"	"1"	"8"	"6"	"9"	"12"	"420"
"7"	"3"	"A"	"592"	"1"	"8"	"91"	"19"	"139"	"10"	"2"	"6"	"4"	"4"	"6"	"5"	"15"	"309"
"8"	"4"	""	"1016"	"1"	"12"	"102"	"60"	"198"	"2"	"6"	"15"	"7"	"17"	"4"	"12"	"15"	"450"
"9"	"5"	""	"1032"	"1"	"8"	"154"	"28"	"171"	"8"	"5"	"22"	"8"	"14"	"2"	"22"	"26"	"468"
"10"	"6"	""	"1028"	"1"	"4"	"153"	"20"	"291"	"2"	"1"	"10"	"4"	"5"	"3"	"13"	"11"	"517"
"11"	"7"	""	"1002"	"1"	"2"	"78"	"12"	"208"	"3"	"1"	"14"	"4"	"17"	"4"	"17"	"12"	"372"
"12"	"8"	""	"875"	"1"	"10"	"71"	"10"	"179"	"4"	"4"	"10"	"3"	"14"	"1"	"16"	"2"	"324"
"13"	"9"	""	"1331"	"1"	"9"	"91"	"7"	"244"	"9"	"9"	"30"	"5"	"24"	"12"	"31"	"38"	"509"
"14"	"10"	"A"	"757"	"2"	"7"	"79"	"11"	"61"	"8"	"6"	"9"	"8"	"13"	"9"	"26"	"33"	"270"
"15"	"10"	""	"754"	"2"	"7"	"71"	"14"	"102"	"9"	"8"	"19"	"12"	"13"	"8"	"26"	"23"	"312"
"16"	"11"	""	"877"	"2"	"9"	"78"	"5"	"166"	"6"	"7"	"12"	"3"	"9"	"2"	"12"	"7"	"316"
"17"	"12"	""	"1075"	"2"	"17"	"241"	"18"	"192"	"1"	"6"	"11"	"4"	"11"	"6"	"18"	"30"	"555"
"18"	"13"	""	"985"	"2"	"11"	"126"	"12"	"223"	"2"	"7"	"24"	"5"	"15"	"5"	"28"	"30"	"488"
"19"	"14"	""	"845"	"2"	"18"	"145"	"44"	"142"	"6"	"10"	"6"	"10"	"7"	"10"	"18"	"37"	"453"
"20"	"15"	""	"907"	"2"	"11"	"180"	"31"	"191"	"12"	"9"	"11"	"6"	"9"	"8"	"21"	"28"	"517"
"21"	"16"	""	"1287"	"2"	"7"	"201"	"12"	"343"	"4"	"12"	"29"	"8"	"18"	"6"	"34"	"13"	"687"
"22"	"17"	""	"1131"	"2"	"8"	"179"	"7"	"329"	"6"	"7"	"15"	"6"	"15"	"10"	"32"	"19"	"633"
"23"	"18"	""	"1081"	"2"	"8"	"135"	"7"	"381"	"3"	"7"	"10"	"2"	"15"	"1"	"15"	"13"	"597"
"24"	"19"	""	"1283"	"3"	"34"	"221"	"22"	"324"	"6"	"8"	"10"	"5"	"22"	"4"	"20"	"21"	"697"
"25"	"20"	""	"956"	"3"	"17"	"116"	"19"	"172"	"4"	"10"	"15"	"3"	"7"	"8"	"14"	"11"	"396"
"26"	"21"	""	"1050"	"3"	"11"	"84"	"13"	"365"	"6"	"13"	"15"	"12"	"31"	"5"	"25"	"15"	"595"
"27"	"22"	""	"734"	"3"	"4"	"34"	"7"	"213"	"12"	"10"	"24"	"8"	"19"	"5"	"28"	"20"	"384"
"28"	"23"	""	"1042"	"3"	"11"	"144"	"34"	"229"	"7"	"8"	"14"	"6"	"13"	"8"	"14"	"24"	"512"
"29"	"24"	""	"1023"	"3"	"26"	"195"	"25"	"117"	"10"	"9"	"11"	"9"	"23"	"19"	"22"	"42"	"508"
"30"	"25"	""	"929"	"3"	"13"	"195"	"18"	"140"	"7"	"4"	"12"	"2"	"7"	"8"	"30"	"24"	"460"
"31"	"26"	""	"1051"	"3"	"19"	"129"	"17"	"264"	"10"	"5"	"11"	"6"	"13"	"9"	"31"	"10"	"524"
"32"	"27"	""	"954"	"3"	"6"	"122"	"21"	"247"	"5"	"3"	"15"	"1"	"2"	"7"	"24"	"21"	"474"
"33"	"28"	""	"662"	"3"	"15"	"69"	"11"	"167"	"6"	"7"	"16"	"4"	"10"	"2"	"17"	"18"	"342"
"34"	"28"	"A"	"873"	"4"	"5"	"70"	"13"	"113"	"2"	"4"	"13"	"3"	"7"	"4"	"13"	"27"	"274"
"35"	"29"	""	"543"	"4"	"12"	"98"	"35"	"87"	"5"	"6"	"6"	"3"	"9"	"6"	"25"	"10"	"302"
"36"	"30"	""	"756"	"4"	"13"	"74"	"3"	"241"	"5"	"9"	"8"	"4"	"22"	"2"	"27"	"17"	"425"
"37"	"31"	""	"932"	"4"	"1"	"99"	"8"	"165"	"6"	"3"	"8"	"3"	"8"	"1"	"8"	"6"	"316"
"38"	"31"	"A"	"657"	"4"	"20"	"25"	"31"	"223"	"7"	"5"	"14"	"3"	"10"	"3"	"13"	"11"	"365"
"39"	"32"	""	"1079"	"4"	"9"	"80"	"14"	"271"	"12"	"13"	"24"	"7"	"28"	"5"	"37"	"33"	"533"
"40"	"33"	""	"828"	"4"	"2"	"51"	"2"	"388"	"0"	"4"	"7"	"2"	"5"	"4"	"22"	"4"	"491"
"41"	"34"	""	"685"	"4"	"9"	"28"	"11"	"287"	"9"	"4"	"14"	"3"	"9"	"3"	"30"	"18"	"425"
"42"	"35"	"A"	"471"	"4"	"1"	"72"	"6"	"123"	"1"	"0"	"6"	"1"	"5"	"2"	"5"	"3"	"225"
"43"	"35"	""	"987"	"4"	"12"	"138"	"12"	"236"	"5"	"6"	"9"	"2"	"9"	"5"	"22"	"25"	"481"
"44"	"36"	""	"1204"	"5"	"12"	"208"	"30"	"119"	"10"	"3"	"12"	"5"	"2"	"4"	"24"	"35"	"464"
"45"	"37"	""	"736"	"5"	"18"	"102"	"12"	"187"	"5"	"6"	"14"	"3"	"4"	"2"	"13"	"10"	"376"
"46"	"38"	""	"970"	"5"	"16"	"102"	"12"	"256"	"5"	"7"	"13"	"4"	"2"	"1"	"21"	"6"	"445"
"47"	"39"	""	"937"	"5"	"28"	"79"	"14"	"329"	"14"	"4"	"20"	"8"	"13"	"8"	"18"	"11"	"546"
"48"	"40"	""	"1137"	"5"	"24"	"141"	"28"	"145"	"10"	"8"	"15"	"6"	"7"	"3"	"15"	"10"	"412"
"49"	"41"	""	"837"	"5"	"6"	"138"	"10"	"121"	"5"	"0"	"8"	"0"	"5"	"2"	"8"	"7"	"310"
"50"	"42"	""	"846"	"5"	"4"	"117"	"40"	"119"	"2"	"5"	"8"	"3"	"4"	"3"	"6"	"4"	"315"
"51"	"43"	""	"1018"	"5"	"13"	"113"	"4"	"303"	"8"	"4"	"19"	"9"	"16"	"4"	"21"	"12"	"526"
"52"	"44"	""	"935"	"5"	"3"	"51"	"20"	"299"	"11"	"8"	"21"	"5"	"16"	"11"	"22"	"17"	"484"
"53"	"44"	"A"	"506"	"5"	"10"	"76"	"11"	"92"	"5"	"2"	"4"	"2"	"6"	"5"	"14"	"9"	"236"
"54"	"45"	""	"863"	"6"	"7"	"149"	"8"	"213"	"2"	"3"	"10"	"2"	"13"	"0"	"9"	"9"	"425"
"55"	"46"	""	"588"	"6"	"11"	"84"	"10"	"125"	"1 of 59"	"3"	"11"	"2"	"7"	"2"	"13"	"12"	"289"
"56"	""	""	""	""	""	"016F-MorAmD2H0UBAN"	""	""	""	""	""	""	""	""	""	""	""
"57"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Booth No."	"Ext"	"Voters"	"Round"	"RAJA RAM SINGH"	"RANA RANDHIR"	"LALAM PD. YADAV"	"SHIV JEE RAI"	"SITA RAM PD. YADAV"	"AMRESH KUMAR"	"UPENDRA SINGH"	"MD. FIROJ   ALAM"	"MANOJ KUMAR"	"MAHABIR RAM"	"MAHENDRA PRASAD"	"MUKESH KUMAR"	"Total"
"59"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"60"	"47"	""	"892"	"6"	"13"	"115"	"15"	"113"	"1"	"5"	"18"	"1"	"7"	"5"	"18"	"26"	"337"
"61"	"48"	""	"1059"	"6"	"25"	"148"	"25"	"270"	"5"	"5"	"18"	"4"	"10"	"7"	"33"	"11"	"561"
"62"	"49"	""	"1268"	"6"	"8"	"207"	"14"	"223"	"2"	"2"	"3"	"1"	"6"	"1"	"16"	"14"	"497"
"63"	"50"	""	"1039"	"6"	"24"	"165"	"20"	"120"	"8"	"8"	"9"	"4"	"4"	"0"	"8"	"9"	"379"
"64"	"51"	""	"758"	"6"	"11"	"160"	"14"	"62"	"0"	"4"	"1"	"1"	"1"	"9"	"12"	"16"	"291"
"65"	"52"	""	"730"	"6"	"7"	"50"	"6"	"109"	"3"	"6"	"20"	"7"	"21"	"11"	"25"	"37"	"302"
"66"	"52"	"A"	"715"	"6"	"9"	"118"	"13"	"139"	"6"	"6"	"15"	"5"	"5"	"2"	"19"	"5"	"342"
"67"	"53"	""	"830"	"6"	"18"	"102"	"17"	"156"	"14"	"7"	"23"	"5"	"12"	"10"	"12"	"26"	"402"
"68"	"54"	"A"	"700"	"7"	"6"	"66"	"4"	"184"	"7"	"5"	"5"	"3"	"9"	"2"	"13"	"11"	"315"
"69"	"54"	""	"746"	"7"	"20"	"156"	"31"	"92"	"5"	"3"	"12"	"2"	"4"	"2"	"5"	"16"	"348"
"70"	"55"	""	"970"	"7"	"10"	"85"	"14"	"279"	"11"	"11"	"17"	"4"	"9"	"3"	"20"	"9"	"472"
"71"	"56"	""	"1369"	"7"	"18"	"137"	"94"	"139"	"8"	"4"	"11"	"6"	"12"	"9"	"21"	"17"	"476"
"72"	"57"	""	"1162"	"7"	"15"	"206"	"19"	"168"	"6"	"3"	"9"	"6"	"8"	"5"	"15"	"28"	"488"
"73"	"58"	""	"607"	"7"	"11"	"150"	"9"	"73"	"8"	"5"	"4"	"6"	"2"	"7"	"15"	"13"	"303"
"74"	"59"	""	"1084"	"7"	"13"	"82"	"9"	"191"	"7"	"8"	"11"	"11"	"14"	"4"	"12"	"15"	"377"
"75"	"60"	""	"1106"	"7"	"35"	"170"	"37"	"122"	"4"	"11"	"7"	"3"	"10"	"4"	"18"	"18"	"439"
"76"	"61"	""	"1252"	"7"	"9"	"252"	"12"	"191"	"9"	"5"	"7"	"3"	"8"	"1"	"11"	"7"	"515"
"77"	"62"	""	"967"	"7"	"6"	"50"	"8"	"263"	"7"	"5"	"14"	"6"	"11"	"5"	"18"	"12"	"405"
"78"	"63"	""	"716"	"8"	"10"	"176"	"19"	"99"	"5"	"5"	"7"	"5"	"6"	"4"	"12"	"12"	"360"
"79"	"64"	""	"1001"	"8"	"8"	"67"	"18"	"256"	"4"	"5"	"11"	"2"	"14"	"4"	"19"	"7"	"415"
"80"	"65"	""	"970"	"8"	"7"	"120"	"15"	"150"	"11"	"4"	"8"	"4"	"9"	"3"	"16"	"21"	"368"
"81"	"66"	""	"882"	"8"	"22"	"178"	"27"	"94"	"7"	"8"	"6"	"4"	"9"	"4"	"8"	"15"	"382"
"82"	"67"	""	"895"	"8"	"8"	"156"	"22"	"215"	"4"	"4"	"9"	"4"	"2"	"3"	"9"	"9"	"445"
"83"	"68"	""	"1125"	"8"	"9"	"120"	"11"	"227"	"8"	"10"	"11"	"7"	"11"	"8"	"25"	"17"	"464"
"84"	"69"	""	"827"	"8"	"12"	"64"	"7"	"203"	"7"	"5"	"16"	"1"	"12"	"0"	"6"	"8"	"341"
"85"	"70"	"A"	"529"	"8"	"8"	"75"	"13"	"166"	"9"	"3"	"9"	"6"	"11"	"2"	"8"	"5"	"315"
"86"	"70"	""	"900"	"8"	"4"	"126"	"9"	"174"	"5"	"3"	"8"	"5"	"12"	"7"	"14"	"26"	"393"
"87"	"71"	""	"682"	"8"	"8"	"105"	"19"	"107"	"2"	"2"	"3"	"2"	"11"	"3"	"6"	"13"	"281"
"88"	"72"	""	"829"	"9"	"18"	"175"	"20"	"133"	"7"	"1"	"7"	"6"	"10"	"2"	"3"	"14"	"396"
"89"	"72"	"A"	"718"	"9"	"9"	"123"	"20"	"94"	"5"	"2"	"13"	"3"	"6"	"3"	"10"	"13"	"301"
"90"	"73"	""	"1074"	"9"	"11"	"237"	"25"	"91"	"4"	"2"	"2"	"1"	"3"	"1"	"4"	"14"	"395"
"91"	"74"	""	"488"	"9"	"6"	"182"	"11"	"39"	"1"	"2"	"3"	"0"	"2"	"2"	"2"	"7"	"257"
"92"	"75"	""	"1014"	"9"	"16"	"247"	"47"	"191"	"6"	"5"	"9"	"6"	"9"	"3"	"11"	"10"	"560"
"93"	"75"	"A"	"466"	"9"	"7"	"50"	"8"	"116"	"1"	"2"	"2"	"1"	"2"	"2"	"12"	"5"	"208"
"94"	"76"	""	"922"	"9"	"15"	"68"	"20"	"223"	"10"	"2"	"13"	"8"	"9"	"5"	"25"	"26"	"424"
"95"	"77"	""	"1390"	"9"	"11"	"282"	"19"	"222"	"5"	"5"	"14"	"6"	"17"	"10"	"25"	"26"	"642"
"96"	"78"	""	"1130"	"9"	"9"	"96"	"11"	"204"	"13"	"11"	"16"	"9"	"20"	"8"	"18"	"32"	"447"
"97"	"79"	""	"770"	"9"	"7"	"100"	"9"	"113"	"6"	"6"	"12"	"5"	"6"	"4"	"14"	"15"	"297"
"98"	"80"	""	"838"	"10"	"5"	"130"	"15"	"91"	"0"	"3"	"8"	"0"	"3"	"4"	"12"	"18"	"289"
"99"	"81"	"A"	"663"	"10"	"10"	"115"	"20"	"142"	"5"	"5"	"12"	"3"	"1"	"2"	"10"	"6"	"331"
"100"	"81"	""	"851"	"10"	"8"	"214"	"32"	"87"	"1"	"2"	"3"	"1"	"1"	"0"	"3"	"4"	"356"
"101"	"82"	""	"789"	"10"	"9"	"192"	"20"	"142"	"2"	"4"	"7"	"6"	"5"	"4"	"12"	"17"	"420"
"102"	"83"	""	"892"	"10"	"14"	"121"	"15"	"215"	"11"	"7"	"17"	"9"	"8"	"1"	"16"	"18"	"452"
"103"	"84"	""	"1143"	"10"	"13"	"341"	"17"	"123"	"3"	"3"	"5"	"2"	"4"	"3"	"6"	"8"	"528"
"104"	"85"	""	"1014"	"10"	"27"	"262"	"74"	"98"	"6"	"0"	"9"	"3"	"5"	"3"	"5"	"7"	"499"
"105"	"86"	""	"1086"	"10"	"14"	"100"	"100"	"104"	"6"	"6"	"7"	"11"	"20"	"11"	"14"	"30"	"423"
"106"	"87"	"A"	"555"	"10"	"5"	"64"	"18"	"99"	"2"	"5"	"7"	"5"	"5"	"4"	"12"	"12"	"238"
"107"	"87"	""	"933"	"10"	"11"	"135"	"35"	"194"	"2"	"7"	"9"	"4"	"6"	"4"	"15"	"14"	"436"
"108"	"88"	"A"	"559"	"11"	"8"	"139"	"29"	"87"	"3"	"4"	"10"	"0"	"3"	"1"	"5"	"1"	"290"
"109"	"88"	""	"954"	"11"	"19"	"143"	"65"	"103"	"4"	"5"	"14"	"6"	"6"	"5"	"10"	"9"	"389"
"110"	"89"	"A"	"541"	"11"	"3"	"68"	"76"	"76"	"5"	"3"	"4"	"3"	"2"	"1"	"5"	"11"	"257"
"111"	"89"	""	"963"	"11"	"17"	"219"	"89"	"78"	"2 of 57"	"9"	"9"	"5"	"6"	"5"	"16"	"22"	"482"
"112"	""	""	""	""	""	"016F-MorAmD2H0UBAN"	""	""	""	""	""	""	""	""	""	""	""
"113"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"Booth No."	"Ext"	"Voters"	"Round"	"RAJA RAM SINGH"	"RANA RANDHIR"	"LALAM PD. YADAV"	"SHIV JEE RAI"	"SITA RAM PD. YADAV"	"AMRESH KUMAR"	"UPENDRA SINGH"	"MD. FIROJ   ALAM"	"MANOJ KUMAR"	"MAHABIR RAM"	"MAHENDRA PRASAD"	"MUKESH KUMAR"	"Total"
"115"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"116"	"90"	""	"973"	"11"	"8"	"114"	"17"	"253"	"4"	"10"	"14"	"1"	"11"	"3"	"25"	"32"	"492"
"117"	"90"	"A"	"529"	"11"	"1"	"56"	"8"	"92"	"0"	"0"	"6"	"0"	"2"	"1"	"9"	"6"	"181"
"118"	"91"	""	"1215"	"11"	"13"	"207"	"13"	"113"	"2"	"1"	"5"	"0"	"4"	"8"	"14"	"15"	"395"
"119"	"92"	""	"1170"	"11"	"9"	"290"	"21"	"186"	"6"	"3"	"9"	"4"	"7"	"9"	"31"	"30"	"605"
"120"	"93"	""	"1378"	"11"	"19"	"228"	"23"	"213"	"10"	"10"	"16"	"8"	"13"	"8"	"23"	"24"	"595"
"121"	"94"	""	"782"	"11"	"7"	"132"	"13"	"165"	"13"	"3"	"8"	"5"	"15"	"7"	"12"	"15"	"395"
"122"	"95"	""	"999"	"12"	"17"	"118"	"12"	"166"	"13"	"7"	"22"	""	"18"	"12"	"33"	"37"	"455"
"123"	"96"	""	"1005"	"12"	"12"	"146"	"18"	"270"	"10"	"6"	"12"	"1"	"13"	"8"	"36"	"27"	"559"
"124"	"97"	"A"	"530"	"12"	"8"	"67"	"5"	"150"	"6"	"8"	"13"	"2"	"8"	"7"	"19"	"12"	"305"
"125"	"97"	""	"954"	"12"	"25"	"122"	"16"	"211"	"9"	"8"	"8"	"3"	"9"	"5"	"17"	"22"	"455"
"126"	"98"	""	"1078"	"12"	"5"	"155"	"33"	"294"	"7"	"4"	"12"	"4"	"8"	"5"	"17"	"29"	"573"
"127"	"99"	""	"465"	"12"	"3"	"33"	"5"	"179"	"6"	"1"	"1"	"3"	"6"	"1"	"18"	"7"	"263"
"128"	"100"	""	"1383"	"12"	"19"	"402"	"28"	"223"	"9"	"5"	"6"	"2"	"5"	"6"	"12"	"20"	"737"
"129"	"101"	""	"1320"	"12"	"16"	"234"	"32"	"344"	"9"	"5"	"18"	"3"	"10"	"7"	"24"	"20"	"722"
"130"	"102"	""	"1096"	"12"	"12"	"105"	"11"	"367"	"10"	"9"	"14"	"5"	"11"	"6"	"26"	"22"	"598"
"131"	"103"	""	"1197"	"12"	"24"	"290"	"16"	"233"	"5"	"3"	"12"	"2"	"8"	"3"	"24"	"9"	"629"
"132"	"104"	""	"1182"	"13"	"36"	"226"	"31"	"249"	"8"	"3"	"10"	"4"	"6"	"5"	"23"	"7"	"608"
"133"	"105"	""	"1067"	"13"	"16"	"161"	"15"	"216"	"4"	"5"	"15"	"2"	"11"	"6"	"40"	"19"	"510"
"134"	"106"	""	"826"	"13"	"2"	"57"	"4"	"339"	"7"	"5"	"5"	"3"	"8"	"10"	"29"	"10"	"479"
"135"	"107"	""	"916"	"13"	"18"	"184"	"22"	"116"	"11"	"7"	"12"	"6"	"19"	"12"	"13"	"66"	"486"
"136"	"107"	"A"	"593"	"13"	"13"	"183"	"11"	"78"	"2"	"1"	"2"	"0"	"6"	"3"	"17"	"17"	"333"
"137"	"108"	""	"570"	"13"	"10"	"214"	"14"	"85"	"2"	"2"	"3"	"3"	"7"	"1"	"11"	"10"	"362"
"138"	"109"	""	"1358"	"13"	"24"	"267"	"17"	"280"	"8"	"20"	"24"	"10"	"10"	"8"	"35"	"36"	"739"
"139"	"110"	""	"830"	"13"	"10"	"174"	"14"	"251"	"5"	"4"	"11"	"0"	"6"	"4"	"15"	"21"	"515"
"140"	"111"	""	"997"	"13"	"12"	"68"	"13"	"320"	"7"	"6"	"12"	"5"	"9"	"4"	"17"	"5"	"478"
"141"	"112"	""	"1248"	"13"	"13"	"127"	"14"	"306"	"6"	"8"	"33"	"11"	"18"	"9"	"36"	"26"	"607"
"142"	"113"	""	"1252"	"14"	"6"	"84"	"8"	"557"	"3"	"9"	"20"	"5"	"13"	"5"	"40"	"22"	"772"
"143"	"114"	""	"870"	"14"	"9"	"49"	"11"	"349"	"7"	"12"	"21"	"9"	"14"	"10"	"29"	"24"	"544"
"144"	"115"	""	"1301"	"14"	"4"	"131"	"10"	"315"	"6"	"10"	"20"	"27"	"6"	"13"	"36"	"31"	"609"
"145"	"116"	""	"971"	"14"	"2"	"142"	"10"	"322"	"4"	"12"	"16"	"2"	"12"	"3"	"25"	"16"	"566"
"146"	"116"	"A"	"552"	"14"	"1"	"33"	"4"	"162"	"2"	"1"	"7"	"1"	"5"	"3"	"10"	"2"	"231"
"147"	"117"	""	"1303"	"14"	"5"	"137"	"9"	"425"	"3"	"15"	"15"	"5"	"26"	"9"	"29"	"16"	"694"
"148"	"118"	""	"1087"	"14"	"5"	"127"	"16"	"323"	"7"	"4"	"4"	"5"	"3"	"5"	"21"	"9"	"529"
"149"	"119"	"A"	"575"	"14"	"13"	"92"	"10"	"157"	"4"	"2"	"4"	"3"	"2"	"3"	"10"	"12"	"312"
"150"	"119"	""	"992"	"14"	"14"	"126"	"11"	"374"	"11"	"7"	"10"	"2"	"7"	"4"	"16"	"5"	"587"
"151"	"120"	""	"1066"	"14"	"8"	"149"	"15"	"354"	"11"	"11"	"5"	"6"	"11"	"3"	"21"	"16"	"610"
"152"	"120"	"A"	"572"	"15"	"6"	"58"	"5"	"179"	"2"	"4"	"3"	"0"	"3"	"3"	"7"	"6"	"276"
"153"	"121"	""	"1089"	"15"	"10"	"86"	"13"	"393"	"9"	"3"	"16"	"10"	"14"	"10"	"30"	"20"	"614"
"154"	"122"	""	"1030"	"15"	"16"	"131"	"20"	"301"	"11"	"5"	"22"	"2"	"8"	"6"	"12"	"7"	"541"
"155"	"123"	""	"922"	"15"	"15"	"94"	"11"	"351"	"9"	"11"	"9"	"6"	"10"	"5"	"22"	"10"	"553"
"156"	"124"	""	"944"	"15"	"11"	"73"	"19"	"304"	"1"	"0"	"14"	"3"	"11"	"3"	"15"	"12"	"466"
"157"	"125"	""	"959"	"15"	"18"	"115"	"21"	"327"	"8"	"9"	"8"	"3"	"13"	"7"	"17"	"18"	"564"
"158"	"126"	""	"954"	"15"	"8"	"104"	"9"	"264"	"8"	"4"	"14"	"3"	"17"	"9"	"23"	"41"	"504"
"159"	"127"	""	"898"	"15"	"2"	"33"	"2"	"274"	"3"	"4"	"2"	"1"	"8"	"2"	"15"	"5"	"351"
"160"	"128"	""	"959"	"15"	"14"	"110"	"12"	"334"	"13"	"7"	"12"	"5"	"16"	"16"	"26"	"19"	"584"
"161"	"129"	""	"891"	"15"	"17"	"181"	"26"	"231"	"5"	"12"	"12"	"2"	"9"	"1"	"10"	"6"	"512"
"162"	"130"	""	"818"	"16"	"15"	"138"	"15"	"235"	"7"	"1"	"13"	"4"	"9"	"6"	"33"	"12"	"488"
"163"	"131"	""	"1005"	"16"	"24"	"224"	"14"	"169"	"2"	"3"	"10"	"3"	"11"	"5"	"26"	"29"	"520"
"164"	"131"	"A"	"582"	"16"	"9"	"35"	"4"	"254"	"4"	"6"	"14"	"2"	"12"	"7"	"28"	"6"	"381"
"165"	"132"	"A"	"570"	"16"	"9"	"57"	"12"	"117"	"7"	"6"	"7"	"0"	"6"	"2"	"12"	"16"	"251"
"166"	"132"	""	"979"	"16"	"19"	"100"	"12"	"222"	"10"	"5"	"26"	"4"	"12"	"12"	"21"	"50"	"493"
"167"	"133"	""	"759"	"16"	"6"	"94"	"11"	"247"	"3 of 56"	"3"	"14"	"4"	"4"	"4"	"13"	"12"	"418"
"168"	""	""	""	""	""	"016F-MorAmD2H0UBAN"	""	""	""	""	""	""	""	""	""	""	""
"169"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"Booth No."	"Ext"	"Voters"	"Round"	"RAJA RAM SINGH"	"RANA RANDHIR"	"LALAM PD. YADAV"	"SHIV JEE RAI"	"SITA RAM PD. YADAV"	"AMRESH KUMAR"	"UPENDRA SINGH"	"MD. FIROJ   ALAM"	"MANOJ KUMAR"	"MAHABIR RAM"	"MAHENDRA PRASAD"	"MUKESH KUMAR"	"Total"
"171"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"172"	"134"	""	"1047"	"16"	"19"	"172"	"31"	"216"	"5"	"6"	"7"	"7"	"6"	"6"	"20"	"22"	"517"
"173"	"135"	""	"1109"	"16"	"25"	"217"	"31"	"241"	"6"	"3"	"8"	"2"	"11"	"9"	"31"	"30"	"614"
"174"	"136"	""	"864"	"16"	"21"	"121"	"18"	"222"	"4"	"2"	"12"	"1"	"5"	"4"	"16"	"5"	"431"
"175"	"137"	""	"1011"	"16"	"21"	"161"	"20"	"188"	"5"	"5"	"9"	"7"	"4"	"0"	"14"	"13"	"447"
"176"	"138"	""	"1178"	"17"	"24"	"126"	"30"	"295"	"12"	"12"	"31"	"4"	"5"	"7"	"25"	"13"	"584"
"177"	"139"	""	"976"	"17"	"14"	"108"	"18"	"228"	"13"	"12"	"22"	"6"	"31"	"10"	"35"	"36"	"533"
"178"	"140"	""	"1100"	"17"	"19"	"133"	"11"	"287"	"7"	"5"	"10"	"13"	"10"	"10"	"45"	"24"	"574"
"179"	"141"	""	"1020"	"17"	"26"	"219"	"19"	"127"	"7"	"2"	"8"	"2"	"4"	"3"	"17"	"17"	"451"
"180"	"142"	""	"548"	"17"	"10"	"143"	"24"	"87"	"3"	"2"	"8"	"4"	"13"	"1"	"12"	"10"	"317"
"181"	"143"	""	"940"	"17"	"8"	"232"	"11"	"125"	"4"	"2"	"6"	"0"	"11"	"1"	"6"	"12"	"418"
"182"	"143"	"A"	"461"	"17"	"7"	"58"	"8"	"56"	"2"	"1"	"7"	"1"	"3"	"7"	"4"	"8"	"162"
"183"	"144"	""	"1360"	"17"	"30"	"252"	"39"	"158"	"11"	"9"	"18"	"12"	"10"	"6"	"18"	"18"	"581"
"184"	"145"	""	"1295"	"17"	"47"	"254"	"34"	"180"	"11"	"6"	"11"	"10"	"14"	"10"	"29"	"53"	"659"
"185"	"146"	""	"1049"	"17"	"12"	"178"	"11"	"212"	"7"	"3"	"7"	"2"	"10"	"7"	"24"	"33"	"506"
"186"	"147"	""	"841"	"18"	"15"	"23"	"8"	"214"	"8"	"5"	"14"	"7"	"17"	"10"	"29"	"20"	"370"
"187"	"148"	""	"937"	"18"	"25"	"186"	"17"	"142"	"4"	"2"	"9"	"5"	"3"	"6"	"19"	"15"	"433"
"188"	"149"	""	"1375"	"18"	"17"	"65"	"18"	"331"	"18"	"10"	"35"	"5"	"18"	"11"	"36"	"24"	"588"
"189"	"150"	""	"855"	"18"	"20"	"116"	"18"	"168"	"9"	"8"	"13"	"6"	"11"	"6"	"14"	"24"	"413"
