"X..FORM.20...FINAL.RESULT.SHEET...See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.187.MASAURHI.ASSEMBLY.CONSTITUNECY.ROUND...1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment....................................................................230522"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"
"1"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial no. of polling station"	""	""	""	""	""	""	""	""	""	""	"i"	""	""	"r"	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""
"4"	"-1"	"104"	""	"6"	""	"129"	""	""	"18"	""	""	"44"	""	""	"6"	""	""	""	"14"	""	""	"5"	""	""	"7"	""	""	"333"	""	""	""	""	""	""	""	"333"	""	""	""	""	""	""	""	""	""	""	""
"5"	"-2"	"102"	""	"5"	""	"5"	""	""	"8"	""	""	"152"	""	""	"7"	""	""	""	"9"	""	""	"1"	""	""	"13"	""	""	"302"	""	""	""	""	""	""	""	"302"	""	""	""	""	""	""	""	""	""	""	""
"6"	"-3"	"119"	""	"1"	""	"2"	""	""	"3"	""	""	"71"	""	""	"1"	""	""	""	"3"	""	""	"1"	""	""	"2"	""	""	"203"	""	""	""	""	""	""	""	"203"	""	""	""	""	""	""	""	""	""	""	""
"7"	"-4"	"49"	""	"8"	""	"85"	""	""	"9"	""	""	"196"	""	""	"7"	""	""	""	"7"	""	""	"1"	""	""	"8"	""	""	"370"	""	""	""	""	""	""	""	"370"	""	""	""	""	""	""	""	""	""	""	""
"8"	"-5"	"464"	""	"8"	""	"41"	""	""	"5"	""	""	"26"	""	""	"4"	""	""	""	"1"	""	""	"0"	""	""	"2"	""	""	"551"	""	""	""	""	""	""	""	"551"	""	""	""	""	""	""	""	""	""	""	""
"9"	"-6"	"88"	""	"6"	""	"57"	""	""	"19"	""	""	"125"	""	""	"7"	""	""	""	"8"	""	""	"4"	""	""	"2"	""	""	"316"	""	""	""	""	""	""	""	"316"	""	""	""	""	""	""	""	""	""	""	""
"10"	"-7"	"152"	""	"1"	""	"107"	""	""	"8"	""	""	"143"	""	""	"1"	""	""	""	"2"	""	""	"0"	""	""	"5"	""	""	"419"	""	""	""	""	""	""	""	"419"	""	""	""	""	""	""	""	""	""	""	""
"11"	"-8"	"98"	""	"5"	""	"99"	""	""	"6"	""	""	"53"	""	""	"1"	""	""	""	"9"	""	""	"3"	""	""	"11"	""	""	"285"	""	""	""	""	""	""	""	"285"	""	""	""	""	""	""	""	""	""	""	""
"12"	"-9"	"135"	""	"18"	""	"22"	""	""	"20"	""	""	"41"	""	""	"5"	""	""	""	"15"	""	""	"4"	""	""	"7"	""	""	"267"	""	""	""	""	""	""	""	"267"	""	""	""	""	""	""	""	""	""	""	""
"13"	"-10"	"108"	""	"32"	""	"9"	""	""	"11"	""	""	"23"	""	""	"2"	""	""	""	"3"	""	""	"1"	""	""	"11"	""	""	"200"	""	""	""	""	""	""	""	"200"	""	""	""	""	""	""	""	""	""	""	""
