"X..vf.klwfpr.ernku.dsUnzksa.ls.fHkUu.ernku.dsUnzksa.ij.ernku.dk.ifj.kke....................1....izk.i.20.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"vfHkfyf[kr djus ds fy, mi;ksx essa yk;k tk, ½                                       [  fu;e 56 ¼7½ nsf[k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"142 & dfVgkj fuokZpu {ks= ls fo/kku lHkk ds fy, fuokZpu              vfUre ifj.kkei="	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"lHkk [kaM dk uke ¼lalnh;½ fuokZpu dh lHkk esa -----------                                                  Hkkx 1                    lHkk fuokZpu&{ks= [kaM esa fuokZpdks dh dqy la0 & 234237"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"¼ lalnh; vkSj fo/kku lHkk nksuksa fuokZpuksa ds fy, mi;ksx esa yk;k tk, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"6"	""	"rkj fd'kksj izlkn"	"QSt vkye"	"MkW0 jke izdk'k egrks"	"lat; csljk"	"larks\"k dq0 ;kno"	"izse dqekj"	"lejsUnz dq.kky"	"eukst ijk'kj"	"jkt dqekj pkS/kjh"	"lTtu dqekj 'kekZ"	""	""	""	""
"7"	"1"	"60"	"14"	"374"	"7"	"2"	"5"	"5"	"1"	"7"	"6"	"481"	"0"	"481"	"0"
"8"	"2"	"224"	"9"	"76"	"2"	"0"	"0"	"2"	"2"	"2"	"8"	"325"	"0"	"325"	"0"
"9"	"3"	"208"	"66"	"159"	"3"	"2"	"1"	"7"	"6"	"1"	"4"	"457"	"0"	"457"	"0"
"10"	"4"	"355"	"55"	"115"	"8"	"3"	"9"	"12"	"6"	"5"	"11"	"579"	"0"	"579"	"0"
