"X.vf.klwfpr.ernku.dsUnzksa.ls.fHkUu.ernku.dsUnzksa.ij.ernku.dk.ifj.kke.vfHkfyf.kr.djus.ds.fy..mi.ksx.esa.yk.k.tk.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"153&Lkqyrkuxat ¼v0  tk0½ fuokZpu {ks= esa"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"¼lalnh; vkSj fo/kku lHkk nksuksa fuokZpuksa ds fy, mi;ksx esa yk;k tk,½"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k---------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"fo/kku lHkk [kaM dk uke ¼lalnh; fuokZpu {ks= esa fuokZpu dh n’kk esa½--------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ernku
dsUnz dh Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k
;ksx"	"fufonu
erksa dh la[;k"
"8"	""	"Xks.k'k
Ikkloku"	"fot;
dqekj Ikkloku"	"a';ke
fd'kksj gfjtu"	"Lkq/kka'kq
'ks[kj HkkLdj"	"vkse
Ikzdk'k Ikkloku"	"vfuy
nkl"	"nsosUnz
nkl"	";ksxsUnz
Ikkloku"	"Lkat;
dqekj"	""	""	""
"9"	"1"	"46"	"13"	"5"	"270"	"9"	"15"	"1"	"3"	"5"	""	""	""
"10"	"1d"	"44"	"6"	"3"	"188"	"6"	"5"	"0"	"0"	"0"	""	""	""
"11"	"2"	"209"	"12"	"3"	"281"	"11"	"16"	"2"	"1"	"9"	""	""	""
"12"	"3"	"250"	"10"	"3"	"227"	"27"	"10"	"2"	"2"	"15"	""	""	""
"13"	"4"	"17"	"6"	"6"	"388"	"10"	"13"	"1"	"2"	"16"	""	""	""
"14"	"5"	"58"	"14"	"9"	"343"	"4"	"19"	"6"	"6"	"7"	""	""	""
"15"	"6"	"68"	"15"	"12"	"206"	"13"	"26"	"6"	"5"	"12"	""	""	""
"16"	"6d"	"134"	"15"	"3"	"51"	"2"	"4"	"0"	"0"	"1"	""	""	""
"17"	"7"	"185"	"76"	"5"	"172"	"12"	"25"	"3"	"0"	"10"	""	""	""
"18"	"8"	"181"	"21"	"0"	"27"	"6"	"2"	"1"	"1"	"2"	""	""	""
"19"	"8d"	"91"	"13"	"0"	"56"	"1"	"0"	"2"	"2"	"4"	""	""	""
"20"	"9"	"177"	"21"	"5"	"45"	"9"	"9"	"3"	"6"	"14"	""	""	""
"21"	"9d"	"119"	"10"	"3"	"10"	"2"	"1"	"3"	"0"	"3"	""	""	""
"22"	"10"	"110"	"17"	"0"	"347"	"6"	"11"	"0"	"1"	"4"	""	""	""
"23"	"11"	"42"	"5"	"3"	"240"	"12"	"6"	"1"	"0"	"3"	""	""	""
