"Serial..No.of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.of.Vaild.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"Mohammad Zainul Abedin"	"Lal Babu Rai"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Nagendra Kumar"	"Ajay Kumar"	"Bindeswar Ram"	"Lal Babu Sah"	"Lal Babu Singh"	"Sanjay Kumar"	""	""	""	""
"2"	"1"	"6"	"11"	"222"	"250"	"9"	"5"	"14"	"8"	"4"	"5"	"534"	"-"	"534"	"-"
"3"	"2"	"10"	"113"	"136"	"259"	"4"	"13"	"23"	"12"	"9"	"3"	"582"	"-"	"582"	"-"
"4"	"3"	"8"	"45"	"157"	"201"	"7"	"8"	"15"	"10"	"8"	"11"	"470"	"-"	"470"	"-"
"5"	"4"	"10"	"42"	"134"	"292"	"7"	"9"	"16"	"12"	"3"	"9"	"534"	"-"	"534"	"-"
"6"	"5"	"11"	"15"	"252"	"301"	"7"	"5"	"12"	"11"	"15"	"15"	"644"	"-"	"644"	"-"
"7"	"6"	"10"	"45"	"396"	"219"	"9"	"12"	"29"	"9"	"15"	"12"	"756"	"-"	"756"	"-"
"8"	"7"	"20"	"32"	"118"	"344"	"10"	"10"	"36"	"28"	"19"	"36"	"653"	"-"	"653"	"-"
"9"	"8"	"16"	"27"	"284"	"197"	"9"	"3"	"18"	"13"	"5"	"6"	"578"	"-"	"578"	"-"
"10"	"9"	"10"	"12"	"109"	"297"	"9"	"7"	"19"	"9"	"7"	"8"	"487"	"-"	"487"	"-"
"11"	"10"	"5"	"8"	"115"	"162"	"3"	"5"	"11"	"3"	"6"	"4"	"322"	"-"	"322"	"-"
"12"	"11"	"8"	"19"	"62"	"22"	"2"	"4"	"9"	"3"	"2"	"3"	"134"	"-"	"134"	"-"
"13"	"12"	"16"	"44"	"251"	"179"	"8"	"8"	"16"	"10"	"10"	"3"	"545"	"-"	"545"	"-"
"14"	"13"	"11"	"14"	"212"	"97"	"3"	"4"	"13"	"8"	"5"	"12"	"379"	"-"	"379"	"-"
"15"	"14"	"10"	"10"	"164"	"261"	"11"	"13"	"32"	"19"	"11"	"30"	"561"	"-"	"561"	"-"
"16"	"15"	"12"	"9"	"119"	"221"	"7"	"7"	"31"	"26"	"24"	"38"	"494"	"-"	"494"	"-"
"17"	"16"	"12"	"19"	"264"	"102"	"4"	"10"	"6"	"11"	"8"	"10"	"446"	"-"	"446"	"-"
"18"	"17"	"101"	"162"	"76"	"52"	"8"	"18"	"10"	"14"	"15"	"28"	"484"	"-"	"484"	"-"
"19"	"18"	"11"	"76"	"284"	"56"	"4"	"0"	"3"	"4"	"7"	"3"	"448"	"-"	"448"	"-"
"20"	"19"	"15"	"8"	"99"	"359"	"19"	"9"	"50"	"18"	"5"	"14"	"596"	"-"	"596"	"-"
"21"	"20"	"0"	"4"	"64"	"80"	"3"	"0"	"12"	"3"	"4"	"3"	"173"	"-"	"173"	"-"
"22"	"21"	"9"	"134"	"50"	"43"	"5"	"8"	"5"	"6"	"7"	"17"	"284"	"-"	"284"	"-"
"23"	"22"	"3"	"0"	"39"	"281"	"5"	"4"	"9"	"5"	"0"	"5"	"351"	"-"	"351"	"-"
"24"	"23"	"0"	"10"	"158"	"248"	"3"	"1"	"10"	"4"	"3"	"8"	"445"	"-"	"445"	"-"
"25"	"24"	"7"	"11"	"227"	"157"	"12"	"6"	"8"	"13"	"6"	"5"	"452"	"-"	"452"	"-"
"26"	"25"	"9"	"40"	"73"	"118"	"4"	"7"	"10"	"26"	"11"	"11"	"309"	"-"	"309"	"-"
"27"	"26"	"2"	"21"	"109"	"141"	"2"	"2"	"7"	"18"	"5"	"4"	"311"	"-"	"311"	"-"
"28"	"27"	"17"	"34"	"269"	"78"	"3"	"2"	"8"	"13"	"18"	"8"	"450"	"-"	"450"	"-"
"29"	"28"	"15"	"9"	"70"	"129"	"9"	"12"	"37"	"26"	"14"	"29"	"350"	"-"	"350"	"-"
"30"	"28A"	"31"	"24"	"162"	"128"	"5"	"9"	"12"	"25"	"5"	"9"	"410"	"-"	"410"	"-"
"31"	"29"	"7"	"41"	"189"	"282"	"19"	"10"	"37"	"28"	"15"	"52"	"680"	"-"	"680"	"-"
"32"	"30"	"5"	"55"	"219"	"181"	"5"	"5"	"5"	"4"	"6"	"4"	"489"	"-"	"489"	"-"
"33"	"31"	"8"	"21"	"251"	"142"	"3"	"2"	"7"	"11"	"16"	"18"	"479"	"-"	"479"	"-"
"34"	"32"	"9"	"13"	"88"	"321"	"11"	"9"	"14"	"21"	"14"	"19"	"519"	"-"	"519"	"-"
"35"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"36"	""	"Mohammad Zainul Abedin"	"Lal Babu Rai"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Nagendra Kumar"	"Ajay Kumar"	"Bindeswar Ram"	"Lal Babu Sah"	"Lal Babu Singh"	"Sanjay Kumar"	""	""	""	""
"37"	"33"	"28"	"159"	"86"	"162"	"11"	"17"	"31"	"31"	"21"	"38"	"584"	"-"	"584"	"-"
"38"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"39"	""	"Mohammad Zainul Abedin"	"Lal Babu Rai"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Nagendra Kumar"	"Ajay Kumar"	"Bindeswar Ram"	"Lal Babu Sah"	"Lal Babu Singh"	"Sanjay Kumar"	""	""	""	""
"40"	"34"	"18"	"17"	"74"	"254"	"13"	"6"	"20"	"27"	"6"	"6"	"441"	"-"	"441"	"-"
"41"	"35"	"14"	"93"	"42"	"291"	"6"	"5"	"19"	"13"	"6"	"11"	"500"	"-"	"500"	"-"
"42"	"36"	"41"	"40"	"86"	"188"	"12"	"13"	"13"	"30"	"8"	"28"	"459"	"-"	"459"	"-"
"43"	"37"	"15"	"42"	"96"	"240"	"8"	"6"	"16"	"21"	"10"	"22"	"476"	"-"	"476"	"-"
"44"	"38"	"9"	"24"	"109"	"233"	"18"	"6"	"14"	"29"	"8"	"47"	"497"	"-"	"497"	"-"
"45"	"39"	"20"	"156"	"49"	"90"	"9"	"11"	"9"	"9"	"9"	"4"	"366"	"-"	"366"	"-"
"46"	"40"	"27"	"163"	"155"	"177"	"6"	"11"	"14"	"14"	"16"	"12"	"595"	"-"	"595"	"-"
"47"	"41"	"25"	"31"	"172"	"327"	"1"	"12"	"18"	"28"	"15"	"20"	"649"	"-"	"649"	"-"
"48"	"42"	"11"	"57"	"178"	"199"	"12"	"6"	"18"	"6"	"5"	"5"	"497"	"-"	"497"	"-"
"49"	"43"	"15"	"33"	"52"	"235"	"11"	"6"	"25"	"14"	"5"	"9"	"405"	"-"	"405"	"-"
"50"	"44"	"24"	"248"	"135"	"44"	"15"	"25"	"10"	"14"	"18"	"31"	"564"	"-"	"564"	"-"
"51"	"45"	"10"	"67"	"134"	"164"	"2"	"5"	"17"	"12"	"19"	"17"	"447"	"-"	"447"	"-"
"52"	"46"	"6"	"170"	"114"	"65"	"6"	"8"	"8"	"9"	"3"	"5"	"394"	"-"	"394"	"-"
"53"	"47"	"6"	"40"	"102"	"324"	"4"	"5"	"24"	"9"	"3"	"10"	"527"	"-"	"527"	"-"
"54"	"48"	"8"	"107"	"57"	"229"	"4"	"4"	"9"	"2"	"3"	"11"	"434"	"-"	"434"	"-"
"55"	"49"	"9"	"99"	"45"	"508"	"1"	"3"	"6"	"5"	"3"	"1"	"680"	"-"	"680"	"-"
"56"	"50"	"6"	"132"	"37"	"262"	"7"	"11"	"25"	"8"	"8"	"6"	"502"	"-"	"502"	"-"
"57"	"51"	"10"	"120"	"85"	"130"	"4"	"5"	"6"	"3"	"7"	"5"	"375"	"-"	"375"	"-"
"58"	"52"	"13"	"50"	"166"	"118"	"7"	"8"	"22"	"21"	"18"	"37"	"460"	"-"	"460"	"-"
"59"	"53"	"3"	"120"	"65"	"195"	"12"	"16"	"9"	"13"	"10"	"21"	"464"	"-"	"464"	"-"
"60"	"54"	"13"	"197"	"77"	"160"	"12"	"19"	"16"	"11"	"10"	"26"	"541"	"-"	"541"	"-"
"61"	"55"	"8"	"127"	"32"	"159"	"8"	"5"	"10"	"11"	"11"	"13"	"384"	"-"	"384"	"-"
"62"	"56"	"5"	"66"	"55"	"155"	"7"	"5"	"7"	"4"	"10"	"13"	"327"	"-"	"327"	"-"
"63"	"57"	"94"	"143"	"86"	"75"	"4"	"11"	"9"	"8"	"13"	"21"	"464"	"-"	"464"	"-"
"64"	"58"	"17"	"127"	"233"	"102"	"6"	"8"	"13"	"24"	"10"	"29"	"569"	"-"	"569"	"-"
"65"	"59"	"3"	"160"	"16"	"170"	"4"	"9"	"9"	"12"	"18"	"25"	"426"	"-"	"426"	"-"
"66"	"60"	"24"	"134"	"17"	"87"	"7"	"7"	"8"	"7"	"8"	"19"	"318"	"-"	"318"	"-"
"67"	"61"	"19"	"325"	"47"	"43"	"18"	"35"	"15"	"10"	"31"	"14"	"557"	"-"	"557"	"-"
"68"	"62"	"21"	"280"	"35"	"28"	"10"	"15"	"7"	"4"	"6"	"4"	"410"	"-"	"410"	"-"
"69"	"63"	"25"	"88"	"361"	"68"	"10"	"5"	"7"	"4"	"14"	"8"	"590"	"-"	"590"	"-"
"70"	"64"	"13"	"364"	"49"	"31"	"13"	"20"	"12"	"15"	"16"	"18"	"551"	"-"	"551"	"-"
"71"	"64A"	"6"	"112"	"18"	"15"	"1"	"3"	"3"	"1"	"5"	"7"	"171"	"-"	"171"	"-"
"72"	"65"	"8"	"179"	"8"	"44"	"2"	"2"	"2"	"2"	"2"	"6"	"255"	"-"	"255"	"-"
"73"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"74"	""	"Mohammad Zainul Abedin"	"Lal Babu Rai"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Nagendra Kumar"	"Ajay Kumar"	"Bindeswar Ram"	"Lal Babu Sah"	"Lal Babu Singh"	"Sanjay Kumar"	""	""	""	""
"75"	"66"	"8"	"31"	"25"	"235"	"8"	"5"	"21"	"5"	"4"	"19"	"361"	"-"	"361"	"-"
"76"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"77"	""	"Mohammad Zainul Abedin"	"Lal Babu Rai"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Nagendra Kumar"	"Ajay Kumar"	"Bindeswar Ram"	"Lal Babu Sah"	"Lal Babu Singh"	"Sanjay Kumar"	""	""	""	""
"78"	"67"	"3"	"1"	"11"	"51"	"0"	"2"	"3"	"5"	"1"	"3"	"80"	"-"	"80"	"-"
"79"	"68"	"4"	"13"	"60"	"492"	"7"	"5"	"17"	"4"	"6"	"13"	"621"	"-"	"621"	"-"
"80"	"69"	"18"	"6"	"35"	"281"	"11"	"2"	"18"	"7"	"17"	"16"	"411"	"-"	"411"	"-"
"81"	"70"	"6"	"7"	"71"	"52"	"3"	"5"	"9"	"7"	"3"	"16"	"179"	"-"	"179"	"-"
"82"	"71"	"17"	"27"	"139"	"114"	"5"	"4"	"10"	"7"	"12"	"12"	"347"	"-"	"347"	"-"
"83"	"72"	"18"	"7"	"62"	"226"	"5"	"5"	"15"	"14"	"11"	"5"	"368"	"-"	"368"	"-"
"84"	"72A"	"32"	"21"	"153"	"99"	"1"	"6"	"11"	"10"	"8"	"9"	"350"	"-"	"350"	"-"
"85"	"73"	"51"	"18"	"69"	"96"	"1"	"6"	"8"	"5"	"2"	"5"	"261"	"-"	"261"	"-"
