"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"CHAPTER  XIV PARA 26.9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[ SEE RULE 56 C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO BIHAR ASSEMBLY ELECTION FROM THE 176-BIHAR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"[To be used for Assembly Election]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total no. of Elector in Assembly Constituency/Segment :-  2,72,463"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of Assembly Segment :- 176 - BIHAR Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of election fro, an Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"11"	""	"Masudan Sharma"	"Wasim Hasan"	"Saryug Prasad Sahasth"	"Dr. Sunil Kumar"	"Syed Naushadun Navi"	"Gholam Rabbani"	"Nayab Ali"	"Mohan Sao"	"Subhash Kumar"	"Hira Lal Sao"	""	""	""	""
"12"	"1"	"16"	"3"	"6"	"299"	"53"	"6"	"6"	"1"	"1"	"5"	"396"	"0"	"396"	"0"
"13"	"2"	"1"	"0"	"1"	"242"	"3"	"4"	"1"	"0"	"0"	"3"	"255"	"0"	"255"	"0"
"14"	"3"	"11"	"1"	"0"	"592"	"49"	"13"	"4"	"3"	"4"	"12"	"689"	"0"	"689"	"0"
