"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"Final  Result Sheet [See Rule 56c(2)c]"	""	""	""	""	""	""	""	""	""	""	""
"2"	"Total No Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""
"3"	"Name of the Assembly Constituency                                                                          180-HILSA"	""	""	""	""	""	""	""	""	""	""	""
"4"	"Booth No"	"ARUN YADAV"	"DEO NATH SHRIRANJAN"	"RAJESH KUMAR SINGH ALIAS RAJU YADAV"	"RAMCHARITRA PRASAD SINGH"	"VEENA DEVI"	"KUMAR RAJ MANORANJ AN SINGH"	"DWARIKA SINGH"	"NO OF REJECTED VOTES"	"TOTAL VALID VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"10"	"11"	"12"	"13"
"6"	"1"	"26"	"31"	"82"	"79"	"15"	"5"	"6"	"0"	"244"	"244"	"0"
"7"	"2"	"36"	"21"	"121"	"63"	"7"	"2"	"7"	"0"	"257"	"257"	"0"
"8"	"3"	"257"	"10"	"74"	"246"	"13"	"4"	"20"	"0"	"624"	"624"	"0"
"9"	"4"	"21"	"5"	"61"	"77"	"27"	"2"	"5"	"0"	"198"	"198"	"0"
"10"	"5"	"32"	"4"	"142"	"166"	"14"	"3"	"20"	"0"	"381"	"381"	"0"
"11"	"6"	"11"	"0"	"54"	"137"	"3"	"0"	"4"	"0"	"209"	"209"	"0"
"12"	"7"	"104"	"5"	"145"	"121"	"6"	"1"	"4"	"0"	"386"	"386"	"0"
"13"	"8"	"77"	"4"	"31"	"129"	"8"	"1"	"9"	"0"	"259"	"259"	"0"
"14"	"9"	"41"	"2"	"251"	"32"	"8"	"1"	"9"	"0"	"344"	"344"	"0"
"15"	"10"	"24"	"14"	"83"	"81"	"7"	"3"	"9"	"0"	"221"	"221"	"0"
"16"	"11"	"105"	"6"	"56"	"150"	"8"	"7"	"18"	"0"	"350"	"350"	"0"
"17"	"11A"	"11"	"6"	"53"	"147"	"10"	"3"	"4"	"0"	"234"	"234"	"0"
"18"	"12"	"33"	"8"	"374"	"115"	"21"	"5"	"18"	"0"	"574"	"574"	"0"
"19"	"13"	"4"	"3"	"305"	"159"	"49"	"1"	"4"	"0"	"525"	"525"	"0"
"20"	"14"	"136"	"8"	"29"	"270"	"15"	"1"	"12"	"0"	"471"	"471"	"0"
"21"	"15"	"21"	"10"	"167"	"117"	"24"	"4"	"11"	"0"	"354"	"354"	"0"
"22"	"16"	"62"	"10"	"60"	"60"	"8"	"1"	"10"	"0"	"211"	"211"	"0"
"23"	"17"	"15"	"4"	"69"	"84"	"5"	"1"	"22"	"0"	"200"	"200"	"0"
"24"	"18"	"11"	"6"	"175"	"82"	"20"	"5"	"19"	"0"	"318"	"318"	"0"
"25"	"19"	"5"	"1"	"46"	"179"	"8"	"1"	"1"	"0"	"241"	"241"	"0"
"26"	"20"	"6"	"32"	"234"	"106"	"17"	"4"	"2"	"0"	"401"	"401"	"0"
"27"	"21"	"31"	"23"	"94"	"318"	"14"	"4"	"8"	"0"	"492"	"492"	"0"
"28"	"22"	"51"	"8"	"42"	"213"	"13"	"8"	"69"	"0"	"404"	"404"	"0"
"29"	"23"	"125"	"6"	"78"	"268"	"10"	"7"	"14"	"0"	"508"	"508"	"0"
"30"	"Booth No"	"ARUN YADAV"	"DEO NATH SHRIRANJAN"	"RAJESH KUMAR SINGH ALIAS RAJU YADAV"	"RAMCHARITRA PRASAD SINGH"	"VEENA DEVI"	"KUMAR RAJ MANORANJ AN SINGH"	"DWARIKA SINGH"	"NO OF REJECTED VOTES"	"TOTAL VALID VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"31"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"10"	"11"	"12"	"13"
"32"	"24"	"23"	"7"	"95"	"176"	"25"	"7"	"6"	"0"	"339"	"339"	"0"
"33"	"25"	"112"	"11"	"17"	"88"	"4"	"3"	"8"	"0"	"243"	"243"	"0"
"34"	"26"	"9"	"6"	"83"	"212"	"10"	"7"	"11"	"0"	"338"	"338"	"0"
"35"	"27"	"58"	"9"	"163"	"139"	"11"	"2"	"18"	"0"	"400"	"400"	"0"
"36"	"28"	"27"	"16"	"151"	"86"	"22"	"4"	"11"	""	"317"	"317"	"0"
"37"	"29"	"17"	"3"	"170"	"177"	"24"	"8"	"6"	""	"405"	"405"	"0"
"38"	"30"	"4"	"3"	"383"	"17"	"9"	"1"	"3"	""	"420"	"420"	"0"
"39"	"31"	"49"	"11"	"241"	"84"	"20"	"8"	"18"	""	"431"	"431"	"0"
"40"	"32"	"21"	"7"	"377"	"37"	"26"	"4"	"4"	""	"476"	"476"	"0"
"41"	"33"	"15"	"29"	"101"	"89"	"13"	"6"	"5"	""	"258"	"258"	"0"
"42"	"34"	"7"	"0"	"1"	"227"	"9"	"0"	"0"	""	"244"	"244"	"0"
"43"	"35"	"4"	"0"	"73"	"211"	"8"	"3"	"14"	""	"313"	"313"	"0"
"44"	"36"	"25"	"9"	"61"	"406"	"12"	"8"	"20"	""	"541"	"541"	"0"
"45"	"37"	"70"	"13"	"26"	"83"	"9"	"5"	"12"	""	"218"	"218"	"0"
"46"	"38"	"2"	"2"	"10"	"227"	"5"	"4"	"6"	""	"256"	"256"	"0"
"47"	"39"	"67"	"34"	"96"	"233"	"6"	"4"	"10"	""	"450"	"450"	"0"
"48"	"40"	"147"	"31"	"149"	"95"	"11"	"3"	"14"	""	"450"	"450"	"0"
"49"	"41"	"13"	"5"	"310"	"12"	"18"	"2"	"7"	""	"367"	"367"	"0"
"50"	"42"	"35"	"7"	"163"	"131"	"20"	"11"	"17"	""	"384"	"384"	"0"
"51"	"43"	"12"	"2"	"71"	"199"	"7"	"3"	"5"	""	"299"	"299"	"0"
"52"	"44"	"8"	"2"	"86"	"69"	"9"	"0"	"9"	""	"183"	"183"	"0"
"53"	"45"	"74"	"4"	"34"	"118"	"4"	"2"	"1"	""	"237"	"237"	"0"
"54"	"46"	"45"	"3"	"189"	"68"	"25"	"3"	"3"	""	"336"	"336"	"0"
"55"	"47"	"17"	"3"	"87"	"114"	"11"	"5"	"8"	""	"245"	"245"	"0"
"56"	"48"	"77"	"13"	"294"	"95"	"32"	"5"	"12"	""	"528"	"528"	"0"
