"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"See rule - 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from 230-Konch Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No…… 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"6"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIA S MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"7"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"8"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"10"	"1"	"1"	"265"	"14"	"38"	"40"	"8"	"1"	"1"	"3"	"1"	"1"	"372"	"0"	"372"	"0"
"11"	"2"	"2"	"76"	"12"	"17"	"272"	"14"	"3"	"4"	"23"	"5"	"8"	"434"	"0"	"434"	"0"
"12"	"3"	"2Ka"	"76"	"5"	"33"	"100"	"8"	"1"	"7"	"4"	"2"	"8"	"244"	"0"	"244"	"0"
