"fuokZpuksa..dk..lapkyu..fu.e...1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"¼dkuwuh  fu;e  vkSj vkns'k½ {iz:i  20}"	""	""	""	""	""	""	""	""	""	""
"2"	"{fu;e  56  ¼7½  nsf[k,} vfUre ifj.kke&i="	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/klwfpr  ernku  dsUnzksa ls  fHkUu  ernku  dsUnzksa ij  ernku  dk  ifj.kke  vfHkfyf[kr djus ds  fy,  mi;ksx esa  yk;k  tk;½ 152&fcgiqj fuokZpu  {ks= esa                                                                       Hkkx&1"	""	""	""	""	""	""	""	""	""	""
"4"	"fcgkj  fo/kku  lHkk  ds  fy,  fuokZpu                             ¼lalnh;  vkSj fo/kku  lHkk  nksuksa  fuokZpuksa  ds  fy,  mi;ksx esa  yk;k  tk;½"	""	""	""	""	""	""	""	""	""	""
"5"	"fo/kku  lHkk  fuokZpu  {ks= esa  fuokZpdksa  dh  dqy  la[;k&  1]80]360"	""	""	""	""	""	""	""	""	""	""
"6"	"fo/kku  lHkk  [kaM  dk  uke  ¼lalnh;  fuokZpu  {ks= ls  fuokZpu  dh  n'kk  esa½--------------------------------"	""	""	""	""	""	""	""	""	""	""
"7"	"ernku  dsUnz
dh  Øe  la0"	"fuEufyf[kr  ds  i{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir  erksa  dh la[;k  ;ksx"	"fufonr  erksa  dh  la[;k"
"8"	""	"dqekj 'kSysUnz"	"iwue  nso"	"'kSys'k  dqekj mQZ cqyks  eaMy"	"Mkseh  ikloku"	"/kuut; jk;"	"izdk'k  uanu  iadt"	"fcUns'ojh  iz0  flag"	""	""	""
"9"	"1"	"348"	"50"	"161"	"15"	"15"	"6"	"12"	"607"	"_"	"_"
"10"	"1A"	"108"	"13"	"75"	"3"	"2"	"2"	"7"	"210"	"_"	"_"
"11"	"2"	"227"	"62"	"66"	"3"	"10"	"9"	"20"	"397"	"_"	"_"
"12"	"3"	"253"	"44"	"146"	"11"	"8"	"9"	"17"	"488"	"_"	"_"
"13"	"4"	"232"	"56"	"54"	"8"	"8"	"7"	"15"	"380"	"_"	"_"
"14"	"5"	"96"	"39"	"84"	"6"	"6"	"5"	"6"	"242"	"_"	"_"
"15"	"6"	"163"	"46"	"132"	"10"	"7"	"3"	"18"	"379"	"_"	"_"
"16"	"6A"	"164"	"14"	"80"	"2"	"0"	"3"	"4"	"267"	"_"	"_"
