"Serial..No.of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"Total.of.Vaild.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"Azam Hussain Anwar"	"Guddi Devi"	"Pramod Kumar"	"Bhola Rai"	"Mukesh Kumar"	"Baidahi Sharan"	"Vijay Kumar Yadav"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"3"	"1"	"99"	"267"	"8"	"49"	"6"	"18"	"11"	"458"	"-"	"458"	"-"
"4"	"2"	"60"	"173"	"11"	"167"	"16"	"19"	"19"	"465"	"-"	"465"	"-"
"5"	"3"	"64"	"227"	"17"	"107"	"12"	"9"	"9"	"445"	"-"	"445"	"-"
"6"	"3A"	"26"	"144"	"2"	"48"	"0"	"12"	"0"	"232"	"-"	"232"	"-"
"7"	"4"	"63"	"431"	"8"	"44"	"7"	"10"	"4"	"567"	"-"	"567"	"-"
"8"	"5"	"19"	"268"	"8"	"255"	"11"	"8"	"5"	"574"	"-"	"574"	"-"
"9"	"6"	"97"	"269"	"29"	"243"	"13"	"2"	"16"	"669"	"-"	"669"	"-"
"10"	"7"	"53"	"238"	"7"	"62"	"4"	"12"	"8"	"384"	"-"	"384"	"-"
"11"	"8"	"73"	"197"	"4"	"41"	"2"	"3"	"3"	"323"	"-"	"323"	"-"
"12"	"9"	"25"	"314"	"14"	"112"	"10"	"6"	"1"	"482"	"-"	"482"	"-"
"13"	"9A"	"92"	"159"	"6"	"111"	"8"	"12"	"10"	"398"	"-"	"398"	"-"
"14"	"10"	"90"	"100"	"10"	"42"	"5"	"10"	"0"	"257"	"-"	"257"	"-"
"15"	"11"	"27"	"233"	"16"	"74"	"10"	"12"	"14"	"386"	"-"	"386"	"-"
"16"	"12"	"46"	"372"	"10"	"59"	"4"	"12"	"6"	"509"	"-"	"509"	"-"
"17"	"13"	"39"	"239"	"5"	"79"	"3"	"11"	"3"	"379"	"-"	"379"	"-"
"18"	"14"	"107"	"314"	"12"	"166"	"13"	"27"	"26"	"665"	"-"	"665"	"-"
"19"	"15"	"66"	"261"	"15"	"118"	"9"	"23"	"15"	"507"	"-"	"507"	"-"
