"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"6"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"8"	"1"	"172"	"150"	"247"	"9"	"9"	"7"	"2"	"7"	"12"	"12"	"5"	"28"	"660"	""	"660"	""
"9"	"2"	"18"	"218"	"131"	"3"	"4"	"5"	"6"	"5"	"4"	"9"	"10"	"14"	"427"	""	"427"	""
"10"	"3"	"16"	"44"	"271"	"3"	"0"	"3"	"1"	"1"	"5"	"5"	"1"	"10"	"360"	""	"360"	""
"11"	"4"	"17"	"95"	"352"	"2"	"0"	"14"	"1"	"8"	"28"	"18"	"12"	"23"	"570"	""	"570"	""
"12"	"5"	"19"	"111"	"286"	"4"	"6"	"13"	"8"	"7"	"25"	"29"	"14"	"29"	"551"	""	"551"	""
"13"	"5A"	"7"	"109"	"74"	"1"	"2"	"4"	"2"	"2"	"3"	"5"	"1"	"9"	"219"	""	"219"	""
"14"	"6"	"29"	"85"	"130"	"5"	"2"	"3"	"2"	"4"	"12"	"40"	"4"	"4"	"320"	""	"320"	""
"15"	"7"	"29"	"122"	"386"	"7"	"5"	"6"	"6"	"7"	"4"	"1"	"3"	"32"	"608"	""	"608"	""
"16"	"8"	"21"	"486"	"211"	"3"	"3"	"2"	"3"	"3"	"5"	"11"	"9"	"33"	"790"	""	"790"	""
"17"	"9"	"24"	"349"	"139"	"3"	"16"	"5"	"4"	"3"	"3"	"1"	"4"	"15"	"566"	""	"566"	""
"18"	"10"	"75"	"112"	"265"	"4"	"2"	"15"	"3"	"7"	"19"	"49"	"8"	"41"	"600"	""	"600"	""
"19"	"11"	"13"	"240"	"356"	"4"	"4"	"15"	"1"	"6"	"14"	"8"	"6"	"15"	"682"	""	"682"	""
"20"	"12"	"15"	"127"	"589"	"12"	"2"	"9"	"3"	"7"	"11"	"13"	"10"	"13"	"811"	""	"811"	""
"21"	"13"	"19"	"179"	"403"	"8"	"17"	"10"	"0"	"11"	"26"	"67"	"15"	"50"	"805"	""	"805"	""
"22"	"Current Round Total"	"474"	"2427"	"3840"	"68"	"72"	"111"	"42"	"78"	"171"	"268"	"102"	"316"	"7969"	"0"	"7969"	"0"
"23"	"(Statutory Rules and Order)                                                      ROUND : SECOND"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"29"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"30"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"31"	"14"	"21"	"292"	"198"	"15"	"154"	"12"	"6"	"4"	"4"	"7"	"11"	"70"	"794"	""	"794"	""
"32"	"15"	"22"	"10"	"489"	"3"	"9"	"10"	"3"	"5"	"20"	"13"	"1"	"3"	"588"	""	"588"	""
"33"	"15A"	"13"	"33"	"223"	"2"	"51"	"6"	"3"	"2"	"6"	"2"	"1"	"3"	"345"	""	"345"	""
"34"	"16"	"44"	"287"	"182"	"13"	"49"	"6"	"6"	"3"	"4"	"5"	"9"	"38"	"646"	""	"646"	""
"35"	"17"	"22"	"173"	"143"	"7"	"7"	"5"	"3"	"4"	"8"	"65"	"9"	"24"	"470"	""	"470"	""
"36"	"18"	"17"	"246"	"240"	"9"	"47"	"8"	"8"	"6"	"10"	"10"	"9"	"18"	"628"	""	"628"	""
"37"	"19"	"8"	"45"	"686"	"9"	"2"	"15"	"3"	"2"	"18"	"9"	"5"	"4"	"806"	""	"806"	""
"38"	"20"	"51"	"85"	"517"	"6"	"3"	"9"	"6"	"9"	"36"	"11"	"16"	"9"	"758"	""	"758"	""
"39"	"21"	"109"	"5"	"333"	"8"	"2"	"2"	"0"	"2"	"11"	"42"	"2"	"5"	"521"	""	"521"	""
"40"	"22"	"54"	"150"	"525"	"8"	"4"	"19"	"4"	"28"	"29"	"16"	"9"	"31"	"877"	""	"877"	""
"41"	"23"	"161"	"179"	"530"	"8"	"9"	"17"	"3"	"8"	"20"	"47"	"15"	"21"	"1018"	""	"1018"	""
"42"	"24"	"14"	"28"	"612"	"7"	"5"	"19"	"3"	"3"	"36"	"19"	"9"	"62"	"817"	""	"817"	""
"43"	"25"	"106"	"97"	"334"	"12"	"9"	"9"	"3"	"8"	"7"	"79"	"1"	"8"	"673"	""	"673"	""
"44"	"26"	"64"	"146"	"374"	"9"	"3"	"11"	"5"	"7"	"25"	"21"	"14"	"23"	"702"	""	"702"	""
