"Polling.Station.No."	"Ashok.Prasad.Verma"	"Ashwamedh.Devi"	"Prayag.Chandra.Mukhiya"	"Rajnarayan.Singh"	"Sunil.Kumar.Suman"	"Baiju.Sah"	"Shyam.Sunder.Bhagat"	"Total.of.valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.Tendered.Votes"
"1"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"2"	"1"	"242"	"73"	"21"	"15"	"17"	"21"	"27"	"416"	""	"416"	""
"3"	"2"	"155"	"166"	"7"	"3"	"6"	"3"	"12"	"352"	""	"352"	""
"4"	"3"	"138"	"261"	"13"	"9"	"5"	"11"	"7"	"444"	""	"444"	""
"5"	"4"	"205"	"184"	"25"	"4"	"4"	"3"	"13"	"438"	""	"438"	""
"6"	"5"	"44"	"329"	"18"	"7"	"4"	"9"	"8"	"419"	""	"419"	""
"7"	"6"	"108"	"142"	"10"	"5"	"0"	"5"	"2"	"272"	""	"272"	""
"8"	"7"	"213"	"135"	"46"	"13"	"33"	"14"	"20"	"474"	""	"474"	""
"9"	"8"	"155"	"162"	"15"	"6"	"5"	"7"	"7"	"357"	""	"357"	""
"10"	"8A"	"98"	"118"	"93"	"5"	"5"	"0"	"4"	"323"	""	"323"	""
"11"	"9"	"269"	"63"	"122"	"10"	"4"	"11"	"8"	"487"	""	"487"	""
"12"	"10"	"189"	"121"	"74"	"7"	"3"	"2"	"2"	"398"	""	"398"	""
"13"	"11"	"120"	"82"	"12"	"4"	"1"	"3"	"1"	"223"	""	"223"	""
"14"	"12"	"160"	"124"	"5"	"3"	"1"	"11"	"5"	"309"	""	"309"	""
"15"	"12A"	"139"	"82"	"22"	"4"	"4"	"5"	"6"	"262"	""	"262"	""
"16"	"Page Total"	"2235"	"2042"	"483"	"95"	"92"	"105"	"122"	"5174"	"0"	"5174"	"0"
"17"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"18"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"19"	"B.F."	"2235"	"2042"	"483"	"95"	"92"	"105"	"122"	"5174"	"0"	"5174"	"0"
"20"	"13"	"277"	"306"	"8"	"3"	"8"	"10"	"17"	"629"	""	"629"	""
"21"	"14"	"287"	"153"	"14"	"2"	"11"	"2"	"12"	"481"	""	"481"	""
