"No..and.Name.of.Assembly.Constituency.43..Parsa.Round.No..01"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	"Anil Ku.Das"	"Chandrika Ray"	""	"Chhote Lal Rai"	""	"Ram Nath Vidiyarthi"	""	"Sandhya Ray"	""	"Total of Valid Votes"	""	"No. of rejected Votes"	""	"Total"	""	"No. of tendere d Votes"	""	""
"3"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""	""	""	""	""
"4"	"1"	"9"	"112"	""	"117"	""	"9"	""	"16"	""	"263"	""	""	""	""	""	""	""	""
"5"	"2"	"27"	"231"	""	"304"	""	"19"	""	"18"	""	"599"	""	""	""	""	""	""	""	""
"6"	"3"	"25"	"191"	""	"224"	""	"23"	""	"24"	""	"487"	""	""	""	""	""	""	""	""
"7"	"4"	"74"	"97"	""	"180"	""	"26"	""	"52"	""	"429"	""	""	""	""	""	""	""	""
"8"	"5"	"42"	"234"	""	"157"	""	"31"	""	"26"	""	"490"	""	""	""	""	""	""	""	""
"9"	"6"	"24"	"144"	""	"100"	""	"18"	""	"21"	""	"307"	""	""	""	""	""	""	""	""
"10"	"6A"	"28"	"101"	""	"124"	""	"20"	""	"18"	""	"291"	""	""	""	""	""	""	""	""
"11"	"7"	"21"	"100"	""	"135"	""	"24"	""	"15"	""	"295"	""	""	""	""	""	""	""	""
"12"	"8"	"30"	"249"	""	"70"	""	"7"	""	"15"	""	"371"	""	""	""	""	""	""	""	""
"13"	"9"	"42"	"227"	""	"166"	""	"56"	""	"26"	""	"517"	""	""	""	""	""	""	""	""
"14"	"10"	"16"	"137"	""	"210"	""	"26"	""	"30"	""	"419"	""	""	""	""	""	""	""	""
"15"	"11"	"39"	"107"	""	"298"	""	"17"	""	"28"	""	"489"	""	""	""	""	""	""	""	""
"16"	"12"	"14"	"82"	""	"156"	""	"7"	""	"13"	""	"272"	""	""	""	""	""	""	""	""
"17"	"13"	"22"	"156"	""	"98"	""	"7"	""	"16"	""	"299"	""	""	""	""	""	""	""	""
"18"	"Total"	"413"	"2168"	""	"2339"	""	"290"	""	"318"	""	"5528"	""	""	""	""	""	""	""	""
"19"	"No. and Name of Assembly Constituency-43- Parsa Round No.-02"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	""	"Anil Ku.Das"	""	"Chandrika Ray"	""	"Chhote Lal Rai"	""	"Ram Nath Vidiyarthi"	""	"Sandhya Ray"	""	"Total of Valid Votes"	""	"No. of rejected Votes"	""	"Total"	""	"No. of tendere d Votes"	""
"22"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""	""	""	""
"23"	"14"	"25"	""	"96"	""	"141"	""	"24"	""	"42"	""	"328"	""	""	""	""	""	""	""
"24"	"14A"	"14"	""	"90"	""	"240"	""	"12"	""	"22"	""	"378"	""	""	""	""	""	""	""
"25"	"15"	"19"	""	"187"	""	"345"	""	"21"	""	"52"	""	"624"	""	""	""	""	""	""	""
"26"	"16"	"18"	""	"174"	""	"98"	""	"20"	""	"18"	""	"328"	""	""	""	""	""	""	""
"27"	"16A"	"18"	""	"66"	""	"136"	""	"15"	""	"26"	""	"261"	""	""	""	""	""	""	""
"28"	"17"	"16"	""	"96"	""	"321"	""	"18"	""	"25"	""	"476"	""	""	""	""	""	""	""
"29"	"18"	"17"	""	"126"	""	"185"	""	"16"	""	"21"	""	"365"	""	""	""	""	""	""	""
"30"	"19"	"17"	""	"75"	""	"222"	""	"12"	""	"21"	""	"347"	""	""	""	""	""	""	""
"31"	"20"	"16"	""	"225"	""	"49"	""	"10"	""	"9"	""	"309"	""	""	""	""	""	""	""
"32"	"20A"	"11"	""	"256"	""	"43"	""	"10"	""	"15"	""	"335"	""	""	""	""	""	""	""
"33"	"21"	"20"	""	"141"	""	"232"	""	"41"	""	"18"	""	"452"	""	""	""	""	""	""	""
"34"	"22"	"27"	""	"220"	""	"341"	""	"32"	""	"22"	""	"642"	""	""	""	""	""	""	""
"35"	"23"	"10"	""	"81"	""	"296"	""	"13"	""	"13"	""	"413"	""	""	""	""	""	""	""
"36"	"24"	"20"	""	"129"	""	"221"	""	"22"	""	"18"	""	"410"	""	""	""	""	""	""	""
"37"	"Total"	"248"	""	"1962"	""	"2870"	""	"266"	""	"322"	""	"5668"	""	""	""	""	""	""	""
"38"	"No. and Name of Assembly Constituency-43- Parsa Round No.-03"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
