"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X014.DHAKA.F"	"orm.20"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""
"2"	"Booth No."	"Ext"	"Voters"	"Round"	"AWANISH KUMAR SINGH"	"BHAI PAWAN JAISHWAL"	"MANOJ KUMAR SINGH"	"SUDHIR KUMAR SINGH"	"KAYEEMUDDIN"	"NEK MOHAMAD"	"PRABHU RAI"	"BACHCHA MANDAL"	"RAJ KISHORE SINGH"	"RAJ KUMAR BAITHA"	"SITA RAM SINGH"	"Total"
"3"	"1"	"2"	"4"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"4"	"1"	""	"1230"	"1"	"285"	"156"	"112"	"17"	"2"	"3"	"8"	"8"	"8"	"18"	"18"	"635"
"5"	"2"	""	"1052"	"1"	"444"	"120"	"18"	"1"	"1"	"10"	"2"	"2"	"2"	"14"	"10"	"624"
"6"	"3"	""	"1142"	"1"	"349"	"275"	"14"	"4"	"4"	"20"	"3"	"1"	"9"	"7"	"7"	"693"
"7"	"4"	""	"1301"	"1"	"53"	"259"	"163"	"13"	"7"	"18"	"8"	"8"	"15"	"22"	"32"	"598"
"8"	"5"	""	"610"	"1"	"42"	"146"	"52"	"10"	"2"	"3"	"5"	"7"	"6"	"16"	"10"	"299"
"9"	"6"	""	"1017"	"1"	"114"	"199"	"65"	"2"	"2"	"0"	"3"	"3"	"9"	"20"	"18"	"435"
"10"	"7"	""	"1247"	"1"	"18"	"248"	"150"	"14"	"4"	"12"	"5"	"4"	"7"	"8"	"14"	"484"
"11"	"8"	""	"859"	"1"	"87"	"215"	"53"	"15"	"5"	"5"	"9"	"8"	"18"	"38"	"16"	"469"
"12"	"9"	""	"914"	"1"	"69"	"268"	"48"	"9"	"1"	"2"	"2"	"4"	"14"	"21"	"15"	"453"
"13"	"10"	""	"1193"	"1"	"94"	"272"	"146"	"14"	"2"	"5"	"4"	"8"	"13"	"19"	"16"	"593"
"14"	"11"	""	"1284"	"2"	"48"	"137"	"149"	"16"	"6"	"89"	"5"	"7"	"14"	"18"	"27"	"516"
"15"	"12"	""	"1208"	"2"	"29"	"266"	"87"	"11"	"1"	"22"	"10"	"8"	"6"	"16"	"7"	"463"
"16"	"13"	""	"1053"	"2"	"21"	"142"	"63"	"9"	"8"	"81"	"10"	"7"	"10"	"16"	"14"	"381"
"17"	"14"	""	"1353"	"2"	"28"	"164"	"137"	"6"	"4"	"37"	"8"	"4"	"10"	"21"	"38"	"457"
"18"	"15"	""	"1068"	"2"	"85"	"215"	"78"	"7"	"3"	"9"	"11"	"8"	"10"	"28"	"22"	"476"
"19"	"16"	""	"1023"	"2"	"138"	"280"	"29"	"7"	"3"	"14"	"10"	"15"	"24"	"48"	"49"	"617"
"20"	"16"	"A"	"427"	"2"	"27"	"110"	"3"	"1"	"3"	"0"	"0"	"2"	"9"	"9"	"11"	"175"
"21"	"17"	""	"1370"	"2"	"96"	"286"	"128"	"10"	"3"	"7"	"8"	"10"	"27"	"56"	"51"	"682"
"22"	"18"	""	"930"	"2"	"411"	"114"	"69"	"11"	"1"	"1"	"4"	"2"	"4"	"7"	"24"	"648"
"23"	"18"	"A"	"689"	"2"	"75"	"44"	"71"	"5"	"2"	"3"	"3"	"2"	"6"	"5"	"10"	"226"
"24"	"19"	""	"974"	"3"	"158"	"344"	"33"	"17"	"3"	"1"	"15"	"5"	"22"	"30"	"17"	"645"
"25"	"19"	"A"	"769"	"3"	"41"	"109"	"14"	"5"	"0"	"3"	"2"	"4"	"10"	"14"	"13"	"215"
"26"	"20"	""	"805"	"3"	"246"	"48"	"94"	"5"	"4"	"3"	"3"	"2"	"7"	"5"	"17"	"434"
"27"	"21"	""	"900"	"3"	"42"	"98"	"79"	"2"	"2"	"19"	"4"	"1"	"8"	"11"	"15"	"281"
"28"	"22"	""	"811"	"3"	"21"	"105"	"77"	"13"	"9"	"51"	"5"	"4"	"10"	"7"	"9"	"311"
"29"	"23"	""	"1192"	"3"	"37"	"415"	"29"	"8"	"6"	"4"	"8"	"13"	"22"	"43"	"25"	"610"
"30"	"24"	""	"1239"	"3"	"336"	"160"	"15"	"5"	"2"	"5"	"4"	"5"	"15"	"10"	"10"	"567"
"31"	"25"	""	"983"	"3"	"114"	"109"	"180"	"10"	"4"	"58"	"1"	"2"	"7"	"8"	"14"	"507"
"32"	"26"	""	"693"	"3"	"53"	"77"	"132"	"4"	"4"	"12"	"1"	"7"	"5"	"4"	"7"	"306"
