"PART...I"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"3"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"4"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"5"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"6"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"7"	"1"	"131"	"194"	"108"	"87"	"6"	"6"	"3"	"5"	"9"	"8"	"557"	"0"	"557"	"0"
"8"	"2"	"178"	"13"	"121"	"35"	"0"	"0"	"0"	"109"	"0"	"1"	"457"	"0"	"457"	"0"
"9"	"3"	"83"	"64"	"316"	"28"	"13"	"1"	"3"	"3"	"1"	"15"	"527"	"0"	"527"	"0"
"10"	"4"	"52"	"98"	"167"	"98"	"3"	"2"	"1"	"3"	"3"	"8"	"435"	"0"	"435"	"0"
"11"	"5"	"161"	"54"	"91"	"98"	"0"	"1"	"4"	"2"	"2"	"2"	"415"	"0"	"415"	"0"
"12"	"6"	"68"	"16"	"76"	"223"	"5"	"1"	"1"	"1"	"0"	"3"	"394"	"0"	"394"	"0"
"13"	"6 A"	"74"	"35"	"32"	"40"	"0"	"0"	"2"	"0"	"1"	"1"	"185"	"0"	"185"	"0"
"14"	"7"	"208"	"111"	"200"	"21"	"6"	"3"	"4"	"7"	"2"	"14"	"576"	"0"	"576"	"0"
"15"	"8"	"182"	"183"	"93"	"19"	"9"	"1"	"2"	"5"	"2"	"8"	"504"	"0"	"504"	"0"
"16"	"9"	"161"	"292"	"109"	"12"	"2"	"0"	"1"	"4"	"2"	"3"	"586"	"0"	"586"	"0"
"17"	"10"	"64"	"166"	"229"	"43"	"2"	"0"	"2"	"0"	"5"	"3"	"514"	"0"	"514"	"0"
"18"	"11"	"330"	"67"	"14"	"12"	"3"	"1"	"0"	"0"	"4"	"7"	"438"	"0"	"438"	"0"
"19"	"12"	"330"	"164"	"203"	"43"	"8"	"1"	"1"	"0"	"1"	"6"	"757"	"0"	"757"	"0"
"20"	"13"	"288"	"36"	"59"	"52"	"1"	"0"	"0"	"22"	"0"	"9"	"467"	"0"	"467"	"0"
"21"	"TOTAL"	"2310"	"1493"	"1818"	"811"	"58"	"17"	"24"	"161"	"32"	"88"	"6812"	"0"	"6812"	"0"
"22"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"25"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"26"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"27"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"28"	"BF"	"2310"	"1493"	"1818"	"811"	"58"	"17"	"24"	"161"	"32"	"88"	"6812"	"0"	"6812"	"0"
"29"	"14"	"70"	"200"	"32"	"203"	"9"	"2"	"0"	"2"	"0"	"4"	"522"	"0"	"522"	"0"
"30"	"15"	"90"	"115"	"120"	"33"	"3"	"1"	"2"	"0"	"2"	"9"	"375"	"0"	"375"	"0"
"31"	"16"	"335"	"70"	"130"	"33"	"5"	"3"	"3"	"1"	"5"	"3"	"588"	"0"	"588"	"0"
"32"	"17"	"210"	"247"	"24"	"91"	"8"	"1"	"8"	"5"	"5"	"6"	"605"	"0"	"605"	"0"
"33"	"18"	"119"	"148"	"186"	"124"	"11"	"4"	"3"	"2"	"4"	"16"	"617"	"0"	"617"	"0"
"34"	"19"	"27"	"147"	"236"	"28"	"0"	"2"	"6"	"6"	"4"	"3"	"459"	"0"	"459"	"0"
"35"	"20"	"146"	"165"	"188"	"84"	"4"	"7"	"3"	"1"	"3"	"9"	"610"	"0"	"610"	"0"
