"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"Bharat Bhushan Mandal J.D.(U)"	"Ram Kumar Yadav (R.J.D.)"	"Kishore Kumar (N.L.D.)"	"Devnath yadav (S.P.)"	"Ramdeo sah (Independent)"	""	""	""	""
"2"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"3"	"1"	"215"	"81"	"19"	"173"	"19"	"507"	""	"507"	""
"4"	"2"	"133"	"80"	"27"	"221"	"15"	"476"	""	"476"	""
"5"	"3"	"87"	"108"	"8"	"174"	"11"	"388"	""	"388"	""
"6"	"4"	"45"	"129"	"24"	"321"	"40"	"559"	""	"559"	""
"7"	"5"	"79"	"110"	"26"	"202"	"51"	"468"	""	"468"	""
"8"	"6"	"51"	"176"	"20"	"178"	"35"	"460"	""	"460"	""
"9"	"7"	"42"	"241"	"20"	"97"	"30"	"430"	""	"430"	""
"10"	"8"	"55"	"107"	"28"	"226"	"36"	"452"	""	"452"	""
"11"	"9"	"34"	"125"	"13"	"237"	"10"	"419"	""	"419"	""
"12"	"10"	"42"	"81"	"23"	"261"	"31"	"438"	""	"438"	""
"13"	"11"	"39"	"239"	"20"	"315"	"19"	"632"	""	"632"	""
"14"	"12"	"90"	"118"	"11"	"67"	"16"	"302"	""	"302"	""
"15"	"13"	"121"	"173"	"14"	"45"	"13"	"366"	""	"366"	""
"16"	"14"	"36"	"259"	"14"	"78"	"15"	"402"	""	"402"	""
"17"	"15"	"73"	"263"	"15"	"192"	"20"	"563"	""	"563"	""
"18"	"16"	"24"	"72"	"8"	"96"	"10"	"210"	""	"210"	""
"19"	"17"	"15"	"35"	"5"	"274"	"16"	"345"	""	"345"	""
"20"	"18"	"53"	"95"	"15"	"296"	"28"	"487"	""	"487"	""
"21"	"19"	"78"	"256"	"31"	"263"	"42"	"670"	""	"670"	""
"22"	"20"	"22"	"97"	"10"	"211"	"10"	"350"	""	"350"	""
"23"	"21"	"28"	"193"	"19"	"230"	"7"	"477"	""	"477"	""
"24"	"22"	"32"	"70"	"15"	"221"	"24"	"362"	""	"362"	""
"25"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"26"	""	"Bharat Bhushan Mandal J.D.(U)"	"Ram Kumar Yadav (R.J.D.)"	"Kishore Kumar (N.L.D.)"	"Devnath yadav (S.P.)"	"Ramdeo sah (Independent)"	""	""	""	""
"27"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"28"	"23"	"51"	"65"	"12"	"282"	"20"	"430"	""	"430"	""
"29"	"24"	"119"	"175"	"14"	"91"	"13"	"412"	""	"412"	""
"30"	"25"	"31"	"50"	"16"	"245"	"20"	"362"	""	"362"	""
