"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Name of the Assembly Constituency : - 90 - Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(C)] PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"6"	""	""	"Ashok Kumar Yadav"	"Durga Nand Mahavir Nayak"	"Mahboob Ahmad Khan"	"Mahesh Prasad Gupta"	"Mushtaque Ahmad"	"Md.
Qurban Ali"	"Rakesh Kumar Pandey"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"11"	"12"	"13"	"14"
"8"	"1"	"1"	"216"	"16"	"122"	"13"	"9"	"74"	"17"	"467"	"-"	"467"	""
"9"	"2"	"2"	"165"	"14"	"278"	"23"	"16"	"5"	"13"	"514"	"-"	"514"	""
"10"	"3"	"3"	"298"	"16"	"184"	"23"	"11"	"9"	"18"	"559"	"-"	"559"	""
"11"	"4"	"4"	"183"	"14"	"104"	"23"	"11"	"8"	"29"	"372"	"-"	"372"	""
"12"	"5"	"5"	"291"	"20"	"141"	"43"	"10"	"16"	"36"	"557"	"-"	"557"	""
"13"	"6"	"6"	"331"	"14"	"21"	"18"	"6"	"3"	"8"	"401"	"-"	"401"	""
"14"	"7"	"7"	"188"	"13"	"103"	"63"	"13"	"10"	"13"	"403"	"-"	"403"	""
"15"	"8"	"8"	"213"	"13"	"145"	"58"	"7"	"5"	"10"	"451"	"-"	"451"	""
"16"	"9"	"9"	"188"	"13"	"77"	"7"	"7"	"4"	"14"	"310"	"-"	"310"	""
"17"	"10"	"9A"	"73"	"11"	"128"	"82"	"11"	"10"	"24"	"339"	"-"	"339"	""
"18"	"11"	"10"	"232"	"13"	"178"	"58"	"13"	"7"	"15"	"516"	"-"	"516"	""
"19"	"12"	"11"	"99"	"11"	"210"	"9"	"1"	"1"	"3"	"334"	"-"	"334"	""
"20"	"13"	"12"	"52"	"6"	"104"	"2"	"2"	"6"	"3"	"175"	"-"	"175"	""
"21"	"14"	"13"	"391"	"18"	"54"	"12"	"11"	"6"	"25"	"517"	"-"	"517"	""
"22"	"15"	"14"	"407"	"19"	"48"	"21"	"6"	"4"	"12"	"517"	"-"	"517"	""
"23"	"16"	"15"	"420"	"17"	"47"	"13"	"5"	"2"	"20"	"524"	"-"	"524"	""
"24"	"17"	"16"	"129"	"14"	"61"	"36"	"4"	"2"	"8"	"254"	"-"	"254"	""
"25"	"18"	"16A"	"250"	"14"	"40"	"28"	"7"	"6"	"15"	"360"	"-"	"360"	""
"26"	"19"	"17"	"223"	"3"	"68"	"3"	"4"	"1"	"4"	"306"	"-"	"306"	""
"27"	"20"	"17A"	"201"	"6"	"89"	"5"	"1"	"1"	"7"	"310"	"-"	"310"	""
"28"	"21"	"18"	"50"	"12"	"171"	"8"	"6"	"6"	"11"	"264"	"-"	"264"	""
"29"	"22"	"18A"	"193"	"11"	"21"	"2"	"0"	"2"	"10"	"239"	"-"	"239"	""
"30"	"23"	"19"	"63"	"6"	"164"	"17"	"4"	"8"	"24"	"286"	"-"	"286"	""
"31"	"24"	"20"	"212"	"7"	"91"	"12"	"5"	"6"	"15"	"348"	"-"	"348"	""
"32"	"25"	"21"	"233"	"8"	"26"	"6"	"4"	"4"	"9"	"290"	"-"	"290"	""
"33"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"34"	""	""	"Ashok Kumar Yadav"	"Durga Nand Mahavir Nayak"	"Mahboob Ahmad Khan"	"Mahesh Prasad Gupta"	"Mushtaque Ahmad"	"Md.
Qurban Ali"	"Rakesh Kumar Pandey"	""	""	""	""
"35"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"11"	"12"	"13"	"14"
"36"	"26"	"21A"	"157"	"8"	"90"	"7"	"3"	"8"	"14"	"287"	"-"	"287"	""
"37"	"27"	"22"	"386"	"9"	"45"	"11"	"3"	"3"	"18"	"475"	"-"	"475"	""
"38"	"28"	"23"	"116"	"15"	"163"	"16"	"7"	"7"	"15"	"339"	"-"	"339"	""
"39"	"29"	"24"	"198"	"18"	"287"	"37"	"7"	"7"	"8"	"562"	"-"	"562"	""
