"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56 (7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 103 BALIA A.C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly  :  103- BALIA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejected"	"Total"	"No.of"
"7"	""	"Jamshed Asraf"	"Doctor Ram Uday Sharma"	"Tarique Matin"	"Diwakar Sah"	"Shreenarayan Yadav"	"Md. Samsu Joha"	"Natrajan Sah"	"Maya Yadav"	"Rakesh Patel"	"Baleshwar Azad"	"valid votes"	"votes"	""	"Tendered votes"
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"9"	"1"	"187"	"12"	"10"	"8"	"148"	"6"	"7"	"2"	"13"	"8"	"401"	"0"	"401"	"0"
"10"	"1A"	"139"	"8"	"23"	"2"	"157"	"7"	"5"	"5"	"7"	"9"	"362"	"0"	"362"	"0"
"11"	"2"	"176"	"4"	"49"	"10"	"87"	"5"	"5"	"3"	"11"	"18"	"368"	"0"	"368"	"0"
"12"	"2A"	"210"	"16"	"55"	"5"	"47"	"1"	"2"	"1"	"3"	"10"	"350"	"0"	"350"	"0"
"13"	"3"	"228"	"9"	"51"	"2"	"65"	"4"	"5"	"3"	"4"	"9"	"380"	"0"	"380"	"0"
"14"	"4"	"354"	"7"	"44"	"3"	"102"	"0"	"2"	"3"	"7"	"5"	"527"	"0"	"527"	"0"
"15"	"5"	"373"	"13"	"12"	"4"	"89"	"10"	"2"	"3"	"6"	"5"	"517"	"0"	"517"	"0"
"16"	"6"	"126"	"32"	"168"	"9"	"55"	"6"	"4"	"8"	"12"	"17"	"437"	"0"	"437"	"0"
"17"	"6A"	"246"	"8"	"32"	"3"	"80"	"2"	"3"	"2"	"5"	"6"	"387"	"0"	"387"	"0"
"18"	"7"	"345"	"11"	"32"	"5"	"137"	"4"	"7"	"8"	"24"	"41"	"614"	"0"	"614"	"0"
"19"	"8"	"212"	"4"	"0"	"6"	"121"	"8"	"2"	"0"	"4"	"1"	"358"	"0"	"358"	"0"
"20"	"8A"	"209"	"3"	"2"	"6"	"116"	"4"	"3"	"4"	"10"	"8"	"365"	"0"	"365"	"0"
