"FINAL.RESULT.SHEET...See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.195.PALIGANJ.ASSEMBLY.CONSTITUNECY.ROUND.1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"
"1"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 195-PALIGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial no. of polling station"	""	""	""	"DR.USHA VIDYARTHI"	""	""	""	"DINANATH SINGH YADAV"	""	""	"DEV SHANKAR PRASAD"	""	""	""	"NAND KUMAR NANDA"	""	""	"SHAMSHIR ALAM"	""	""	""	"RANJAY KUMAR"	""	""	""	"RAM RAKSHA PRASAD"	""	""	""	"SATISH CHANDRA SHARMA"	""	""	""	"AJAY KUMAR"	""	""	"OM PRAKASH CHAUDHARY"	""	""	"DIN NATH YADAV"	""	""	""	"RAM PRAVESH SINGH"	""	""	""	"WAKIL MIYA"	""	""	"SANJEEV KUMAR"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""
"4"	"1"	""	""	""	"117"	""	""	""	"236"	""	""	"11"	""	""	""	"30"	""	""	"22"	""	""	""	"4"	""	""	""	"4"	""	""	""	"6"	""	""	""	"4"	""	""	"10"	""	""	"7"	""	""	""	"6"	""	""	""	"8"	""	""	"5"	""	""	"470"	""	""	""	""	""	""	"470"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"1A"	""	""	""	"21"	""	""	""	"21"	""	""	"6"	""	""	""	"123"	""	""	"26"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	"12"	""	""	"3"	""	""	""	"6"	""	""	""	"1"	""	""	"2"	""	""	"225"	""	""	""	""	""	""	"225"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"2"	""	""	""	"195"	""	""	""	"39"	""	""	"3"	""	""	""	"37"	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	"2"	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	"8"	""	""	"295"	""	""	""	""	""	""	"295"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"3"	""	""	""	"87"	""	""	""	"70"	""	""	"6"	""	""	""	"60"	""	""	"7"	""	""	""	"3"	""	""	""	"2"	""	""	""	"6"	""	""	""	"3"	""	""	"10"	""	""	"9"	""	""	""	"2"	""	""	""	"8"	""	""	"13"	""	""	"286"	""	""	""	""	""	""	"286"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"4"	""	""	""	"67"	""	""	""	"61"	""	""	"7"	""	""	""	"211"	""	""	"19"	""	""	""	"4"	""	""	""	"4"	""	""	""	"6"	""	""	""	"3"	""	""	"16"	""	""	"8"	""	""	""	"4"	""	""	""	"8"	""	""	"10"	""	""	"428"	""	""	""	""	""	""	"428"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"5"	""	""	""	"10"	""	""	""	"464"	""	""	"6"	""	""	""	"1"	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	"0"	""	""	"490"	""	""	""	""	""	""	"490"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"6"	""	""	""	"72"	""	""	""	"13"	""	""	"5"	""	""	""	"149"	""	""	"41"	""	""	""	"1"	""	""	""	"7"	""	""	""	"2"	""	""	""	"1"	""	""	"5"	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	"2"	""	""	"301"	""	""	""	""	""	""	"301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"11"	"7"	""	""	""	"112"	""	""	""	"114"	""	""	"6"	""	""	""	"57"	""	""	"7"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	"5"	""	""	"2"	""	""	""	"2"	""	""	""	"2"	""	""	"3"	""	""	"313"	""	""	""	""	""	""	"313"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12"	"8"	""	""	""	"460"	""	""	""	"7"	""	""	"2"	""	""	""	"96"	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	"5"	""	""	"9"	""	""	"5"	""	""	""	"6"	""	""	""	"3"	""	""	"5"	""	""	"603"	""	""	""	""	""	""	"603"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	"9"	""	""	""	"320"	""	""	""	"6"	""	""	"1"	""	""	""	"157"	""	""	"10"	""	""	""	"1"	""	""	""	"4"	""	""	""	"2"	""	""	""	"20"	""	""	"14"	""	""	"9"	""	""	""	"4"	""	""	""	"5"	""	""	"13"	""	""	"566"	""	""	""	""	""	""	"566"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
