"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"2"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"3"	"Round - 1"	"1"	"180"	"14"	"168"	"205"	"21"	"11"	"11"	"11"	"13"	"634"	""	"634"	"0"
"4"	""	"2"	"88"	"5"	"117"	"113"	"11"	"6"	"4"	"5"	"13"	"362"	""	"362"	"0"
"5"	""	"3"	"62"	"11"	"159"	"95"	"6"	"3"	"0                          1                             3"	""	""	"340"	""	"340"	"0"
"6"	""	"4"	"67"	"13"	"258"	"132"	"13"	"5"	"19"	"13"	"21"	"541"	""	"541"	"0"
"7"	""	"5"	"60"	"9"	"91"	"92"	"8"	"8"	"6"	"0"	"5"	"279"	""	"279"	"0"
"8"	""	"6"	"72"	"9"	"111"	"352"	"22"	"15"	"21"	"15"	"30"	"647"	""	"647"	"0"
"9"	""	"6A"	"17"	"4"	"65"	"360"	"13"	"8"	"2"	"4"	"7"	"480"	""	"480"	"0"
"10"	""	"7"	"25"	"6"	"188"	"156"	"12"	"1"	"11"	"1"	"1"	"401"	""	"401"	"0"
"11"	""	"8"	"156"	"10"	"74"	"270"	"16"	"9"	"6"	"6"	"12"	"559"	""	"559"	"0"
"12"	""	"9"	"74"	"14"	"69"	"184"	"14"	"3"	"13"	"6"	"13"	"390"	""	"390"	"0"
"13"	""	"10"	"50"	"5"	"154"	"94"	"8"	"9"	"9"	"8"	"32"	"369"	""	"369"	"0"
"14"	""	"11"	"120"	"8"	"66"	"100"	"7"	"4"	"3"	"10"	"14"	"332"	""	"332"	"0"
"15"	""	"11A"	"207"	"15"	"86"	"91"	"10"	"12"	"51"	"16"	"39"	"527"	""	"527"	"0"
"16"	""	"12"	"18"	"3"	"171"	"67"	"4"	"0"	"2"	"2"	"4"	"271"	""	"271"	"0"
"17"	""	"Total"	"1196"	"126"	"1777"	"2311"	"165"	"94"	"158"	"98"	"207"	"6132"	""	"6132"	"0"
"18"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"19"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"20"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"21"	"Round - 2"	"13"	"31"	"6"	"133"	"117"	"6"	"4"	"2"	"4"	"2"	"305"	""	"305"	"0"
"22"	""	"14"	"162"	"9"	"12"	"139"	"13"	"5"	"8"	"9"	"17"	"374"	""	"374"	"0"
"23"	""	"15"	"34"	"8"	"37"	"133"	"4"	"2"	"3"	"2"	"6"	"229"	""	"229"	"0"
"24"	""	"15A"	"220"	"12"	"13"	"69"	"3"	"4"	"5"	"4"	"6"	"336"	""	"336"	"0"
"25"	""	"16"	"112"	"11"	"160"	"138"	"18"	"12"	"22"	"17"	"30"	"520"	""	"520"	"0"
"26"	""	"17"	"93"	"19"	"141"	"120"	"14"	"2"	"5"	"5"	"7"	"406"	""	"406"	"0"
"27"	""	"18"	"157"	"19"	"107"	"93"	"15"	"8"	"8"	"6"	"22"	"435"	""	"435"	"0"
"28"	""	"19"	"333"	"5"	"32"	"89"	"10"	"6"	"8"	"9"	"38"	"530"	""	"530"	"0"
"29"	""	"20"	"291"	"7"	"53"	"104"	"2"	"5"	"7"	"10"	"16"	"495"	""	"495"	"0"
"30"	""	"21"	"73"	"7"	"95"	"96"	"14"	"7"	"10"	"6"	"16"	"324"	""	"324"	"0"
"31"	""	"21A"	"183"	"17"	"42"	"91"	"8"	"5"	"8"	"5"	"12"	"371"	""	"371"	"0"
"32"	""	"22"	"35"	"9"	"37"	"139"	"25"	"11"	"4"	"8"	"18"	"286"	""	"286"	"0"
"33"	""	"22a"	"16"	"2"	"107"	"47"	"2"	"4"	"0"	"9"	"1"	"188"	""	"188"	"0"
"34"	""	"23"	"65"	"11"	"104"	"163"	"23"	"12"	"9"	"20"	"29"	"436"	""	"436"	"0"
"35"	""	"Total"	"1805"	"142"	"1073"	"1538"	"157"	"87"	"99"	"114"	"220"	"5235"	""	"5235"	"0"
"36"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"37"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"38"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"39"	"Round - 3"	"24"	"85"	"21"	"205"	"129"	"10"	"9"	"6"	"7"	"11"	"483"	""	"483"	"0"
"40"	""	"25"	"148"	"5"	"38"	"73"	"6"	"5"	"1"	"6"	"18"	"300"	""	"300"	"0"
"41"	""	"26"	"259"	"19"	"12"	"84"	"6"	"5"	"9"	"7"	"26"	"427"	""	"427"	"0"
"42"	""	"27"	"127"	"3"	"47"	"36"	"4"	"2"	"3"	"1"	"9"	"232"	""	"232"	"0"
"43"	""	"27a"	"288"	"8"	"42"	"7"	"1"	"1"	"4"	"2"	"8"	"361"	""	"361"	"0"
"44"	""	"28"	"259"	"12"	"64"	"7"	"2"	"2"	"6"	"0"	"7"	"359"	""	"359"	"0"
"45"	""	"29"	"352"	"9"	"63"	"18"	"5"	"7"	"7"	"6"	"16"	"483"	""	"483"	"0"
"46"	""	"30"	"70"	"13"	"121"	"304"	"25"	"11"	"9"	"7"	"30"	"590"	""	"590"	"0"
"47"	""	"31"	"172"	"12"	"63"	"91"	"5"	"11"	"13"	"5"	"14"	"386"	""	"386"	"0"
"48"	""	"32"	"214"	"14"	"4"	"57"	"6"	"10"	"6"	"4"	"20"	"335"	""	"335"	"0"
"49"	""	"33"	"84"	"6"	"51"	"119"	"13"	"12"	"7"	"7"	"33"	"332"	""	"332"	"0"
"50"	""	"33a"	"35"	"5"	"131"	"55"	"3"	"3"	"7"	"8"	"12"	"259"	""	"259"	"0"
"51"	""	"34"	"192"	"11"	"8"	"28"	"0"	"1"	"2"	"5"	"22"	"269"	""	"269"	"0"
"52"	""	"35"	"96"	"17"	"190"	"76"	"9"	"6"	"8"	"9"	"24"	"435"	""	"435"	"0"
"53"	""	"Total"	"2381"	"155"	"1039"	"1084"	"95"	"85"	"88"	"74"	"250"	"5251"	""	"5251"	"0"
"54"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"55"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"56"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"57"	"Round - 4"	"36"	"91"	"16"	"57"	"80"	"5"	"6"	"26"	"5"	"11"	"297"	""	"297"	"0"
"58"	""	"37"	"117"	"2"	"3"	"116"	"5"	"3"	"24"	"2"	"7"	"279"	""	"279"	"0"
"59"	""	"38"	"120"	"11"	"53"	"109"	"9"	"4"	"9"	"5"	"12"	"332"	""	"332"	"0"
"60"	""	"38a"	"163"	"3"	"37"	"79"	"5"	"5"	"7"	"4"	"15"	"318"	""	"318"	"0"
"61"	""	"39"	"123"	"5"	"85"	"47"	"4"	"5"	"7"	"6"	"20"	"302"	""	"302"	"0"
"62"	""	"39a"	"96"	"8"	"45"	"44"	"7"	"4"	"13"	"12"	"25"	"254"	""	"254"	"0"
"63"	""	"40"	"89"	"10"	"32"	"121"	"14"	"10"	"20"	"8"	"20"	"324"	""	"324"	"0"
"64"	""	"41"	"132"	"10"	"60"	"119"	"6"	"13"	"31"	"11"	"26"	"408"	""	"408"	"0"
"65"	""	"42"	"109"	"39"	"103"	"67"	"6"	"6"	"1"	"6"	"9"	"346"	""	"346"	"0"
"66"	""	"43"	"31"	"14"	"139"	"31"	"8"	"12"	"5"	"5"	"11"	"256"	""	"256"	"0"
"67"	""	"44"	"82"	"13"	"97"	"76"	"7"	"5"	"28"	"2"	"12"	"322"	""	"322"	"0"
"68"	""	"44a"	"43"	"6"	"209"	"40"	"3"	"3"	"7"	"5"	"5"	"321"	""	"321"	"0"
"69"	""	"45"	"17"	"2"	"119"	"109"	"6"	"6"	"3"	"7"	"12"	"281"	""	"281"	"0"
"70"	""	"46"	"303"	"8"	"48"	"19"	"6"	"3"	"5"	"3"	"17"	"412"	""	"412"	"0"
"71"	""	"Total"	"1516"	"147"	"1087"	"1057"	"91"	"85"	"186"	"81"	"202"	"4452"	""	"4452"	"0"
"72"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"73"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"74"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"75"	"Round - 5"	"47"	"374"	"9"	"106"	"7"	"0"	"2"	"1"	"1"	"6"	"506"	""	"506"	"0"
"76"	""	"48"	"253"	"8"	"94"	"12"	"1"	"3"	"5"	"0"	"11"	"387"	""	"387"	"0"
"77"	""	"49"	"296"	"11"	"109"	"6"	"4"	"4"	"4"	"3"	"9"	"446"	""	"446"	"0"
"78"	""	"50"	"207"	"10"	"236"	"60"	"5"	"7"	"9"	"6"	"19"	"559"	""	"559"	"0"
"79"	""	"51"	"121"	"100"	"75"	"133"	"12"	"3"	"20"	"9"	"23"	"496"	""	"496"	"0"
"80"	""	"52"	"80"	"164"	"66"	"166"	"26"	"15"	"16"	"17"	"34"	"584"	""	"584"	"0"
"81"	""	"53"	"118"	"37"	"67"	"94"	"12"	"7"	"6"	"11"	"13"	"365"	""	"365"	"0"
"82"	""	"54"	"50"	"32"	"77"	"199"	"21"	"10"	"18"	"15"	"41"	"463"	""	"463"	"0"
"83"	""	"55"	"28"	"8"	"49"	"119"	"5"	"8"	"8"	"5"	"11"	"241"	""	"241"	"0"
"84"	""	"55a"	"31"	"2"	"35"	"171"	"7"	"6"	"12"	"5"	"16"	"285"	""	"285"	"0"
"85"	""	"56"	"50"	"4"	"152"	"155"	"8"	"10"	"3"	"5"	"27"	"414"	""	"414"	"0"
"86"	""	"57"	"23"	"10"	"112"	"78"	"9"	"5"	"4"	"2"	"10"	"253"	""	"253"	"0"
"87"	""	"58"	"94"	"16"	"110"	"228"	"18"	"18"	"8"	"9"	"40"	"541"	""	"541"	"0"
"88"	""	"59"	"47"	"10"	"263"	"74"	"8"	"20"	"13"	"25"	"36"	"496"	""	"496"	"0"
"89"	""	"Total"	"1772"	"421"	"1551"	"1502"	"136"	"118"	"127"	"113"	"296"	"6036"	""	"6036"	"0"
"90"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"91"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"92"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"93"	"Round - 6"	"60"	"55"	"15"	"226"	"65"	"9"	"8"	"5"	"7"	"10"	"400"	""	"400"	"0"
"94"	""	"61"	"62"	"4"	"164"	"9"	"5"	"6"	"3"	"6"	"18"	"277"	""	"277"	"0"
"95"	""	"62"	"388"	"18"	"13"	"48"	"5"	"2"	"10"	"5"	"22"	"511"	""	"511"	"0"
"96"	""	"63"	"142"	"8"	"49"	"75"	"12"	"1"	"14"	"3"	"20"	"324"	""	"324"	"0"
"97"	""	"64"	"94"	"4"	"28"	"116"	"15"	"6"	"20"	"6"	"16"	"305"	""	"305"	"0"
"98"	""	"65"	"53"	"4"	"12"	"188"	"25"	"20"	"14"	"18"	"34"	"368"	""	"368"	"0"
"99"	""	"66"	"52"	"9"	"172"	"64"	"6"	"13"	"17"	"3"	"30"	"366"	""	"366"	"0"
"100"	""	"66a"	"79"	"6"	"75"	"52"	"3"	"8"	"29"	"17"	"22"	"291"	""	"291"	"0"
"101"	""	"67"	"310"	"17"	"140"	"39"	"5"	"2"	"3"	"8"	"14"	"538"	""	"538"	"0"
"102"	""	"68"	"162"	"12"	"171"	"82"	"8"	"6"	"22"	"9"	"12"	"484"	""	"484"	"0"
"103"	""	"69"	"91"	"13"	"183"	"168"	"23"	"17"	"21"	"15"	"37"	"568"	""	"568"	"0"
"104"	""	"70"	"29"	"8"	"33"	"86"	"4"	"1"	"29"	"15"	"14"	"219"	""	"219"	"0"
"105"	""	"71"	"50"	"8"	"80"	"61"	"5"	"5"	"5"	"7"	"22"	"243"	""	"243"	"0"
"106"	""	"72"	"193"	"16"	"120"	"85"	"10"	"10"	"10"	"10"	"12"	"466"	""	"466"	"0"
"107"	""	"Total"	"1760"	"142"	"1466"	"1138"	"135"	"105"	"202"	"129"	"283"	"5360"	""	"5360"	"0"
"108"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"109"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"110"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"111"	"Round - 7"	"73"	"166"	"10"	"57"	"90"	"9"	"4"	"7"	"14"	"18"	"375"	""	"375"	"0"
"112"	""	"74"	"68"	"8"	"27"	"169"	"15"	"6"	"9"	"12"	"35"	"349"	""	"349"	"0"
"113"	""	"75"	"503"	"22"	"41"	"29"	"3"	"2"	"3"	"12"	"13"	"628"	""	"628"	"0"
"114"	""	"76"	"85"	"5"	"59"	"183"	"11"	"7"	"2"	"6"	"25"	"383"	""	"383"	"0"
"115"	""	"77"	"138"	"16"	"115"	"123"	"15"	"15"	"11"	"14"	"24"	"471"	""	"471"	"0"
"116"	""	"78"	"332"	"21"	"139"	"15"	"5"	"5"	"3"	"3"	"10"	"533"	""	"533"	"0"
