"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 69-MAJORGANJ (SC) CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""
"4"	"Name of the Assembly :- 69-Majorganj (SC)"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total Number of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""
"6"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"7"	""	"Dinkar Ram"	"Pratibha Kumari"	"Ram Swarth Paswan"	"Lalita Devi"	"Ram Naresh Ram"	"Kapildeo Paswan"	"Chitranjan Ram"	""	""	""	""
"8"	"1"	"367"	"23"	"53"	"201"	"11"	"3"	"9"	"667"	"-"	"667"	"-"
"9"	"2"	"525"	"14"	"7"	"61"	"1"	"4"	"17"	"629"	"-"	"629"	"-"
"10"	"3"	"99"	"17"	"59"	"71"	"11"	"4"	"20"	"281"	"-"	"281"	"-"
"11"	"4"	"425"	"12"	"7"	"28"	"7"	"1"	"6"	"486"	"-"	"486"	"-"
"12"	"5"	"428"	"18"	"7"	"91"	"7"	"0"	"12"	"563"	"-"	"563"	"-"
"13"	"6"	"242"	"12"	"17"	"192"	"5"	"9"	"10"	"487"	"-"	"487"	"-"
"14"	"7"	"633"	"11"	"4"	"116"	"5"	"1"	"14"	"784"	"-"	"784"	"-"
"15"	"8"	"331"	"4"	"8"	"60"	"2"	"1"	"2"	"408"	"-"	"408"	"-"
"16"	"8A"	"332"	"14"	"30"	"84"	"6"	"3"	"8"	"477"	"-"	"477"	"-"
"17"	"9"	"185"	"6"	"1"	"87"	"5"	"1"	"5"	"290"	"-"	"290"	"-"
"18"	"9A"	"379"	"7"	"1"	"30"	"3"	"0"	"2"	"422"	"-"	"422"	"-"
"19"	"10"	"406"	"8"	"7"	"71"	"2"	"4"	"2"	"500"	"-"	"500"	"-"
"20"	"11"	"430"	"4"	"4"	"30"	"1"	"2"	"3"	"474"	"-"	"474"	"-"
"21"	"12"	"170"	"7"	"111"	"113"	"3"	"3"	"16"	"423"	"-"	"423"	"-"
"22"	"13"	"374"	"7"	"29"	"52"	"3"	"2"	"9"	"476"	"-"	"476"	"-"
"23"	"14"	"211"	"8"	"20"	"78"	"4"	"4"	"7"	"332"	"-"	"332"	"-"
"24"	"15"	"255"	"3"	"64"	"62"	"2"	"3"	"16"	"405"	"-"	"405"	"-"
"25"	"15A"	"203"	"10"	"149"	"24"	"2"	"3"	"11"	"402"	"-"	"402"	"-"
"26"	"16"	"228"	"15"	"10"	"227"	"18"	"8"	"17"	"523"	"-"	"523"	"-"
"27"	"17"	"122"	"6"	"39"	"175"	"4"	"1"	"1"	"348"	"-"	"348"	"-"
"28"	"18"	"274"	"7"	"17"	"113"	"6"	"7"	"8"	"432"	"-"	"432"	"-"
"29"	"19"	"313"	"13"	"15"	"92"	"9"	"3"	"9"	"454"	"-"	"454"	"-"
"30"	"20"	"67"	"4"	"101"	"15"	"1"	"4"	"13"	"205"	"-"	"205"	"-"
"31"	"21"	"120"	"1"	"1"	"48"	"0"	"1"	"0"	"171"	"-"	"171"	"-"
"32"	"22"	"191"	"9"	"13"	"122"	"7"	"4"	"12"	"358"	"-"	"358"	"-"
"33"	"22A"	"194"	"15"	"9"	"87"	"8"	"4"	"16"	"333"	"-"	"333"	"-"
"34"	"23"	"164"	"30"	"89"	"78"	"24"	"2"	"17"	"404"	"-"	"404"	"-"
"35"	"24"	"260"	"11"	"30"	"139"	"12"	"5"	"19"	"476"	"-"	"476"	"-"
"36"	"25"	"133"	"5"	"8"	"42"	"5"	"5"	"9"	"207"	"-"	"207"	"-"
"37"	"26"	"87"	"7"	"7"	"173"	"7"	"3"	"18"	"302"	"-"	"302"	"-"
"38"	"27"	"246"	"11"	"52"	"36"	"10"	"12"	"24"	"391"	"-"	"391"	"-"
"39"	"27A"	"182"	"14"	"66"	"49"	"8"	"10"	"25"	"354"	"-"	"354"	"-"
"40"	"28"	"232"	"17"	"46"	"98"	"15"	"3"	"26"	"437"	"-"	"437"	"-"
"41"	"28A"	"99"	"8"	"5"	"32"	"1"	"2"	"3"	"150"	"-"	"150"	"-"
"42"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"43"	""	"Dinkar Ram"	"Pratibha Kumari"	"Ram Swarth Paswan"	"Lalita Devi"	"Ram Naresh Ram"	"Kapildeo Paswan"	"Chitranjan Ram"	""	""	""	""
"44"	"30"	"191"	"14"	"19"	"98"	"14"	"13"	"31"	"390"	"-"	"390"	"-"
"45"	"31"	"301"	"16"	"16"	"61"	"16"	"7"	"31"	"448"	"-"	"448"	"-"
"46"	"32"	"12"	"3"	"23"	"132"	"8"	"1"	"3"	"182"	"-"	"182"	"-"
"47"	"33"	"250"	"28"	"50"	"134"	"8"	"1"	"27"	"498"	"-"	"498"	"-"
"48"	"34"	"253"	"2"	"4"	"52"	"1"	"2"	"2"	"316"	"-"	"316"	"-"
"49"	"35"	"330"	"17"	"21"	"194"	"21"	"14"	"34"	"631"	"-"	"631"	"-"
"50"	"36"	"360"	"9"	"12"	"57"	"4"	"2"	"15"	"459"	"-"	"459"	"-"
"51"	"37"	"415"	"26"	"35"	"123"	"15"	"3"	"16"	"633"	"-"	"633"	"-"
"52"	"38"	"234"	"14"	"56"	"112"	"14"	"8"	"17"	"455"	"-"	"455"	"-"
"53"	"39"	"194"	"13"	"10"	"224"	"19"	"7"	"10"	"477"	"-"	"477"	"-"
"54"	"40"	"152"	"5"	"6"	"179"	"123"	"7"	"6"	"478"	"-"	"478"	"-"
"55"	"41"	"18"	"6"	"17"	"188"	"31"	"4"	"5"	"269"	"-"	"269"	"-"
"56"	"42"	"268"	"15"	"16"	"158"	"34"	"3"	"20"	"514"	"-"	"514"	"-"
"57"	"43"	"207"	"18"	"5"	"73"	"24"	"7"	"17"	"351"	"-"	"351"	"-"
"58"	"43A"	"192"	"13"	"3"	"42"	"8"	"4"	"6"	"268"	"-"	"268"	"-"
"59"	"44"	"362"	"17"	"21"	"38"	"28"	"4"	"20"	"490"	"-"	"490"	"-"
"60"	"45"	"205"	"12"	"22"	"89"	"9"	"3"	"7"	"347"	"-"	"347"	"-"
"61"	"46"	"132"	"6"	"88"	"85"	"15"	"7"	"9"	"342"	"-"	"342"	"-"
"62"	"47"	"164"	"13"	"30"	"147"	"17"	"5"	"13"	"389"	"-"	"389"	"-"
"63"	"48"	"29"	"3"	"15"	"63"	"11"	"5"	"9"	"135"	"-"	"135"	"-"
