"fuEufyf.kr.vH.fFkZ.ksa.ds.i.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"ernku dsUnz dh Øe la[;k"	"vfuy dqekj HkkLdj"	"egsUnz ukjk;.k ljnkj"	";ksxsUnz uk0  ljnkj"	"fo'o eksgu Hkkjrh"	"v:.k dqekj jtd"	"dqekjh 'kksHkk"	"ykynkl ikloku"	"ukFkh jke"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"2"	"1"	"10"	"21"	"54"	"236"	"5"	"4"	"6"	"21"	"357"	""	"357"	""
"3"	"1d"	"1"	"24"	"34"	"267"	"6"	"0"	"6"	"17"	"355"	""	"355"	""
"4"	"2"	"8"	"31"	"46"	"245"	"7"	"14"	"7"	"14"	"372"	""	"372"	""
"5"	"3"	"9"	"10"	"68"	"220"	"14"	"2"	"3"	"11"	"337"	""	"337"	""
"6"	"4"	"8"	"29"	"25"	"375"	"14"	"11"	"11"	"28"	"501"	""	"501"	""
"7"	"5"	"0"	"91"	"43"	"244"	"6"	"3"	"3"	"15"	"405"	""	"405"	""
"8"	"6"	"4"	"12"	"27"	"282"	"10"	"5"	"6"	"14"	"360"	""	"360"	""
"9"	"7"	"25"	"9"	"9"	"376"	"5"	"10"	"13"	"36"	"483"	""	"483"	""
"10"	"8"	"38"	"71"	"15"	"333"	"7"	"8"	"12"	"30"	"514"	""	"514"	""
"11"	"9"	"15"	"119"	"21"	"221"	"8"	"7"	"9"	"29"	"429"	""	"429"	""
"12"	"9d"	"9"	"24"	"7"	"270"	"9"	"9"	"12"	"37"	"377"	""	"377"	""
"13"	"10"	"27"	"167"	"15"	"389"	"6"	"8"	"12"	"19"	"643"	""	"643"	""
