"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"(SEE RULE 56 (7) FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling station  other than notified polling stations) Election to the Bihar Legislative assembly from the 171-SIKANDRA"	""	""	""	""	""	""	""	""	""	""
"3"	"Total no of electors in assembly constituency-227719"	""	""	""	""	""	""	""	""	""	""
"4"	"No. valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"5"	"Sl.No. of Polling Station"	"PRAYAG CHOUDHAR Y"	"MAHADEO PRASAD"	"RAMESHWA R PASWAN"	"SANJAY KUMAR"	""	"Total of valid votes"	"Rejected Voters"	"Total"	"No. of tendered votes"	""
"6"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	""
"7"	"Postel b."	"0"	"0"	"1"	"0"	""	"1"	""	"1"	""	""
"8"	"1"	"107"	"44"	"88"	"18"	""	"257"	""	"-257"	"&"	""
"9"	"2"	"44"	"44"	"113"	"5"	""	"206"	"&"	"-206"	"&"	""
"10"	"3"	"165"	"28"	"35"	"3"	""	"231"	"&"	"-231"	"&"	""
"11"	"4"	"16"	"82"	"225"	"14"	""	"337"	"&"	"-337"	"&"	""
"12"	"5"	"20"	"14"	"176"	"11"	""	"221"	"&"	"-221"	"&"	""
"13"	"6"	"74"	"150"	"105"	"3"	""	"332"	"&"	"-332"	"&"	""
"14"	"7"	"63"	"216"	"112"	"9"	""	"400"	"&"	"-400"	"&"	""
"15"	"8"	"164"	"38"	"131"	"16"	""	"349"	"&"	"-349"	"&"	""
"16"	"9"	"105"	"45"	"34"	"6"	""	"190"	"&"	"-190"	"&"	""
"17"	"10"	"91"	"84"	"161"	"11"	""	"347"	"&"	"-347"	"&"	""
"18"	"11"	"116"	"8"	"111"	"3"	""	"238"	"&"	"-238"	"&"	""
"19"	"11A"	"65"	"30"	"139"	"6"	""	"240"	""	"-240"	""	""
"20"	"12"	"70"	"61"	"144"	"5"	""	"280"	"&"	"-280"	"&"	""
"21"	"12A"	"87"	"26"	"90"	"2"	""	"205"	"&"	"-205"	""	""
"22"	"13"	"62"	"82"	"221"	"16"	""	"381"	"&"	"-381"	"&"	""
"23"	"14"	"94"	"35"	"244"	"22"	""	"395"	"&"	"-395"	"&"	""
"24"	"15"	"137"	"147"	"152"	"11"	""	"447"	"&"	"-447"	"&"	""
"25"	"16"	"68"	"32"	"347"	"8"	""	"455"	"&"	"-455"	"&"	""
"26"	"17"	"80"	"50"	"94"	"50"	""	"274"	"&"	"-274"	"&"	""
"27"	"18"	"199"	"92"	"228"	"16"	""	"535"	"&"	"-535"	"&"	""
"28"	"19"	"114"	"62"	"124"	"14"	""	"314"	"&"	"-314"	"&"	""
"29"	"20"	"169"	"22"	"101"	"23"	""	"315"	"&"	"-315"	"&"	""
"30"	"21"	"42"	"26"	"340"	"11"	""	"419"	"&"	"-419"	"&"	""
"31"	"22"	"103"	"75"	"33"	"19"	""	"230"	"&"	"-230"	"&"	""
"32"	"23"	"150"	"67"	"234"	"11"	""	"462"	"&"	"-462"	"&"	""
"33"	"24"	"96"	"89"	"87"	"15"	""	"287"	"&"	"-287"	"&"	""
"34"	"25"	"47"	"14"	"201"	"1"	""	"263"	"&"	"-263"	"&"	""
"35"	"26"	"122"	"65"	"113"	"10"	""	"310"	"&"	"-310"	"&"	""
"36"	"27"	"128"	"84"	"263"	"26"	""	"501"	"&"	"-501"	"&"	""
"37"	"28"	"149"	"20"	"7"	"2"	""	"178"	"&"	"-178"	"&"	""
"38"	"29"	"138"	"70"	"183"	"5"	""	"396"	"&"	"-396"	"&"	""
"39"	"30"	"181"	"19"	"114"	"8"	""	"322"	"&"	"-322"	"&"	""
"40"	"31"	"203"	"18"	"106"	"13"	""	"340"	"&"	"-340"	"&"	""
"41"	"32"	"132"	"2"	"13"	"4"	""	"151"	"&"	"-151"	"&"	""
"42"	"33"	"220"	"57"	"270"	"24"	""	"571"	"&"	"-571"	"&"	""
"43"	"34"	"9"	"65"	"59"	"1"	""	"134"	"&"	"-134"	"&"	""
"44"	"35"	"68"	"99"	"212"	"12"	""	"391"	"&"	"-391"	"&"	""
"45"	"36"	"47"	"54"	"237"	"7"	""	"345"	"&"	"-345"	"&"	""
"46"	"Sl.No. of Polling Station"	"PRAYAG CHOUDHAR Y"	"MAHADEO PRASAD"	"RAMESHWA R PASWAN"	"SANJAY KUMAR"	""	"Total of valid votes"	"Rejected Voters"	"Total"	"No. of tendered votes"	""
"47"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	""
"48"	"37"	"103"	"28"	"32"	"12"	""	"175"	"&"	"-175"	"&"	""
"49"	"Sl.No. of Polling Station"	"PRAYAG CHOUDHAR Y"	"MAHADEO PRASAD"	"RAMESHWA R PASWAN"	"SANJAY KUMAR"	""	"Total of valid votes"	"Rejected Voters"	"Total"	"No. of tendered votes"	""
"50"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	""
"51"	"38"	"124"	"50"	"47"	"12"	""	"233"	"&"	"-233"	"&"	""
"52"	"39"	"158"	"41"	"259"	"27"	""	"485"	"&"	"-485"	"&"	""
"53"	"40"	"37"	"20"	"241"	"9"	""	"307"	"&"	"-307"	"&"	""
"54"	"41"	"12"	"74"	"299"	"13"	""	"398"	"&"	"-398"	"&"	""
"55"	"42"	"43"	"41"	"284"	"5"	""	"373"	"&"	"-373"	"&"	""
"56"	"43"	"173"	"82"	"64"	"8"	""	"327"	"&"	"-327"	"&"	""
"57"	"44"	"92"	"137"	"57"	"10"	""	"296"	"&"	"-296"	"&"	""
"58"	"45"	"50"	"54"	"262"	"12"	""	"378"	"&"	"-378"	"&"	""
"59"	"46"	"125"	"89"	"48"	"10"	""	"272"	"&"	"-272"	"&"	""
"60"	"47"	"25"	"33"	"106"	"0"	""	"164"	"&"	"-164"	"&"	""
"61"	"48"	"17"	"17"	"231"	"6"	""	"271"	"&"	"-271"	"&"	""
"62"	"49"	"42"	"17"	"422"	"27"	""	"508"	"&"	"-508"	"&"	""
"63"	"50"	"68"	"126"	"116"	"18"	""	"328"	"&"	"-328"	"&"	""
"64"	"51"	"111"	"22"	"181"	"7"	""	"321"	"&"	"-321"	"&"	""
"65"	"52"	"163"	"34"	"131"	"29"	""	"357"	"&"	"-357"	"&"	""
"66"	"53"	"11"	"53"	"406"	"13"	""	"483"	"&"	"-483"	"&"	""
"67"	"54"	"8"	"18"	"119"	"11"	""	"156"	"&"	"-156"	"&"	""
"68"	"55"	"61"	"57"	"68"	"22"	""	"208"	"&"	"-208"	"&"	""
"69"	"56"	"31"	"69"	"117"	"2"	""	"219"	"&"	"-219"	"&"	""
"70"	"57"	"110"	"20"	"86"	"13"	""	"229"	"&"	"-229"	"&"	""
"71"	"58"	"61"	"72"	"46"	"21"	""	"200"	"&"	"-200"	"&"	""
"72"	"59"	"19"	"5"	"258"	"10"	""	"292"	"&"	"-292"	"&"	""
"73"	"60"	"48"	"9"	"179"	"6"	""	"242"	"&"	"-242"	"&"	""
"74"	"61"	"9"	"21"	"191"	"21"	""	"242"	"&"	"-242"	"&"	""
"75"	"62"	"72"	"100"	"108"	"24"	""	"304"	"&"	"-304"	"&"	""
"76"	"62A"	"47"	"113"	"218"	"10"	""	"388"	""	"-388"	""	""
"77"	"63"	"311"	"67"	"88"	"9"	""	"475"	"&"	"-475"	"&"	""
"78"	"64"	"71"	"98"	"53"	"5"	""	"227"	"&"	"-227"	"&"	""
"79"	"65"	"23"	"31"	"235"	"2"	""	"291"	"&"	"-291"	"&"	""
"80"	"66"	"162"	"42"	"132"	"16"	""	"352"	"&"	"-352"	"&"	""
"81"	"67"	"191"	"120"	"60"	"15"	""	"386"	"&"	"-386"	"&"	""
"82"	"68"	"250"	"31"	"78"	"5"	""	"364"	"&"	"-364"	"&"	""
"83"	"69"	"51"	"144"	"94"	"6"	""	"295"	"&"	"-295"	"&"	""
"84"	"70"	"75"	"26"	"324"	"28"	""	"453"	"&"	"-453"	"&"	""
"85"	"71"	"137"	"6"	"188"	"7"	""	"338"	"&"	"-338"	"&"	""
"86"	"72"	"131"	"63"	"156"	"25"	""	"375"	"&"	"-375"	"&"	""
"87"	"73"	"103"	"28"	"135"	"19"	""	"285"	"&"	"-285"	"&"	""
"88"	"74"	"169"	"71"	"147"	"35"	""	"422"	"&"	"-422"	"&"	""
"89"	"75"	"12"	"14"	"353"	"22"	""	"401"	"&"	"-401"	"&"	""
"90"	"76"	"32"	"12"	"137"	"17"	""	"198"	"&"	"-198"	"&"	""
"91"	"77"	"202"	"6"	"60"	"7"	""	"275"	"&"	"-275"	"&"	""
"92"	"78"	"89"	"28"	"260"	"27"	""	"404"	"&"	"-404"	"&"	""
"93"	"79"	"29"	"65"	"256"	"19"	""	"369"	"&"	"-369"	"&"	""
"94"	"80"	"56"	"37"	"283"	"9"	""	"385"	"&"	"-385"	"&"	""
"95"	"81"	"42"	"21"	"191"	"11"	""	"265"	"&"	"-265"	"&"	""
"96"	"Sl.No. of Polling Station"	"PRAYAG CHOUDHAR Y"	"MAHADEO PRASAD"	"RAMESHWA R PASWAN"	"SANJAY KUMAR"	""	"Total of valid votes"	"Rejected Voters"	"Total"	"No. of tendered votes"	""
"97"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	""
"98"	"82"	"69"	"36"	"435"	"34"	""	"574"	"&"	"-574"	"&"	""
