"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"FINAL RESULT SHEET [SEE RULE 56(2) ( C ) ]"	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 162-KHARAGPUR ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""
"3"	"To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency/Segment"	""	""	""	""	""	""	""	""	""	""
"5"	"162- KHARAGPUR (VOTERS)"	""	""	""	""	""	""	""	""	""	""
"6"	"GENERAL VOTERS"	""	""	""	""	""	""	""	""	""	""
"7"	"SERVICE VOTERS"	""	""	""	""	""	""	""	""	""	""
"8"	"Name of Assembly Segment:- 162-Kharagpur"	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of Election form a Parlementary Constituency)"	""	""	""	""	""	""	""	""	""	""
"10"	"MEN                    WOMEN                    TOTAL                           MEN              WOMEN              TOTAL"	""	""	""	""	""	""	""	""	""	""
"11"	"120152                      101677                   221829                               93                        49                    142"	""	""	""	""	""	""	""	""	""	""
"12"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"13"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"14"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"15"	"1"	"173"	"37"	"18"	"189"	"14"	"8"	"439"	"0"	"439"	"0"
"16"	"1A"	"120"	"9"	"4"	"44"	"4"	"8"	"189"	"0"	"189"	"0"
"17"	"2"	"168"	"19"	"19"	"94"	"12"	"8"	"320"	"0"	"320"	"0"
"18"	"3"	"104"	"9"	"9"	"135"	"11"	"14"	"282"	"0"	"282"	"0"
"19"	"4"	"187"	"154"	"11"	"49"	"11"	"6"	"418"	"0"	"418"	"0"
"20"	"5"	"99"	"20"	"21"	"117"	"16"	"22"	"295"	"0"	"295"	"0"
"21"	"6"	"185"	"24"	"4"	"66"	"9"	"4"	"292"	"0"	"292"	"0"
"22"	"7"	"190"	"10"	"5"	"69"	"10"	"13"	"297"	"0"	"297"	"0"
"23"	"8"	"201"	"54"	"11"	"75"	"23"	"24"	"388"	"0"	"388"	"0"
"24"	"9"	"132"	"12"	"14"	"157"	"8"	"4"	"327"	"0"	"327"	"0"
"25"	"9A"	"172"	"20"	"3"	"128"	"8"	"6"	"337"	"0"	"337"	"0"
"26"	"10"	"129"	"13"	"7"	"188"	"14"	"22"	"373"	"0"	"373"	"0"
