"X."	"No..of.actual.votes.casted.in.favour.of.candidates"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"2"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"3"	"1"	"4"	"214"	"528"	"8"	"6"	"4"	"3"	"2"	"9"	"4"	"22"	"804"	""	"804"	""
"4"	"2"	"2"	"91"	"278"	"5"	"35"	"0"	"4"	"4"	"3"	"6"	"5"	"433"	""	"433"	""
"5"	"3"	"10"	"126"	"336"	"12"	"38"	"7"	"2"	"10"	"10"	"6"	"15"	"572"	""	"572"	""
"6"	"4"	"7"	"85"	"156"	"2"	"23"	"2"	"2"	"2"	"2"	"0"	"4"	"285"	""	"285"	""
"7"	"5"	"24"	"146"	"394"	"10"	"6"	"2"	"3"	"6"	"8"	"8"	"14"	"621"	""	"621"	""
"8"	"6"	"23"	"230"	"223"	"9"	"9"	"3"	"1"	"3"	"8"	"6"	"12"	"527"	""	"527"	""
"9"	"7"	"23"	"70"	"536"	"14"	"11"	"3"	"6"	"4"	"9"	"4"	"13"	"693"	""	"693"	""
"10"	"8"	"26"	"115"	"307"	"9"	"9"	"4"	"4"	"5"	"6"	"2"	"6"	"493"	""	"493"	""
"11"	"9"	"19"	"28"	"327"	"3"	"7"	"5"	"3"	"3"	"9"	"7"	"12"	"423"	""	"423"	""
"12"	"10"	"16"	"194"	"214"	"9"	"15"	"9"	"4"	"14"	"13"	"19"	"32"	"539"	""	"539"	""
"13"	"11"	"9"	"85"	"360"	"7"	"7"	"1"	"1"	"3"	"2"	"0"	"2"	"477"	""	"477"	""
"14"	"12"	"9"	"214"	"222"	"10"	"3"	"3"	"2"	"1"	"2"	"3"	"3"	"472"	""	"472"	""
"15"	"13"	"8"	"167"	"225"	"7"	"5"	"3"	"4"	"4"	"6"	"1"	"9"	"439"	""	"439"	""
"16"	"13A"	"11"	"155"	"207"	"2"	"5"	"2"	"0"	"1"	"4"	"2"	"9"	"398"	""	"398"	""
"17"	"Total"	"191"	"1920"	"4313"	"107"	"179"	"48"	"39"	"62"	"91"	"68"	"158"	"7176"	"0"	"7176"	"0"
"18"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"1                                                                  2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"22"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"23"	"14"	"18"	"174"	"241"	"11"	"15"	"8"	"7"	"12"	"11"	"20"	"20"	"537"	""	"537"	""
"24"	"15"	"8"	"77"	"200"	"1"	"1"	"1"	"2"	"2"	"6"	"4"	"1"	"303"	""	"303"	""
"25"	"16"	"6"	"56"	"442"	"11"	"8"	"1"	"2"	"0"	"2"	"1"	"4"	"533"	""	"533"	""
"26"	"17"	"21"	"98"	"186"	"13"	"8"	"4"	"3"	"1"	"12"	"9"	"36"	"391"	""	"391"	""
"27"	"18"	"10"	"92"	"258"	"4"	"8"	"5"	"3"	"3"	"5"	"1"	"3"	"392"	""	"392"	""
"28"	"19"	"14"	"219"	"78"	"10"	"3"	"1"	"5"	"7"	"7"	"5"	"12"	"361"	""	"361"	""
"29"	"20"	"9"	"69"	"241"	"6"	"3"	"7"	"7"	"4"	"1"	"5"	"2"	"354"	""	"354"	""
"30"	"21"	"18"	"312"	"378"	"15"	"6"	"7"	"6"	"5"	"15"	"5"	"19"	"786"	""	"786"	""
"31"	"22"	"10"	"276"	"190"	"9"	"5"	"4"	"2"	"6"	"3"	"9"	"14"	"528"	""	"528"	""
"32"	"23"	"13"	"171"	"157"	"7"	"2"	"6"	"0"	"1"	"9"	"10"	"7"	"383"	""	"383"	""
"33"	"24"	"10"	"108"	"273"	"13"	"4"	"5"	"6"	"2"	"2"	"2"	"1"	"426"	""	"426"	""
"34"	"25"	"14"	"342"	"229"	"9"	"1"	"9"	"5"	"8"	"8"	"10"	"20"	"655"	""	"655"	""
"35"	"26"	"16"	"349"	"300"	"12"	"12"	"9"	"11"	"18"	"24"	"10"	"21"	"782"	""	"782"	""
"36"	"27"	"11"	"220"	"197"	"12"	"11"	"9"	"7"	"8"	"5"	"5"	"14"	"499"	""	"499"	""
"37"	"Total"	"178"	"2563"	"3370"	"133"	"87"	"76"	"66"	"77"	"110"	"96"	"174"	"6930"	"0"	"6930"	"0"
"38"	"Cumm.Tot."	"369"	"4483"	"7683"	"240"	"266"	"124"	"105"	"139"	"201"	"164"	"332"	"14106"	"0"	"14106"	"0"
"39"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"2                                                                  2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"43"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"44"	"27A"	"5"	"47"	"247"	"2"	"8"	"1"	"2"	"0"	"3"	"3"	"1"	"319"	""	"319"	""
"45"	"28"	"10"	"374"	"221"	"14"	"9"	"6"	"9"	"8"	"21"	"10"	"18"	"700"	""	"700"	""
"46"	"29"	"2"	"99"	"219"	"3"	"5"	"1"	"4"	"5"	"6"	"12"	"19"	"375"	""	"375"	""
"47"	"30"	"7"	"310"	"192"	"12"	"6"	"4"	"8"	"6"	"10"	"5"	"15"	"575"	""	"575"	""
"48"	"31"	"7"	"491"	"218"	"10"	"17"	"8"	"13"	"15"	"14"	"15"	"20"	"828"	""	"828"	""
"49"	"32"	"10"	"182"	"70"	"6"	"2"	"2"	"3"	"3"	"4"	"7"	"11"	"300"	""	"300"	""
"50"	"33"	"5"	"263"	"111"	"9"	"5"	"1"	"8"	"4"	"14"	"11"	"12"	"443"	""	"443"	""
"51"	"34"	"11"	"327"	"110"	"6"	"5"	"3"	"3"	"4"	"7"	"6"	"7"	"489"	""	"489"	""
"52"	"35"	"11"	"233"	"228"	"7"	"4"	"4"	"2"	"0"	"5"	"5"	"6"	"505"	""	"505"	""
"53"	"35A"	"7"	"201"	"221"	"5"	"6"	"0"	"1"	"1"	"0"	"3"	"3"	"448"	""	"448"	""
"54"	"36"	"25"	"433"	"139"	"10"	"5"	"3"	"6"	"5"	"6"	"2"	"6"	"640"	""	"640"	""
"55"	"37"	"19"	"205"	"347"	"8"	"4"	"1"	"9"	"6"	"4"	"6"	"18"	"627"	""	"627"	""
"56"	"38"	"16"	"266"	"193"	"16"	"6"	"3"	"4"	"3"	"4"	"7"	"5"	"523"	""	"523"	""
"57"	"39"	"9"	"257"	"74"	"9"	"6"	"4"	"5"	"5"	"15"	"19"	"32"	"435"	""	"435"	""
"58"	"Total"	"144"	"3688"	"2590"	"117"	"88"	"41"	"77"	"65"	"113"	"111"	"173"	"7207"	"0"	"7207"	"0"
"59"	"Cumm.Tot."	"513"	"8171"	"10273"	"357"	"354"	"165"	"182"	"204"	"314"	"275"	"505"	"21313"	"0"	"21313"	"0"
"60"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"3                                                                  2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"64"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"65"	"40"	"9"	"92"	"160"	"3"	"7"	"0"	"2"	"1"	"6"	"4"	"2"	"286"	""	"286"	""
"66"	"41"	"15"	"84"	"243"	"13"	"7"	"4"	"3"	"2"	"4"	"8"	"6"	"389"	""	"389"	""
"67"	"42"	"9"	"198"	"305"	"9"	"19"	"1"	"4"	"4"	"11"	"4"	"4"	"568"	""	"568"	""
"68"	"43"	"18"	"28"	"333"	"56"	"21"	"6"	"4"	"8"	"7"	"8"	"8"	"497"	""	"497"	""
"69"	"44"	"17"	"376"	"100"	"12"	"21"	"12"	"11"	"7"	"13"	"11"	"8"	"588"	""	"588"	""
"70"	"45"	"9"	"246"	"182"	"4"	"2"	"2"	"9"	"4"	"7"	"4"	"5"	"474"	""	"474"	""
"71"	"46"	"28"	"282"	"192"	"16"	"16"	"10"	"14"	"4"	"11"	"4"	"3"	"580"	""	"580"	""
"72"	"47"	"5"	"112"	"115"	"3"	"4"	"2"	"4"	"3"	"3"	"2"	"7"	"260"	""	"260"	""
"73"	"48"	"17"	"326"	"168"	"4"	"9"	"2"	"2"	"2"	"5"	"2"	"2"	"539"	""	"539"	""
"74"	"49"	"11"	"239"	"186"	"7"	"5"	"4"	"5"	"0"	"5"	"1"	"3"	"466"	""	"466"	""
"75"	"50"	"25"	"187"	"332"	"8"	"11"	"8"	"7"	"1"	"10"	"6"	"10"	"605"	""	"605"	""
"76"	"51"	"11"	"398"	"168"	"11"	"8"	"2"	"6"	"2"	"6"	"1"	"4"	"617"	""	"617"	""
"77"	"52"	"11"	"421"	"92"	"9"	"10"	"6"	"5"	"9"	"13"	"8"	"13"	"597"	""	"597"	""
"78"	"53"	"10"	"426"	"58"	"7"	"7"	"4"	"5"	"4"	"12"	"10"	"5"	"548"	""	"548"	""
"79"	"Total"	"195"	"3415"	"2634"	"162"	"147"	"63"	"81"	"51"	"113"	"73"	"80"	"7014"	"0"	"7014"	"0"
"80"	"Cumm.Tot."	"708"	"11586"	"12907"	"519"	"501"	"228"	"263"	"255"	"427"	"348"	"585"	"28327"	"0"	"28327"	"0"
