"fuEufyf.kr.vH.fFkZ.ksa.ds.i.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"ernku  dsUnz dh Øe la[;k"	"vuhrk nsoh"	"fo'o eksgu dqekj"	"'kdqaryk izlkn"	"lat; dqekj pkS/kjh"	"ukjk;.k eaMy"	"cynso jke"	"';kekuUn
;kno"	"lathr  dqekj pkS/kjh"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"2"	"1"	"130"	"137"	"20"	"5"	"19"	"12"	"68"	"16"	"407"	""	"407"	""
"3"	"2"	"284"	"110"	"9"	"7"	"9"	"5"	"64"	"10"	"498"	""	"498"	""
"4"	"3"	"196"	"164"	"8"	"3"	"25"	"6"	"132"	"23"	"557"	""	"557"	""
"5"	"4"	"47"	"369"	"26"	"9"	"57"	"7"	"20"	"4"	"539"	""	"539"	""
"6"	"5"	"35"	"110"	"34"	"4"	"7"	"2"	"60"	"1"	"253"	""	"253"	""
"7"	"6"	"168"	"262"	"36"	"8"	"34"	"3"	"34"	"6"	"551"	""	"551"	""
"8"	"7"	"166"	"29"	"10"	"2"	"2"	"4"	"68"	"4"	"285"	""	"285"	""
"9"	"8"	"49"	"367"	"41"	"5"	"58"	"11"	"75"	"15"	"621"	""	"621"	""
"10"	"9"	"25"	"338"	"28"	"9"	"43"	"7"	"19"	"2"	"471"	""	"471"	""
"11"	"10"	"279"	"105"	"23"	"3"	"19"	"9"	"156"	"10"	"604"	""	"604"	""
"12"	"11"	"170"	"96"	"11"	"4"	"22"	"13"	"45"	"8"	"369"	""	"369"	""
"13"	"12"	"4"	"429"	"3"	"1"	"9"	"1"	"2"	"1"	"450"	""	"450"	""
"14"	"13"	"75"	"441"	"24"	"4"	"45"	"12"	"17"	"16"	"634"	""	"634"	""
"15"	"14"	"112"	"241"	"204"	"18"	"43"	"21"	"27"	"12"	"678"	""	"678"	""
"16"	"TOTAL-I"	"1740"	"3198"	"477"	"82"	"392"	"113"	"787"	"128"	"6917"	""	"6917"	""
"17"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"ernku  dsUnz dh Øe la[;k"	"vuhrk nsoh"	"fo'o eksgu dqekj"	"'kdqaryk izlkn"	"lat; dqekj pkS/kjh"	"ukjk;.k eaMy"	"cynso jke"	"';kekuUn
;kno"	"lathr  dqekj pkS/kjh"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"19"	"15"	"59"	"128"	"54"	"4"	"20"	"4"	"58"	"13"	"340"	""	"340"	""
"20"	"16"	"61"	"262"	"34"	"17"	"73"	"8"	"50"	"12"	"517"	""	"517"	""
"21"	"17"	"33"	"255"	"20"	"1"	"13"	"2"	"12"	"3"	"339"	""	"339"	""
"22"	"18"	"32"	"192"	"21"	"3"	"34"	"2"	"29"	"4"	"317"	""	"317"	""
"23"	"19"	"53"	"270"	"70"	"7"	"41"	"7"	"25"	"10"	"483"	""	"483"	""
"24"	"20"	"163"	"145"	"24"	"4"	"48"	"10"	"26"	"7"	"427"	""	"427"	""
"25"	"21"	"21"	"144"	"82"	"12"	"24"	"11"	"22"	"5"	"321"	""	"321"	""
"26"	"22"	"74"	"75"	"127"	"11"	"27"	"12"	"63"	"21"	"410"	""	"410"	""
"27"	"23"	"24"	"219"	"25"	"3"	"24"	"6"	"93"	"7"	"401"	""	"401"	""
"28"	"24"	"42"	"209"	"55"	"6"	"41"	"17"	"104"	"40"	"514"	""	"514"	""
