"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"3"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"4"	""	""	""	""	""	""	""	"Ist Round"	""	""
"5"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"7"	"1"	"48"	"82"	"57"	"72"	"19"	"7"	"12"	"64"	"361"
"8"	"2"	"35"	"60"	"86"	"41"	"12"	"9"	"15"	"73"	"331"
"9"	"3"	"16"	"46"	"50"	"64"	"16"	"4"	"10"	"162"	"368"
"10"	"4"	"20"	"84"	"105"	"20"	"8"	"5"	"6"	"4"	"252"
"11"	"5"	"38"	"219"	"119"	"148"	"20"	"5"	"8"	"39"	"596"
"12"	"6"	"46"	"220"	"147"	"26"	"13"	"11"	"11"	"102"	"576"
"13"	"7"	"34"	"12"	"33"	"7"	"4"	"6"	"19"	"306"	"421"
"14"	"7A"	"39"	"62"	"46"	"32"	"8"	"7"	"5"	"130"	"329"
"15"	"8"	"36"	"73"	"13"	"23"	"9"	"7"	"11"	"205"	"377"
"16"	"9"	"17"	"84"	"17"	"27"	"17"	"11"	"25"	"116"	"314"
"17"	"9A"	"40"	"67"	"34"	"58"	"23"	"12"	"8"	"136"	"378"
"18"	"10"	"37"	"112"	"22"	"26"	"15"	"6"	"13"	"148"	"379"
"19"	"11"	"40"	"158"	"112"	"20"	"10"	"2"	"1"	"59"	"402"
"20"	"11A"	"24"	"152"	"66"	"46"	"14"	"5"	"10"	"52"	"369"
"21"	";ksx"	"470"	"1431"	"907"	"610"	"188"	"97"	"154"	"1596"	"5453"
"22"	""	""	""	""	""	""	""	""	""	""
"23"	"LFkku &"	""	""	""	""	""	""	""	""	""
"24"	""	""	""	""	""	""	""	""	""	""
"25"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"26"	""	""	""	""	""	""	""	""	""	""
"27"	"izi=&20"	""	""	""	""	""	""	""	""	""
"28"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"29"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"30"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"31"	""	""	""	""	""	""	""	"2nd Round"	""	""
"32"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"33"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"34"	"12"	"18"	"128"	"186"	"41"	"11"	"11"	"6"	"18"	"419"
"35"	"13"	"54"	"123"	"123"	"19"	"8"	"16"	"22"	"59"	"424"
"36"	"14"	"24"	"174"	"57"	"9"	"14"	"7"	"9"	"22"	"316"
"37"	"15"	"15"	"83"	"38"	"7"	"2"	"6"	"4"	"12"	"167"
"38"	"16"	"27"	"210"	"138"	"24"	"8"	"10"	"11"	"10"	"438"
"39"	"17"	"25"	"172"	"124"	"43"	"22"	"10"	"20"	"34"	"450"
"40"	"18"	"25"	"116"	"243"	"53"	"11"	"19"	"20"	"44"	"531"
"41"	"19"	"15"	"46"	"73"	"146"	"10"	"1"	"5"	"2"	"298"
"42"	"20"	"11"	"306"	"188"	"43"	"1"	"6"	"10"	"12"	"577"
"43"	"21"	"9"	"318"	"236"	"21"	"8"	"23"	"15"	"28"	"658"
"44"	"22"	"12"	"255"	"192"	"86"	"14"	"15"	"6"	"11"	"591"
"45"	"23"	"7"	"118"	"175"	"11"	"2"	"2"	"6"	"9"	"330"
"46"	"24"	"8"	"224"	"86"	"10"	"9"	"2"	"7"	"6"	"352"
"47"	"24A"	"4"	"23"	"45"	"25"	"6"	"-"	"6"	"5"	"114"
"48"	";ksx"	"254"	"2296"	"1904"	"538"	"126"	"128"	"147"	"272"	"5665"
"49"	""	""	""	""	""	""	""	""	""	""
"50"	"LFkku &"	""	""	""	""	""	""	""	""	""
"51"	""	""	""	""	""	""	""	""	""	""
"52"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"53"	""	""	""	""	""	""	""	""	""	""
"54"	"izi=&20"	""	""	""	""	""	""	""	""	""
"55"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"56"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"57"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"58"	""	""	""	""	""	""	""	"3rd Round"	""	""
"59"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"60"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"61"	"25"	"14"	"286"	"134"	"112"	"24"	"8"	"10"	"9"	"597"
"62"	"26"	"25"	"84"	"93"	"124"	"24"	"7"	"9"	"3"	"369"
"63"	"27"	"24"	"229"	"287"	"102"	"31"	"10"	"5"	"13"	"701"
"64"	"28"	"24"	"148"	"284"	"178"	"29"	"12"	"8"	"31"	"714"
"65"	"29"	"20"	"131"	"61"	"129"	"14"	"5"	"8"	"9"	"377"
"66"	"30"	"36"	"109"	"448"	"52"	"13"	"12"	"8"	"20"	"698"
"67"	"31"	"24"	"188"	"117"	"111"	"20"	"12"	"7"	"14"	"493"
"68"	"32"	"32"	"100"	"455"	"83"	"16"	"13"	"12"	"19"	"730"
"69"	"33"	"13"	"139"	"211"	"53"	"15"	"9"	"8"	"20"	"468"
"70"	"34"	"33"	"173"	"181"	"72"	"18"	"10"	"10"	"26"	"523"
"71"	"35"	"13"	"128"	"221"	"19"	"5"	"12"	"5"	"16"	"419"
"72"	"36"	"28"	"177"	"233"	"36"	"17"	"7"	"24"	"11"	"533"
"73"	"37"	"26"	"127"	"234"	"29"	"6"	"12"	"17"	"23"	"474"
"74"	"38"	"22"	"102"	"212"	"48"	"16"	"18"	"11"	"64"	"493"
"75"	";ksx"	"334"	"2121"	"3171"	"1148"	"248"	"147"	"142"	"278"	"7589"
"76"	""	""	""	""	""	""	""	""	""	""
"77"	"LFkku &"	""	""	""	""	""	""	""	""	""
"78"	""	""	""	""	""	""	""	""	""	""
"79"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"80"	""	""	""	""	""	""	""	""	""	""
"81"	"izi=&20"	""	""	""	""	""	""	""	""	""
"82"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"83"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"84"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"85"	""	""	""	""	""	""	""	"4th Round"	""	""
"86"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"87"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"88"	"39"	"30"	"365"	"130"	"19"	"17"	"10"	"17"	"30"	"618"
"89"	"40"	"8"	"250"	"98"	"16"	"3"	"3"	"12"	"1"	"391"
"90"	"41"	"30"	"126"	"197"	"23"	"13"	"10"	"18"	"36"	"453"
"91"	"42"	"41"	"148"	"344"	"40"	"13"	"15"	"13"	"9"	"623"
"92"	"43"	"12"	"32"	"183"	"12"	"5"	"12"	"7"	"50"	"313"
"93"	"44"	"27"	"146"	"92"	"22"	"13"	"14"	"17"	"24"	"355"
"94"	"45"	"20"	"284"	"187"	"17"	"14"	"16"	"22"	"28"	"588"
"95"	"46"	"16"	"30"	"174"	"15"	"8"	"3"	"6"	"6"	"258"
"96"	"46A"	"8"	"26"	"102"	"11"	"7"	"9"	"5"	"8"	"176"
"97"	"47"	"7"	"85"	"251"	"58"	"9"	"12"	"7"	"11"	"440"
"98"	"48"	"28"	"130"	"174"	"53"	"9"	"10"	"16"	"21"	"441"
"99"	"49"	"21"	"135"	"169"	"51"	"10"	"6"	"20"	"9"	"421"
"100"	"49A"	"17"	"31"	"132"	"32"	"15"	"9"	"12"	"30"	"278"
"101"	"50"	"8"	"8"	"105"	"28"	"1"	"4"	"2"	"24"	"180"
"102"	";ksx"	"273"	"1796"	"2338"	"397"	"137"	"133"	"174"	"287"	"5535"
"103"	""	""	""	""	""	""	""	""	""	""
"104"	"LFkku &"	""	""	""	""	""	""	""	""	""
"105"	""	""	""	""	""	""	""	""	""	""
"106"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"107"	""	""	""	""	""	""	""	""	""	""
