"Serial.No.of.Polling.Station."	"Chandra.Vali.Thakur"	"Ramdev.Verma"	"Ram.Balak.Singh"	"Ram.Sagar.Mahto"	"Bijesh.Baitha"	"Total.of.valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.Tendered.Votes"
"1"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"2"	"-1"	"22"	"289"	"185"	"9"	"7"	"512"	""	"512"	""
"3"	"-2"	"54"	"97"	"355"	"21"	"22"	"549"	""	"549"	""
"4"	"-3"	"44"	"176"	"201"	"23"	"18"	"462"	""	"462"	""
"5"	"-4"	"41"	"190"	"187"	"24"	"21"	"463"	""	"463"	""
"6"	"-5"	"24"	"173"	"234"	"14"	"9"	"454"	""	"454"	""
"7"	"-6"	"12"	"118"	"213"	"13"	"14"	"370"	""	"370"	""
"8"	"-7"	"6"	"185"	"132"	"3"	"5"	"331"	""	"331"	""
"9"	"7A"	"15"	"83"	"133"	"7"	"9"	"247"	""	"247"	""
"10"	"-8"	"24"	"99"	"320"	"21"	"20"	"484"	""	"484"	""
"11"	"-9"	"56"	"200"	"284"	"29"	"50"	"619"	""	"619"	""
"12"	"-10"	"29"	"135"	"243"	"15"	"14"	"436"	""	"436"	""
"13"	"-11"	"26"	"87"	"223"	"19"	"24"	"379"	""	"379"	""
"14"	"11A"	"24"	"167"	"186"	"9"	"8"	"394"	""	"394"	""
"15"	"-12"	"29"	"264"	"190"	"18"	"16"	"517"	""	"517"	""
"16"	"Page Total"	"406"	"2263"	"3086"	"225"	"237"	"6217"	"0"	"6217"	"0"
"17"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"18"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"19"	"B.F."	"406"	"2263"	"3086"	"225"	"237"	"6217"	"0"	"6217"	"0"
"20"	"-13"	"49"	"175"	"250"	"12"	"7"	"493"	""	"493"	""
"21"	"-14"	"31"	"100"	"200"	"5"	"8"	"344"	""	"344"	""
"22"	"-15"	"156"	"188"	"203"	"23"	"24"	"594"	""	"594"	""
"23"	"-16"	"193"	"141"	"219"	"13"	"8"	"574"	""	"574"	""
"24"	"-17"	"253"	"25"	"115"	"11"	"11"	"415"	""	"415"	""
"25"	"17A"	"63"	"138"	"120"	"8"	"6"	"335"	""	"335"	""
"26"	"-18"	"130"	"41"	"344"	"16"	"16"	"547"	""	"547"	""
"27"	"-19"	"54"	"238"	"283"	"30"	"35"	"640"	""	"640"	""
"28"	"-20"	"167"	"99"	"64"	"7"	"13"	"350"	""	"350"	""
"29"	"20A"	"78"	"157"	"128"	"30"	"23"	"416"	""	"416"	""
"30"	"-21"	"73"	"84"	"194"	"1"	"3"	"355"	""	"355"	""
"31"	"-22"	"31"	"389"	"246"	"20"	"13"	"699"	""	"699"	""
"32"	"-23"	"86"	"190"	"73"	"6"	"2"	"357"	""	"357"	""
"33"	"23A"	"78"	"175"	"120"	"15"	"8"	"396"	""	"396"	""
"34"	"Page Total"	"1848"	"4403"	"5645"	"422"	"414"	"12732"	"0"	"12732"	"0"
"35"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"36"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"37"	"B.F."	"1848"	"4403"	"5645"	"422"	"414"	"12732"	"0"	"12732"	"0"
"38"	"-24"	"7"	"273"	"139"	"7"	"5"	"431"	""	"431"	""
"39"	"24A"	"17"	"297"	"81"	"3"	"4"	"402"	""	"402"	""
"40"	"-25"	"262"	"87"	"100"	"3"	"6"	"458"	""	"458"	""
"41"	"-26"	"61"	"338"	"107"	"11"	"10"	"527"	""	"527"	""
"42"	"-27"	"28"	"255"	"90"	"12"	"9"	"394"	""	"394"	""
"43"	"27A"	"20"	"206"	"98"	"3"	"6"	"333"	""	"333"	""
"44"	"-28"	"24"	"243"	"212"	"11"	"10"	"500"	""	"500"	""
"45"	"-29"	"15"	"228"	"148"	"7"	"10"	"408"	""	"408"	""
"46"	"29A"	"16"	"177"	"124"	"5"	"11"	"333"	""	"333"	""
"47"	"-30"	"45"	"374"	"250"	"26"	"20"	"715"	""	"715"	""
"48"	"-31"	"16"	"114"	"232"	"21"	"10"	"393"	""	"393"	""
"49"	"31A"	"6"	"203"	"131"	"20"	"8"	"368"	""	"368"	""
"50"	"-32"	"232"	"82"	"148"	"4"	"4"	"470"	""	"470"	""
"51"	"-33"	"43"	"282"	"249"	"22"	"8"	"604"	""	"604"	""
"52"	"Page Total"	"2640"	"7562"	"7754"	"577"	"535"	"19068"	"0"	"19068"	"0"
