"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of Electors in Assembly Constituency/Segment      217152"	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly/Segment                                            204-Jagdishpur"	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of election from a Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""
"10"	""	""	"AJAY KUMAR
SINGH"	"ABINASH SINGH"	"DINESH KUMAR
SINGH"	"MAHESH RAM"	"SRI BHAGWAN
SINGH"	"SACHIDANAND
SINGH"	"VIJAY SHANKAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"11"	"Serial No. of Polling Stations"	""	"LJSP"	"CPI(ML)(L)"	"RJD"	"BSP"	"JD(U)"	"SP"	"IND"	""	""	""	""
"12"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"13"	"1"	"P.S. YOGIYA (N)"	"61"	"4"	"125"	"21"	"138"	"15"	"12"	"376"	"0"	"376"	"0"
"14"	"2"	"P.S. YOGIYA (S)"	"13"	"6"	"160"	"5"	"203"	"5"	"3"	"395"	"0"	"395"	"0"
"15"	"3"	"P.S. GARHATHA KHURD"	"65"	"12"	"139"	"5"	"152"	"5"	"2"	"380"	"0"	"380"	"0"
"16"	"4"	"P.S. OJHWALIYA"	"0"	"2"	"0"	"0"	"23"	"0"	"0"	"25"	"0"	"25"	"0"
"17"	"5"	"P.S. KANT (N)"	"23"	"9"	"359"	"9"	"98"	"3"	"6"	"507"	"0"	"507"	"0"
"18"	"6"	"P.S. KANT (S)"	"41"	"10"	"282"	"43"	"117"	"4"	"9"	"506"	"0"	"506"	"0"
"19"	"7"	"NEW PANCHAYET BUILDING, KANT"	"16"	"10"	"256"	"13"	"132"	"10"	"8"	"445"	"0"	"445"	"0"
"20"	"8"	"M.S. BHARKHAR"	"97"	"10"	"73"	"29"	"340"	"3"	"18"	"570"	"0"	"570"	"0"
"21"	"9"	"P.M.S. RAHATHUA (W)"	"40"	"29"	"201"	"8"	"192"	"7"	"13"	"490"	"0"	"490"	"0"
"22"	"10"	"P.M.S. RAHATHUA (E)"	"27"	"74"	"137"	"8"	"180"	"14"	"8"	"448"	"0"	"448"	"0"
"23"	"11"	"P.S. RAGHUNATHPUR (W)"	"78"	"8"	"109"	"6"	"303"	"6"	"10"	"520"	"0"	"520"	"0"
"24"	"12"	"P.S. RAGHUNATHPUR (M)"	"30"	"8"	"146"	"7"	"195"	"8"	"14"	"408"	"0"	"408"	"0"
"25"	"13"	"P.S. RAGHUNATHPUR (E)"	"32"	"12"	"150"	"67"	"273"	"11"	"11"	"556"	"0"	"556"	"0"
"26"	"14"	"P.S. GIRL RAGHUNATHPUR"	"39"	"13"	"215"	"8"	"344"	"8"	"4"	"631"	"0"	"631"	"0"
"27"	"15"	"M.S. RAGHUNATHPUR (E)"	"34"	"13"	"389"	"25"	"230"	"9"	"14"	"714"	"0"	"714"	"0"
"28"	"16"	"P.S. BASWAR"	"7"	"17"	"202"	"15"	"223"	"5"	"8"	"477"	"0"	"477"	"0"
"29"	"17"	"P.S. PIPRADH"	"2"	"0"	"142"	"1"	"69"	"1"	"1"	"216"	"0"	"216"	"0"
"30"	"18"	"P.S. RAJPUR"	"8"	"19"	"102"	"9"	"263"	"6"	"8"	"415"	"0"	"415"	"0"
"31"	"19"	"P.S. POKHARAHI (TOLA, DEVI SINGH)"	"11"	"23"	"356"	"15"	"117"	"11"	"16"	"549"	"0"	"549"	"0"
"32"	"20"	"P.S. POKHARAHI"	"8"	"1"	"314"	"7"	"107"	"4"	"4"	"445"	"0"	"445"	"0"
"33"	""	""	"AJAY KUMAR
SINGH"	"ABINASH SINGH"	"DINESH KUMAR
SINGH"	"MAHESH RAM"	"SRI BHAGWAN
SINGH"	"SACHIDANAND
SINGH"	"VIJAY SHANKAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"34"	"Serial No. of Polling Stations"	""	"LJSP"	"CPI(ML)(L)"	"RJD"	"BSP"	"JD(U)"	"SP"	"IND"	""	""	""	""
"35"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"36"	"21"	"SAMUDAIYAK BHAWAN, POKHARAHI"	"50"	"132"	"90"	"4"	"191"	"5"	"7"	"479"	"0"	"479"	"0"
"37"	"22"	"P.S. AKODHI"	"36"	"24"	"101"	"4"	"108"	"1"	"4"	"278"	"0"	"278"	"0"
"38"	"23"	"P.S. KAITHI (E)"	"21"	"6"	"114"	"4"	"311"	"6"	"8"	"470"	"0"	"470"	"0"
"39"	"24"	"P.S. KAITHI (W)"	"18"	"1"	"148"	"4"	"175"	"5"	"8"	"359"	"0"	"359"	"0"
"40"	"25"	"P.S. GIRL KAITHI"	"31"	"7"	"286"	"10"	"48"	"1"	"5"	"388"	"0"	"388"	"0"
"41"	"26"	"P.S. KAITHI (MATHIYA TOLA)"	"0"	"0"	"516"	"0"	"33"	"2"	"1"	"552"	"0"	"552"	"0"
"42"	"27"	"P.S. DHARAULI (W)"	"5"	"1"	"73"	"1"	"266"	"0"	"2"	"348"	"0"	"348"	"0"
"43"	"28"	"P.S. DHARAULI (E)"	"31"	"5"	"233"	"26"	"180"	"11"	"26"	"512"	"0"	"512"	"0"
"44"	"29"	"AMIR M.S. BAGEN (E)"	"11"	"55"	"162"	"7"	"183"	"6"	"9"	"433"	"0"	"433"	"0"
"45"	"30"	"PANCHAYET BUILDING, BAGEN"	"25"	"170"	"131"	"6"	"112"	"8"	"8"	"460"	"0"	"460"	"0"
"46"	"31"	"AMIR M.S. BAGEN (W)"	"5"	"33"	"120"	"7"	"174"	"6"	"9"	"354"	"0"	"354"	"0"
"47"	"32"	"P.S.BARUHAN (NEW BUILDING)"	"8"	"7"	"54"	"3"	"229"	"4"	"3"	"308"	"0"	"308"	"0"
"48"	"33"	"P.S. BARUHAN"	"19"	"26"	"135"	"10"	"140"	"8"	"4"	"342"	"0"	"342"	"0"
"49"	"34"	"P.S. KURUTHIYAN"	"22"	"13"	"170"	"13"	"183"	"2"	"13"	"416"	"0"	"416"	"0"
"50"	"35"	"P.S. RAMDIHA"	"0"	"17"	"412"	"4"	"6"	"2"	"0"	"441"	"0"	"441"	"0"
