"X013.ADAPUR"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"Booth"	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	""	""	""	""	"PRABHU DEO YADAV"	""	"RAM KUWAR RAM"	""	"SHYAM BIHARI PRASAD"	"SABIR ALI"	"HARI SHANKAR PD. YADAV"	"KALAMUDDIN"	"NASIM AFROJ"	"MANOJ PASWAN"	"SHATRUDHAN SINGH"	"SHIV SHANKAR PRASAD"	"Total"
"3"	"No"	""	""	"Ext"	"Voters"	"Round"	"1"	""	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"12"
"4"	"1"	""	""	""	"1253"	"1"	"10"	""	"8"	""	"328"	"202"	"126"	"12"	"6"	"11"	"12"	"11"	"726"
"5"	"2"	""	""	""	"1297"	"1"	"11"	""	"8"	""	"207"	"189"	"277"	"20"	"9"	"18"	"4"	"13"	"756"
"6"	"3"	""	""	""	"1177"	"1"	"6"	""	"4"	""	"231"	"284"	"29"	"7"	"11"	"27"	"16"	"39"	"654"
"7"	"4"	""	""	""	"1312"	"1"	"11"	""	"3"	""	"465"	"219"	"33"	"3"	"1"	"10"	"8"	"23"	"776"
"8"	"5"	""	""	""	"800"	"1"	"3"	""	"3"	""	"245"	"19"	"85"	"2"	"2"	"5"	"6"	"14"	"384"
"9"	"6"	""	""	""	"952"	"1"	"8"	""	"6"	""	"233"	"45"	"102"	"6"	"2"	"13"	"9"	"26"	"450"
"10"	"7"	""	""	""	"825"	"1"	"9"	""	"8"	""	"323"	"58"	"54"	"4"	"5"	"3"	"7"	"1"	"472"
"11"	"8"	""	""	""	"820"	"1"	"7"	""	"5"	""	"272"	"60"	"131"	"4"	"0"	"3"	"5"	"9"	"496"
"12"	"9"	""	""	""	"1346"	"1"	"13"	""	"4"	""	"165"	"367"	"84"	"16"	"9"	"13"	"21"	"45"	"737"
"13"	"10"	""	""	""	"1188"	"1"	"9"	""	"9"	""	"413"	"132"	"23"	"6"	"2"	"8"	"5"	"7"	"614"
"14"	"11"	""	""	""	"947"	"2"	"9"	""	"6"	""	"191"	"220"	"43"	"9"	"1"	"7"	"10"	"6"	"502"
"15"	"12"	""	""	""	"1156"	"2"	"8"	""	"2"	""	"176"	"196"	"113"	"3"	"9"	"9"	"27"	"6"	"549"
"16"	"13"	""	""	""	"1188"	"2"	"6"	""	"4"	""	"189"	"13"	"239"	"9"	"6"	"11"	"12"	"16"	"505"
"17"	"14"	""	""	""	"1299"	"2"	"6"	""	"11"	""	"278"	"96"	"123"	"3"	"10"	"28"	"49"	"10"	"614"
"18"	"15"	""	""	""	"992"	"2"	"14"	""	"4"	""	"144"	"256"	"51"	"10"	"4"	"10"	"54"	"21"	"568"
"19"	"15"	""	""	"A"	"462"	"2"	"3"	""	"1"	""	"10"	"92"	"7"	"4"	"4"	"4"	"100"	"7"	"232"
"20"	"16"	""	""	""	"1036"	"2"	"8"	""	"1"	""	"115"	"56"	"61"	"8"	"7"	"11"	"281"	"32"	"580"
"21"	"17"	""	""	""	"1387"	"2"	"22"	""	"4"	""	"265"	"102"	"133"	"15"	"4"	"14"	"117"	"14"	"690"
"22"	"18"	""	""	""	"980"	"2"	"6"	""	"5"	""	"219"	"78"	"144"	"10"	"6"	"20"	"24"	"27"	"539"
"23"	"19"	""	""	""	"1295"	"2"	"10"	""	"2"	""	"111"	"104"	"123"	"4"	"2"	"3"	"11"	"6"	"376"
"24"	"20"	""	""	""	"1356"	"3"	"8"	""	"8"	""	"261"	"184"	"146"	"5"	"6"	"4"	"11"	"11"	"644"
"25"	"21"	""	""	""	"851"	"3"	"9"	""	"4"	""	"140"	"160"	"47"	"9"	"3"	"7"	"34"	"19"	"432"
"26"	"22"	""	""	""	"962"	"3"	"5"	""	"3"	""	"129"	"285"	"32"	"4"	"0"	"6"	"8"	"13"	"485"
"27"	"23"	""	""	""	"1052"	"3"	"9"	""	"3"	""	"134"	"245"	"139"	"9"	"6"	"9"	"7"	"15"	"576"
"28"	"24"	""	""	""	"549"	"3"	"12"	""	"7"	""	"376"	"172"	"6"	"8"	"7"	"13"	"10"	"17"	"628"
"29"	"24"	""	""	"A"	"944"	"3"	"7"	""	"3"	""	"182"	"61"	"9"	"4"	"1"	"3"	"2"	"9"	"281"
"30"	"25"	""	""	""	"1246"	"3"	"9"	""	"4"	""	"474"	"110"	"16"	"3"	"2"	"14"	"13"	"24"	"669"
"31"	"26"	""	""	""	"910"	"3"	"6"	""	"3"	""	"282"	"122"	"6"	"3"	"3"	"14"	"4"	"22"	"465"
"32"	"27"	""	""	""	"941"	"3"	"8"	""	"3"	""	"441"	"34"	"3"	"2"	"1"	"8"	"6"	"18"	"524"
