"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE LEGISLATIVE ASSEMBLY FROM 165-KHAGARIA ASSEMBLY CONSTITUENCY PART-1"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used both for parliamentary and assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Elector in Assembly Constituency/Segment: 211740"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. and Name of the Assembly/segment- 165-KHAGARIA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(in the Case of Election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No.- 1"	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"9"	""	"GITA YADAV (CPM)"	"POONAM DEVI (YADAV) (JD(U))"	"SATYADEO SINGH (LJP)"	"BARSHA RANI
(SJP ( R ) )"	"DR. BIBHUTI YADAV   (SP)"	"SATYENDRA KUMAR (ABDBM)"	"CHANDRAMUKHI DEVI
(IND)"	"DHARMENDRA KUMAR
(IND)"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"11"	"1"	"35"	"64"	"51"	"14"	"3"	"13"	"9"	"53"	"242"	""	"242"	""
"12"	"2"	"91"	"24"	"12"	"2"	"2"	"8"	"5"	"69"	"213"	""	"213"	""
"13"	"3"	"48"	"148"	"147"	"13"	"4"	"7"	"114"	"82"	"563"	""	"563"	""
"14"	"4"	"86"	"188"	"76"	"10"	"3"	"5"	"18"	"34"	"420"	""	"420"	""
"15"	"4A"	"74"	"146"	"125"	"3"	"1"	"4"	"3"	"3"	"359"	""	"359"	""
"16"	"5"	"46"	"297"	"35"	"5"	"6"	"23"	"27"	"103"	"542"	""	"542"	""
"17"	"6"	"33"	"222"	"5"	"6"	"2"	"15"	"14"	"154"	"451"	""	"451"	""
"18"	"7"	"152"	"136"	"33"	"3"	"4"	"6"	"16"	"51"	"401"	""	"401"	""
"19"	"8"	"50"	"265"	"50"	"8"	"8"	"14"	"37"	"116"	"548"	""	"548"	""
"20"	"9"	"23"	"137"	"11"	"4"	"2"	"7"	"44"	"87"	"315"	""	"315"	""
"21"	"9A"	"12"	"129"	"9"	"1"	"0"	"3"	"73"	"89"	"316"	""	"316"	""
"22"	"10"	"30"	"167"	"102"	"5"	"4"	"9"	"39"	"74"	"430"	""	"430"	""
"23"	"10A"	"56"	"60"	"62"	"6"	"3"	"12"	"30"	"28"	"257"	""	"257"	""
"24"	"11"	"53"	"173"	"56"	"6"	"9"	"9"	"13"	"122"	"441"	""	"441"	""
"25"	"Round-1
Total"	"789"	"2156"	"774"	"86"	"51"	"135"	"442"	"1065"	"5498"	"0"	"5498"	"0"
"26"	"165-KHAGARIA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Round No.- 2"	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"29"	""	"GITA YADAV (CPM)"	"POONAM DEVI (YADAV) (JD(U))"	"SATYADEO SINGH (LJP)"	"BARSHA RANI
(SJP ( R ) )"	"DR. BIBHUTI YADAV   (SP)"	"SATYENDRA KUMAR (ABDBM)"	"CHANDRAMUKHI DEVI
(IND)"	"DHARMENDRA KUMAR
(IND)"	""	""	""	""
"30"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"31"	"B/F"	"789"	"2156"	"774"	"86"	"51"	"135"	"442"	"1065"	"5498"	"0"	"5498"	"0"
"32"	"12"	"165"	"307"	"15"	"2"	"7"	"9"	"3"	"11"	"519"	""	"519"	""
"33"	"13"	"36"	"464"	"19"	"2"	"1"	"14"	"4"	"1"	"541"	""	"541"	""
"34"	"14"	"98"	"317"	"27"	"3"	"2"	"13"	"27"	"15"	"502"	""	"502"	""
"35"	"15"	"300"	"116"	"31"	"11"	"13"	"5"	"17"	"38"	"531"	""	"531"	""
"36"	"16"	"387"	"141"	"8"	"4"	"5"	"6"	"4"	"9"	"564"	""	"564"	""
"37"	"17"	"95"	"203"	"97"	"10"	"2"	"6"	"29"	"86"	"528"	""	"528"	""
"38"	"18"	"148"	"415"	"55"	"2"	"15"	"13"	"25"	"66"	"739"	""	"739"	""
"39"	"19"	"252"	"67"	"67"	"9"	"16"	"5"	"8"	"44"	"468"	""	"468"	""
"40"	"19A"	"172"	"72"	"38"	"4"	"4"	"4"	"5"	"22"	"321"	""	"321"	""
"41"	"20"	"116"	"389"	"53"	"1"	"4"	"11"	"37"	"12"	"623"	""	"623"	""
