"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(CHAPTER XIV, PARA 2.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET ( SEE RULE 56 C (2) (C) )"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE LEGISLATIVE ASSEMBLY FROM THE 207 - KARAKAT ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly :- 207 - KARAKAT"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Serial No. of Polling Station"	"No of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	"Arun Singh"	"Anand Kumar Singh"	"Nawab Hussai n"	"Vijay Kumar"	"Rajesh war Raj"	"Kamala Prasad Singh"	"Kashi Nath Ram"	"Tulsi Singh"	"Baban Sigh Kuswa ha"	"Bijay Kumar"	"Sona Ram"	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"10"	"1"	"172"	"159"	"5"	"0"	"18"	"0"	"0"	"74"	"0"	"3"	"25"	"456"	"0"	"456"	""	""
"11"	"2"	"137"	"351"	"54"	"10"	"41"	"2"	"0"	"8"	"0"	"4"	"0"	"607"	"0"	"607"	""	""
"12"	"3"	"146"	"36"	"36"	"5"	"80"	"6"	"1"	"2"	"6"	"8"	"14"	"340"	"0"	"340"	""	""
"13"	"4"	"157"	"7"	"18"	"27"	"188"	"2"	"4"	"8"	"2"	"0"	"3"	"416"	"0"	"416"	""	""
"14"	"5"	"249"	"9"	"23"	"1"	"128"	"3"	"1"	"8"	"1"	"7"	"3"	"433"	"0"	"433"	""	""
"15"	"6"	"153"	"191"	"34"	"2"	"152"	"1"	"0"	"32"	"3"	"1"	"3"	"572"	"0"	"572"	""	""
"16"	"7"	"237"	"10"	"7"	"0"	"258"	"4"	"2"	"7"	"0"	"1"	"2"	"528"	"0"	"528"	""	""
"17"	"8"	"187"	"121"	"3"	"2"	"214"	"2"	"2"	"20"	"1"	"3"	"5"	"560"	"0"	"560"	""	""
"18"	"9"	"84"	"48"	"7"	"0"	"255"	"1"	"1"	"3"	"0"	"1"	"2"	"402"	"0"	"402"	""	""
