"Election.to.the..Bihar.Legislative..Assembly..From.95.SAMASTIPUR.Assembly..Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"2"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"4"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"5"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"6"	"1"	"8"	"7"	"14"	"207"	"0"	"2"	"5"	"243"	""	"243"	""
"7"	"2"	"9"	"4"	"178"	"88"	"3"	"6"	"5"	"293"	""	"293"	""
"8"	"3"	"37"	"72"	"72"	"110"	"6"	"3"	"3"	"303"	""	"303"	""
"9"	"3A"	"46"	"22"	"118"	"169"	"7"	"4"	"3"	"369"	""	"369"	""
"10"	"4"	"46"	"14"	"84"	"241"	"5"	"3"	"8"	"401"	""	"401"	""
"11"	"5"	"19"	"6"	"95"	"153"	"7"	"4"	"16"	"300"	""	"300"	""
"12"	"6"	"182"	"11"	"62"	"186"	"2"	"11"	"18"	"472"	""	"472"	""
"13"	"7"	"114"	"6"	"25"	"248"	"8"	"11"	"8"	"420"	""	"420"	""
"14"	"8"	"67"	"11"	"111"	"44"	"4"	"5"	"12"	"254"	""	"254"	""
"15"	"9"	"211"	"23"	"11"	"85"	"6"	"7"	"5"	"348"	""	"348"	""
"16"	"10"	"44"	"9"	"83"	"336"	"17"	"11"	"36"	"536"	""	"536"	""
"17"	"11"	"33"	"12"	"156"	"132"	"5"	"2"	"9"	"349"	""	"349"	""
"18"	"12"	"30"	"2"	"42"	"138"	"0"	"5"	"3"	"220"	""	"220"	""
"19"	"13"	"72"	"33"	"115"	"144"	"11"	"5"	"8"	"388"	""	"388"	""
"20"	"Page Total"	"918"	"232"	"1166"	"2281"	"81"	"79"	"139"	"4896"	"0"	"4896"	"0"
"21"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"22"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"23"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"24"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"25"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"26"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"27"	"B.F."	"918"	"232"	"1166"	"2281"	"81"	"79"	"139"	"4896"	"0"	"4896"	"0"
"28"	"14"	"237"	"30"	"115"	"179"	"8"	"16"	"14"	"599"	""	"599"	""
"29"	"15"	"87"	"3"	"85"	"182"	"1"	"4"	"7"	"369"	""	"369"	""
"30"	"16"	"97"	"8"	"11"	"294"	"11"	"12"	"17"	"450"	""	"450"	""
"31"	"17"	"276"	"9"	"48"	"250"	"6"	"9"	"12"	"610"	""	"610"	""
"32"	"18"	"130"	"16"	"196"	"69"	"6"	"4"	"10"	"431"	""	"431"	""
"33"	"19"	"98"	"15"	"17"	"127"	"4"	"5"	"7"	"273"	""	"273"	""
"34"	"20"	"128"	"4"	"39"	"147"	"5"	"4"	"6"	"333"	""	"333"	""
"35"	"21"	"60"	"7"	"65"	"210"	"6"	"10"	"13"	"371"	""	"371"	""
"36"	"22"	"129"	"7"	"106"	"324"	"10"	"9"	"12"	"597"	""	"597"	""
"37"	"23"	"168"	"5"	"167"	"223"	"9"	"7"	"12"	"591"	""	"591"	""
"38"	"24"	"36"	"2"	"59"	"134"	"6"	"2"	"14"	"253"	""	"253"	""
"39"	"24A"	"39"	"10"	"22"	"283"	"10"	"10"	"17"	"391"	""	"391"	""
"40"	"25"	"32"	"4"	"99"	"165"	"5"	"1"	"4"	"310"	""	"310"	""
"41"	"25A"	"64"	"8"	"10"	"310"	"3"	"4"	"3"	"402"	""	"402"	""
