"Total.No..of.Electors.in.Assembly.Constituency...249962"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"7"	"1"	"11"	"38"	"394"	"10"	"3"	"1"	"2"	"459"	"0"	"459"	"0"	""
"8"	"2"	"5"	"106"	"311"	"15"	"1"	"1"	"1"	"440"	"0"	"440"	"0"	""
"9"	"3"	"7"	"178"	"445"	"14"	"1"	"8"	"6"	"659"	"0"	"659"	"0"	""
"10"	"4"	"7"	"134"	"228"	"4"	"6"	"2"	"2"	"383"	"0"	"383"	"0"	""
"11"	"5"	"7"	"145"	"392"	"5"	"3"	"5"	"10"	"567"	"0"	"567"	"0"	""
"12"	"6"	"1"	"193"	"153"	"4"	"0"	"3"	"2"	"356"	"0"	"356"	"0"	""
"13"	"7"	"7"	"234"	"277"	"4"	"4"	"2"	"5"	"533"	"0"	"533"	"0"	""
"14"	"8"	"6"	"152"	"217"	"5"	"1"	"0"	"0"	"381"	"0"	"381"	"0"	""
"15"	"8A"	"5"	"69"	"210"	"13"	"32"	"5"	"4"	"338"	"0"	"338"	"0"	""
"16"	"9"	"7"	"308"	"74"	"2"	"2"	"0"	"3"	"396"	"0"	"396"	"0"	""
"17"	"10"	"5"	"173"	"98"	"1"	"3"	"0"	"1"	"281"	"0"	"281"	"0"	""
"18"	"11"	"6"	"131"	"300"	"3"	"1"	"1"	"5"	"447"	"0"	"447"	"0"	""
"19"	"12"	"6"	"103"	"307"	"7"	"2"	"1"	"5"	"431"	"0"	"431"	"0"	""
"20"	"13"	"7"	"86"	"261"	"7"	"5"	"3"	"2"	"371"	"0"	"371"	"0"	""
"21"	"Total"	"87"	"2050"	"3667"	"94"	"64"	"32"	"48"	"6042"	"0"	"6042"	"0"	""
"22"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"26"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
