"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"(CHAPTER   XIV, PARA   26.9) FORM - 20"	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C (7) ]"	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 105 BEGUSARAI A.C"	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency ------------------------------"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly  - 105 BEGUSARAI A.C."	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of"
"7"	""	"Upendra Singh"	"Kamli Mahto"	"Narayan Prasad Hisaria"	"Bhola Singh"	"Rajendra Prasad Singh"	"Md.
Ahatasha"	"Rabindra Kumar"	""	""	""	"Tendered votes"
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"9"	"1"	"63"	"112"	"13"	"195"	"26"	"2"	"2"	"413"	"0"	"413"	"0"
"10"	"2"	"30"	"68"	"1"	"89"	"13"	"0"	"0"	"201"	"0"	"201"	"0"
"11"	"2A"	"56"	"103"	"8"	"84"	"15"	"3"	"4"	"273"	"0"	"273"	"0"
"12"	"3"	"42"	"74"	"4"	"100"	"19"	"0"	"1"	"240"	"0"	"240"	"0"
"13"	"3A"	"196"	"16"	"6"	"79"	"10"	"0"	"5"	"312"	"0"	"312"	"0"
"14"	"4"	"23"	"121"	"5"	"182"	"25"	"5"	"1"	"362"	"0"	"362"	"0"
"15"	"4A"	"120"	"214"	"2"	"67"	"36"	"3"	"8"	"450"	"0"	"450"	"0"
"16"	"5"	"23"	"297"	"4"	"224"	"97"	"7"	"6"	"658"	"0"	"658"	"0"
"17"	"6"	"54"	"187"	"9"	"186"	"85"	"15"	"16"	"552"	"0"	"552"	"0"
"18"	"7"	"50"	"100"	"1"	"296"	"37"	"6"	"2"	"492"	"0"	"492"	"0"
"19"	"8"	"52"	"106"	"5"	"364"	"26"	"1"	"3"	"557"	"0"	"557"	"0"
"20"	"9"	"15"	"94"	"3"	"269"	"35"	"9"	"2"	"427"	"0"	"427"	"0"
"21"	"10"	"90"	"197"	"8"	"138"	"34"	"3"	"12"	"482"	"0"	"482"	"0"
"22"	"11"	"34"	"216"	"10"	"149"	"38"	"17"	"1"	"465"	"0"	"465"	"0"
"23"	"12"	"47"	"90"	"9"	"179"	"35"	"1"	"9"	"370"	"0"	"370"	"0"
"24"	"13"	"21"	"127"	"9"	"302"	"58"	"4"	"5"	"526"	"0"	"526"	"0"
"25"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of"
"26"	""	"Upendra Singh"	"Kamli Mahto"	"Narayan Prasad Hisaria"	"Bhola Singh"	"Rajendra Prasad Singh"	"Md.
Ahatasha"	"Rabindra Kumar"	""	""	""	"Tendered votes"
"27"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"28"	"14"	"57"	"74"	"2"	"32"	"20"	"0"	"7"	"192"	"0"	"192"	"0"
"29"	"15"	"39"	"64"	"8"	"115"	"23"	"5"	"3"	"257"	"0"	"257"	"0"
